Freq (MHz),P1_TX1_P2_RX1 SCD21,P1_TX2_P2_RX2 SCD21,P1_TX3_P2_RX3 SCD21,P1_TX4_P2_RX4 SCD21,P2_TX1_P1_RX1 SCD21,P2_TX2_P1_RX2 SCD21,P2_TX3_P1_RX3 SCD21,P2_TX4_P1_RX4 SCD21
50.0,-66.896997,-58.37604,-62.829887,-59.097695,-67.199874,-61.711927,-66.186959,-62.695028
100.0,-63.257474,-53.483326,-56.125646,-53.464751,-62.876007,-58.70391,-59.541134,-56.027289
150.0,-62.399176,-50.367412,-53.110592,-50.636498,-64.929534,-55.684999,-56.837208,-52.091756
200.0,-60.76717,-48.866934,-51.796488,-48.882914,-62.510437,-53.325211,-55.594787,-50.266986
250.0,-63.112846,-46.783513,-50.573327,-46.15004,-63.685331,-51.004018,-55.954862,-48.497804
300.0,-61.554352,-45.071905,-49.028248,-44.711887,-62.645833,-49.491776,-53.683636,-48.161172
350.0,-62.96764,-43.486406,-47.596413,-44.261389,-62.383855,-48.451323,-50.563177,-44.706795
400.0,-65.19642,-42.536122,-46.3007,-43.425343,-61.139642,-47.472147,-48.591981,-43.867029
450.0,-63.744437,-41.111246,-44.679333,-41.667053,-61.046731,-47.220691,-50.768983,-43.675514
500.0,-58.15242,-40.247527,-43.224541,-40.335053,-60.044842,-46.084426,-48.568615,-42.456544
550.0,-57.418832,-40.075085,-42.909917,-40.261588,-62.497755,-44.201361,-46.464895,-41.551646
600.0,-64.649884,-39.175749,-41.509762,-39.839638,-60.362975,-44.177229,-48.708402,-41.279859
650.0,-69.122745,-37.845904,-40.479745,-38.809468,-59.478666,-44.557369,-48.318566,-40.279771
700.0,-56.883193,-37.236411,-40.082371,-37.845119,-65.444588,-42.845524,-43.7786,-39.628808
750.0,-53.985997,-36.792772,-40.327723,-37.074165,-65.69848,-42.083068,-42.721602,-39.546586
800.0,-54.283644,-36.156128,-39.998985,-36.452979,-55.572182,-42.316209,-44.684624,-39.252333
850.0,-55.57104,-35.430648,-39.349439,-35.993758,-53.548617,-41.585698,-44.139377,-38.116773
900.0,-55.872723,-35.424688,-38.704677,-35.591998,-58.647963,-40.621886,-42.063644,-37.147231
950.0,-53.970122,-35.683661,-38.487141,-35.496472,-61.772906,-40.682252,-41.676761,-37.128171
1000.0,-54.386275,-35.475319,-38.208719,-35.171806,-54.044144,-41.121565,-43.590776,-37.0709
1050.0,-55.23151,-34.565871,-37.571583,-34.781261,-52.660862,-40.294112,-42.311337,-36.371582
1100.0,-51.866883,-33.935504,-37.103582,-34.201057,-54.687312,-38.90401,-40.595092,-35.760901
1150.0,-50.364722,-33.93799,-37.345673,-33.845905,-63.490518,-38.834157,-40.592954,-35.642639
1200.0,-53.244276,-33.691158,-36.717652,-33.408907,-56.280318,-39.031308,-42.50622,-35.797893
1250.0,-59.830099,-32.935637,-35.624687,-33.156403,-54.307071,-38.390933,-41.304733,-35.221071
1300.0,-52.96342,-32.522107,-35.603616,-33.075032,-56.278174,-37.830925,-39.358198,-34.699254
1350.0,-49.943038,-32.973356,-35.955124,-32.858068,-54.987587,-37.796119,-39.629928,-34.695417
1400.0,-51.50628,-32.513967,-34.978566,-32.346812,-55.751288,-37.576551,-41.135432,-34.602245
1450.0,-56.914347,-31.54294,-34.417993,-32.029443,-56.983101,-36.64954,-39.536387,-34.085367
1500.0,-52.638683,-31.637511,-34.755969,-32.067219,-62.294921,-36.78686,-38.498774,-33.762828
1550.0,-50.181541,-32.002856,-34.933994,-31.63644,-53.962395,-37.801775,-39.593876,-33.915383
1600.0,-52.067638,-31.455397,-34.358741,-31.00275,-50.655098,-37.241682,-39.301938,-33.681163
1650.0,-58.55108,-30.741743,-33.951336,-30.783049,-50.775712,-35.473182,-37.72583,-32.857445
1700.0,-53.533828,-30.785333,-34.034126,-30.91701,-55.190597,-35.444978,-37.646183,-32.505598
1750.0,-49.538657,-30.930245,-33.967552,-30.528739,-58.733005,-36.368905,-38.32704,-32.612323
1800.0,-50.57169,-30.402147,-33.614052,-29.972876,-52.544308,-35.819676,-37.733011,-32.731565
1850.0,-56.377393,-30.127059,-33.391323,-29.9088,-51.731037,-34.974425,-36.775426,-32.409313
1900.0,-52.037876,-30.295977,-33.329491,-30.097202,-56.654051,-35.480438,-36.556189,-31.902508
1950.0,-48.871494,-30.27073,-33.190616,-29.7899,-59.099344,-35.835245,-36.848803,-31.644148
2000.0,-51.106535,-29.85004,-32.828224,-29.044808,-51.91305,-34.929446,-36.936641,-31.895318
2050.0,-57.875593,-29.560289,-32.796529,-28.748061,-49.492062,-34.251442,-36.021941,-31.749738
2100.0,-51.360278,-29.459831,-32.740964,-29.045097,-52.300196,-34.408005,-35.308209,-31.343653
2150.0,-48.868099,-29.360517,-32.512936,-29.144202,-57.054154,-35.03158,-35.7245,-31.084246
2200.0,-50.539541,-29.078765,-32.213238,-28.5877,-51.339188,-34.480065,-36.163932,-30.895717
