Freq (MHz),P1_TX1_P2_RX1 SCD21,P1_TX2_P2_RX2 SCD21,P1_TX3_P2_RX3 SCD21,P1_TX4_P2_RX4 SCD21,P2_TX1_P1_RX1 SCD21,P2_TX2_P1_RX2 SCD21,P2_TX3_P1_RX3 SCD21,P2_TX4_P1_RX4 SCD21
50.0,-67.918578,-58.511573,-64.306528,-65.352563,-59.952782,-64.329682,-63.448961,-64.70302
100.0,-63.490003,-55.847605,-64.932457,-67.32517,-55.900411,-62.825391,-60.779052,-63.250926
150.0,-63.721191,-52.574767,-66.769574,-66.157781,-52.947182,-63.510923,-60.947257,-63.015478
200.0,-68.621426,-50.487344,-70.650343,-63.250827,-50.719316,-57.856808,-58.806645,-60.527724
250.0,-69.871619,-48.225524,-75.355838,-63.656674,-48.374489,-55.641452,-58.311136,-57.797426
300.0,-61.714461,-47.168047,-68.716525,-67.760293,-46.977581,-56.611992,-56.986429,-61.209771
350.0,-63.264353,-45.838965,-65.461277,-64.349633,-45.692445,-56.023998,-56.225839,-56.333672
400.0,-66.766589,-45.087983,-68.86529,-61.821954,-45.063134,-52.77774,-54.021423,-56.616996
450.0,-58.629737,-43.853871,-64.33247,-61.993531,-43.77296,-55.44005,-50.381964,-57.21446
500.0,-57.306953,-42.247844,-70.711366,-62.745238,-42.680516,-53.721084,-52.421133,-52.455168
550.0,-57.207502,-41.888073,-68.905327,-58.866605,-42.049825,-50.943527,-62.031167,-51.047215
600.0,-57.423489,-40.610711,-61.167787,-58.945735,-41.711703,-50.557488,-54.939257,-52.844517
650.0,-55.389694,-39.922206,-60.342202,-61.757218,-41.492634,-51.574226,-51.879104,-50.692228
700.0,-53.386235,-39.731114,-64.253487,-63.462525,-39.879712,-48.489185,-54.790366,-47.929869
750.0,-52.384887,-39.495382,-61.776529,-58.106407,-38.607637,-47.898515,-59.706882,-48.31229
800.0,-53.82401,-38.837342,-58.457946,-58.858508,-38.717001,-48.249394,-52.304788,-48.622267
850.0,-55.070922,-38.022653,-57.001031,-61.561812,-38.468869,-47.136495,-52.27416,-47.327714
900.0,-54.471142,-37.608535,-62.360637,-74.028899,-37.831284,-46.87209,-56.056123,-45.806284
950.0,-54.353978,-37.45773,-62.625126,-58.816946,-37.719972,-48.058792,-50.962312,-47.343389
1000.0,-53.468011,-37.045877,-56.430772,-57.249451,-38.116563,-49.485609,-47.578063,-47.22629
1050.0,-51.748738,-36.493987,-53.760545,-60.771651,-37.266506,-47.882144,-49.224735,-45.492472
1100.0,-51.04042,-36.39709,-54.782293,-78.486511,-36.070156,-47.024291,-55.281577,-44.594845
1150.0,-52.820111,-36.634414,-58.474658,-58.645015,-35.886901,-47.578512,-51.282198,-45.465099
1200.0,-51.224025,-35.961821,-51.853747,-55.54257,-36.179822,-47.122886,-47.191669,-46.319131
1250.0,-49.481243,-34.99381,-50.328173,-57.769428,-35.585454,-45.242133,-47.631499,-44.530873
1300.0,-50.344161,-34.875627,-55.588488,-72.880187,-34.752346,-44.749467,-54.706315,-43.567963
1350.0,-50.437898,-35.812351,-53.828933,-55.28111,-34.747991,-46.419086,-52.23175,-44.843935
1400.0,-48.468927,-35.29917,-47.851605,-51.360247,-34.84779,-46.939049,-47.096884,-44.65374
1450.0,-46.90745,-33.882413,-48.058162,-54.607344,-34.336642,-43.541163,-48.756683,-42.142598
1500.0,-47.461716,-33.826705,-51.810616,-65.59523,-33.702397,-42.998785,-52.400169,-41.640513
1550.0,-47.445937,-34.4605,-52.656435,-54.61787,-33.656221,-44.815655,-46.232669,-43.179298
1600.0,-45.346654,-33.950144,-48.90506,-51.331727,-33.569799,-44.705766,-45.392562,-43.439238
1650.0,-44.428568,-33.076837,-50.942957,-52.966114,-33.02224,-41.879407,-48.864516,-41.457331
1700.0,-45.521151,-33.306601,-53.859798,-61.7755,-32.742885,-41.699231,-53.614921,-40.723621
1750.0,-47.137744,-33.534603,-51.591911,-53.16817,-32.82929,-43.552422,-48.517973,-41.282499
