Freq (MHz),P1_TX1_P2_RX1 SDD21,P1_TX2_P2_RX2 SDD21,P1_TX3_P2_RX3 SDD21,P1_TX4_P2_RX4 SDD21,P2_TX1_P1_RX1 SDD21,P2_TX2_P1_RX2 SDD21,P2_TX3_P1_RX3 SDD21,P2_TX4_P1_RX4 SDD21
50.0,-0.288942,-0.298927,-0.306695,-0.316867,-0.287856,-0.298228,-0.305348,-0.31867
100.0,-0.406322,-0.420604,-0.433546,-0.448179,-0.405639,-0.421343,-0.432059,-0.44846
150.0,-0.512074,-0.528622,-0.543713,-0.55884,-0.50823,-0.528488,-0.542485,-0.560851
200.0,-0.603239,-0.623168,-0.642075,-0.657738,-0.601948,-0.623059,-0.640389,-0.659348
250.0,-0.69535,-0.71825,-0.738776,-0.754355,-0.692812,-0.71643,-0.736594,-0.758856
300.0,-0.7747,-0.801293,-0.821389,-0.841105,-0.778584,-0.802834,-0.822266,-0.841472
350.0,-0.862053,-0.888821,-0.912144,-0.932385,-0.858311,-0.890247,-0.910324,-0.936857
400.0,-0.949432,-0.977236,-1.003848,-1.029587,-0.945428,-0.983055,-1.004902,-1.037583
450.0,-1.026418,-1.052846,-1.079769,-1.103946,-1.020165,-1.062832,-1.080874,-1.109474
500.0,-1.093275,-1.12616,-1.152075,-1.178682,-1.092183,-1.131306,-1.15617,-1.183937
550.0,-1.168087,-1.206581,-1.23802,-1.272718,-1.170043,-1.217232,-1.240025,-1.283142
600.0,-1.245943,-1.285136,-1.315057,-1.34697,-1.242641,-1.292005,-1.314722,-1.355313
650.0,-1.299104,-1.332456,-1.362836,-1.391982,-1.298297,-1.343619,-1.366738,-1.398432
700.0,-1.351956,-1.395465,-1.423543,-1.464832,-1.359247,-1.40639,-1.428244,-1.47385
750.0,-1.421151,-1.477177,-1.506213,-1.546285,-1.428296,-1.486104,-1.50195,-1.558073
800.0,-1.487185,-1.539392,-1.565517,-1.600262,-1.495251,-1.541102,-1.560069,-1.601818
850.0,-1.532892,-1.567314,-1.597592,-1.636982,-1.531556,-1.573328,-1.59884,-1.636832
