Freq (MHz),P1_TX1_P2_RX1 SDD21,P1_TX2_P2_RX2 SDD21,P1_TX3_P2_RX3 SDD21,P1_TX4_P2_RX4 SDD21,P2_TX1_P1_RX1 SDD21,P2_TX2_P1_RX2 SDD21,P2_TX3_P1_RX3 SDD21,P2_TX4_P1_RX4 SDD21
50.0,-0.287561,-0.293665,-0.303392,-0.314018,-0.285825,-0.295136,-0.303848,-0.314684
100.0,-0.404131,-0.414647,-0.42758,-0.442564,-0.405833,-0.417627,-0.430863,-0.444503
150.0,-0.509322,-0.52131,-0.536914,-0.552066,-0.511541,-0.52302,-0.541197,-0.557485
200.0,-0.601952,-0.617221,-0.633701,-0.650842,-0.603697,-0.618215,-0.639678,-0.65661
250.0,-0.695316,-0.708992,-0.730243,-0.748169,-0.694956,-0.712192,-0.734317,-0.752885
300.0,-0.772298,-0.791688,-0.814093,-0.835699,-0.775594,-0.796264,-0.821027,-0.838441
350.0,-0.858037,-0.876326,-0.901884,-0.922134,-0.860848,-0.884104,-0.90841,-0.930449
400.0,-0.944314,-0.966215,-0.993151,-1.022801,-0.948719,-0.975831,-1.003333,-1.029972
450.0,-1.020413,-1.041702,-1.069609,-1.09908,-1.025747,-1.055387,-1.080702,-1.10519
500.0,-1.08969,-1.112269,-1.13965,-1.167092,-1.094098,-1.124949,-1.155278,-1.176651
550.0,-1.164551,-1.193754,-1.220359,-1.26103,-1.170011,-1.210319,-1.238496,-1.267829
600.0,-1.236018,-1.274517,-1.301562,-1.340861,-1.242649,-1.287992,-1.316492,-1.341911
650.0,-1.29216,-1.32295,-1.350971,-1.384249,-1.301573,-1.337757,-1.367882,-1.391787
700.0,-1.347203,-1.378868,-1.409949,-1.448729,-1.356633,-1.396256,-1.429828,-1.464623
750.0,-1.413046,-1.459804,-1.490875,-1.532315,-1.422889,-1.47442,-1.502506,-1.543026
800.0,-1.472076,-1.526108,-1.553428,-1.591232,-1.490769,-1.535117,-1.560786,-1.58971
850.0,-1.518591,-1.551596,-1.585846,-1.626769,-1.528611,-1.566729,-1.599506,-1.626698
900.0,-1.563908,-1.603481,-1.64048,-1.684253,-1.580622,-1.620194,-1.65446,-1.69579
950.0,-1.625452,-1.686522,-1.7142,-1.761032,-1.648541,-1.695284,-1.72324,-1.76346
1000.0,-1.683215,-1.741715,-1.761895,-1.808196,-1.706157,-1.750565,-1.770851,-1.799856
1050.0,-1.717784,-1.760284,-1.79319,-1.842079,-1.732984,-1.772929,-1.803564,-1.838853
1100.0,-1.763516,-1.810381,-1.847753,-1.891461,-1.782706,-1.823448,-1.853318,-1.901641
1150.0,-1.825525,-1.891304,-1.916224,-1.962192,-1.85347,-1.893365,-1.918909,-1.96222
1200.0,-1.870014,-1.932519,-1.946493,-2.003047,-1.896454,-1.931225,-1.953899,-1.992532
1250.0,-1.905152,-1.947072,-1.979009,-2.036357,-1.920226,-1.957533,-1.990116,-2.033179
1300.0,-1.952061,-1.994688,-2.030129,-2.082464,-1.970551,-2.016806,-2.042505,-2.092346
1350.0,-2.008168,-2.062614,-2.078112,-2.132457,-2.034972,-2.078542,-2.089961,-2.133766
1400.0,-2.045861,-2.094602,-2.115887,-2.180037,-2.072009,-2.105439,-2.122251,-2.163805
1450.0,-2.082549,-2.119901,-2.155976,-2.226857,-2.096707,-2.136486,-2.163261,-2.211801
1500.0,-2.124053,-2.163495,-2.194458,-2.259633,-2.145076,-2.191254,-2.206174,-2.253456
1550.0,-2.170965,-2.222462,-2.238136,-2.298486,-2.203284,-2.248975,-2.250672,-2.290564
1600.0,-2.206816,-2.258027,-2.281576,-2.356784,-2.231925,-2.269357,-2.288105,-2.340052
1650.0,-2.250948,-2.286129,-2.325239,-2.403913,-2.262174,-2.304687,-2.327523,-2.386443
1700.0,-2.287398,-2.325932,-2.358582,-2.422672,-2.314556,-2.3661,-2.371865,-2.417539
1750.0,-2.323205,-2.372723,-2.398278,-2.468894,-2.367686,-2.413156,-2.410038,-2.456164
1800.0,-2.364854,-2.410049,-2.443561,-2.535769,-2.39284,-2.430873,-2.447991,-2.509307
1850.0,-2.409041,-2.449154,-2.490977,-2.566143,-2.423026,-2.476168,-2.494712,-2.553265
1900.0,-2.454148,-2.49869,-2.522425,-2.581154,-2.478785,-2.5354,-2.532256,-2.580311
1950.0,-2.484247,-2.528776,-2.557565,-2.638895,-2.523112,-2.565354,-2.568534,-2.626535
2000.0,-2.518016,-2.565362,-2.611637,-2.696122,-2.546953,-2.594461,-2.611897,-2.680046
2050.0,-2.573171,-2.618398,-2.658705,-2.713632,-2.589468,-2.650762,-2.654643,-2.708837
2100.0,-2.618546,-2.649875,-2.684395,-2.740431,-2.648518,-2.696713,-2.693047,-2.741788
2150.0,-2.635804,-2.674974,-2.728326,-2.797879,-2.671756,-2.718626,-2.73531,-2.792127
2200.0,-2.676338,-2.72864,-2.778699,-2.833179,-2.703081,-2.764879,-2.778511,-2.830186
2250.0,-2.746203,-2.776812,-2.811147,-2.848427,-2.753739,-2.818851,-2.814473,-2.863009
2300.0,-2.774756,-2.79472,-2.852863,-2.900637,-2.792013,-2.850808,-2.863373,-2.90745
2350.0,-2.785968,-2.831265,-2.901991,-2.949185,-2.810469,-2.882806,-2.906039,-2.949483
2400.0,-2.838315,-2.882103,-2.94112,-2.973742,-2.855233,-2.934134,-2.93487,-2.991201
2450.0,-2.894245,-2.911432,-2.96955,-2.995341,-2.906936,-2.972752,-2.972568,-3.021353
2500.0,-2.914259,-2.942059,-3.012474,-3.049402,-2.937537,-3.004643,-3.023407,-3.063756
2550.0,-2.93167,-2.983165,-3.057896,-3.103685,-2.962156,-3.044399,-3.058717,-3.109002
2600.0,-2.991277,-3.026162,-3.085934,-3.129366,-3.003677,-3.086269,-3.083096,-3.14246
2650.0,-3.042069,-3.058766,-3.111955,-3.146873,-3.052796,-3.117362,-3.124144,-3.174624
2700.0,-3.059984,-3.09303,-3.166613,-3.20783,-3.090201,-3.148263,-3.175314,-3.219617
2750.0,-3.081972,-3.134924,-3.212019,-3.265588,-3.115215,-3.182548,-3.210336,-3.255403
2800.0,-3.139015,-3.181778,-3.236224,-3.279014,-3.16067,-3.215086,-3.235583,-3.279189
2850.0,-3.186511,-3.206805,-3.264127,-3.30662,-3.203696,-3.245013,-3.27735,-3.321023
2900.0,-3.200816,-3.246974,-3.335871,-3.380628,-3.229041,-3.27968,-3.338392,-3.358958
2950.0,-3.230694,-3.316439,-3.381699,-3.422244,-3.26232,-3.312681,-3.362317,-3.389664
3000.0,-3.293172,-3.364918,-3.383881,-3.426995,-3.307788,-3.342504,-3.372644,-3.442376
3050.0,-3.326663,-3.365065,-3.399163,-3.451238,-3.33398,-3.374219,-3.417701,-3.484537
3100.0,-3.340882,-3.400468,-3.461394,-3.502684,-3.365094,-3.425309,-3.472104,-3.499895
3150.0,-3.380131,-3.452434,-3.503026,-3.544201,-3.40984,-3.450114,-3.490443,-3.531333
3200.0,-3.426203,-3.477783,-3.514419,-3.578071,-3.436014,-3.472404,-3.520494,-3.582684
3250.0,-3.444984,-3.486106,-3.533762,-3.590343,-3.456359,-3.508612,-3.559447,-3.602288
3300.0,-3.463474,-3.525647,-3.58572,-3.623951,-3.495226,-3.541488,-3.585973,-3.616352
3350.0,-3.504537,-3.574982,-3.633681,-3.682647,-3.530013,-3.562818,-3.613331,-3.661476
3400.0,-3.542595,-3.605387,-3.65092,-3.718257,-3.562698,-3.597784,-3.661725,-3.712916
3450.0,-3.574755,-3.628867,-3.666993,-3.732862,-3.595329,-3.638979,-3.692446,-3.732588
3500.0,-3.601993,-3.661267,-3.714089,-3.76853,-3.630726,-3.669894,-3.71377,-3.751
3550.0,-3.63581,-3.705274,-3.763641,-3.831711,-3.668761,-3.694586,-3.749896,-3.809432
3600.0,-3.68199,-3.749051,-3.790168,-3.868241,-3.700983,-3.737738,-3.807353,-3.873376
3650.0,-3.718515,-3.772722,-3.809592,-3.87841,-3.738415,-3.799093,-3.845375,-3.88282
3700.0,-3.742611,-3.806994,-3.84418,-3.909751,-3.781673,-3.83428,-3.849349,-3.890933
3750.0,-3.782378,-3.862574,-3.906777,-3.987828,-3.823967,-3.843347,-3.892254,-3.969493
3800.0,-3.826062,-3.906681,-3.959267,-4.02186,-3.852192,-3.891143,-3.97657,-4.027737
3850.0,-3.861384,-3.93465,-3.966281,-4.00784,-3.89634,-3.977037,-3.997913,-4.013274
3900.0,-3.898117,-3.959156,-3.980539,-4.05745,-3.96196,-4.001704,-3.986225,-4.038483
3950.0,-3.931062,-4.000843,-4.071953,-4.139916,-3.984793,-3.991083,-4.070126,-4.116065
4000.0,-3.979507,-4.082184,-4.144911,-4.156865,-4.015792,-4.101277,-4.169301,-4.145348
4050.0,-4.043715,-4.121344,-4.116649,-4.155662,-4.105232,-4.198432,-4.146379,-4.146521
4100.0,-4.077547,-4.099046,-4.145233,-4.197354,-4.154248,-4.157036,-4.139657,-4.179334
4150.0,-4.073663,-4.144786,-4.252295,-4.241971,-4.12201,-4.148747,-4.246497,-4.225772
4200.0,-4.133991,-4.237703,-4.277422,-4.264787,-4.181954,-4.259641,-4.301205,-4.25008
4250.0,-4.218025,-4.249145,-4.243253,-4.284184,-4.290366,-4.311047,-4.266657,-4.269164
4300.0,-4.206795,-4.228907,-4.273028,-4.319814,-4.28663,-4.266225,-4.274375,-4.301428
4350.0,-4.185429,-4.279062,-4.350111,-4.356085,-4.251143,-4.288117,-4.351792,-4.348352
4400.0,-4.255154,-4.363275,-4.381941,-4.402534,-4.314983,-4.401076,-4.395578,-4.379528
4450.0,-4.333109,-4.378462,-4.373507,-4.431128,-4.414515,-4.457421,-4.384081,-4.409403
4500.0,-4.318678,-4.362336,-4.392338,-4.448219,-4.431895,-4.418861,-4.394232,-4.441276
4550.0,-4.296547,-4.403591,-4.461109,-4.486043,-4.392663,-4.423828,-4.470334,-4.483309
4600.0,-4.367388,-4.495266,-4.523849,-4.532141,-4.455779,-4.538081,-4.517361,-4.521127
4650.0,-4.471844,-4.540163,-4.523379,-4.562022,-4.606295,-4.623033,-4.503865,-4.551794
4700.0,-4.47565,-4.512651,-4.521362,-4.583505,-4.64313,-4.576244,-4.524108,-4.586159
4750.0,-4.422938,-4.534434,-4.58293,-4.613681,-4.559189,-4.565518,-4.593664,-4.6204
4800.0,-4.496581,-4.64071,-4.622538,-4.653583,-4.636397,-4.702517,-4.61717,-4.655795
4850.0,-4.637424,-4.685893,-4.622296,-4.698242,-4.850606,-4.768988,-4.623524,-4.701181
4900.0,-4.615628,-4.640319,-4.656595,-4.741205,-4.834492,-4.698175,-4.655511,-4.758002
4950.0,-4.532347,-4.666633,-4.689407,-4.782759,-4.691838,-4.705089,-4.691803,-4.807943
5000.0,-4.630413,-4.758373,-4.712151,-4.803794,-4.805085,-4.810686,-4.72143,-4.818463
5050.0,-4.74328,-4.770811,-4.745164,-4.869239,-4.961011,-4.843529,-4.755098,-4.867288
5100.0,-4.699061,-4.754804,-4.777431,-4.971709,-4.882835,-4.812357,-4.792856,-4.970296
5150.0,-4.640483,-4.778711,-4.807937,-4.967915,-4.798119,-4.825639,-4.83434,-4.989816
5200.0,-4.715181,-4.831983,-4.831392,-4.94533,-4.887173,-4.886678,-4.853785,-4.956034
5250.0,-4.811352,-4.866291,-4.884272,-5.052358,-4.982838,-4.930731,-4.893848,-5.031894
5300.0,-4.813203,-4.888809,-4.945633,-5.130704,-4.981985,-4.959543,-4.956805,-5.135809
5350.0,-4.780173,-4.900997,-4.941897,-5.068905,-4.936263,-4.967384,-4.968694,-5.112768
5400.0,-4.812571,-4.931428,-4.952051,-5.056833,-4.961661,-4.993818,-4.969932,-5.075503
5450.0,-4.911369,-4.989231,-5.017238,-5.153905,-5.083693,-5.064519,-5.02751,-5.151327
5500.0,-4.974817,-5.029462,-5.061066,-5.213493,-5.175229,-5.115323,-5.088122,-5.25702
5550.0,-4.95408,-5.035626,-5.063455,-5.192658,-5.129268,-5.108599,-5.097749,-5.261967
5600.0,-4.952575,-5.053054,-5.077841,-5.166466,-5.103111,-5.111905,-5.100979,-5.21691
5650.0,-5.063372,-5.104068,-5.113027,-5.245401,-5.24439,-5.170278,-5.127093,-5.282594
5700.0,-5.149001,-5.145843,-5.184076,-5.375435,-5.339392,-5.229571,-5.208019,-5.441611
5750.0,-5.107833,-5.165755,-5.247335,-5.382529,-5.253779,-5.24983,-5.288733,-5.444032
5800.0,-5.097956,-5.180491,-5.249831,-5.319205,-5.234672,-5.258203,-5.288409,-5.354902
5850.0,-5.166088,-5.209282,-5.266048,-5.412443,-5.329089,-5.292418,-5.278127,-5.439675
5900.0,-5.233717,-5.261356,-5.401651,-5.549535,-5.37127,-5.366685,-5.422286,-5.594455
5950.0,-5.245497,-5.326169,-5.510312,-5.518344,-5.36724,-5.453229,-5.531425,-5.55209
6000.0,-5.223812,-5.3506,-5.442246,-5.460027,-5.355903,-5.480128,-5.444104,-5.474382
6050.0,-5.244575,-5.350776,-5.437681,-5.519886,-5.388837,-5.455794,-5.441691,-5.542209
6100.0,-5.331148,-5.417096,-5.603313,-5.584419,-5.47229,-5.537762,-5.632393,-5.620512
6150.0,-5.404123,-5.518769,-5.647646,-5.587632,-5.556645,-5.672803,-5.66054,-5.635875
6200.0,-5.397518,-5.525884,-5.556477,-5.567328,-5.556289,-5.64767,-5.540707,-5.611099
6250.0,-5.381686,-5.491328,-5.55966,-5.562843,-5.536008,-5.570555,-5.548795,-5.605028
6300.0,-5.459958,-5.550285,-5.639795,-5.627923,-5.622846,-5.671682,-5.658747,-5.679613
6350.0,-5.592586,-5.646477,-5.697568,-5.711964,-5.770583,-5.804831,-5.69999,-5.756922
6400.0,-5.599416,-5.666871,-5.694641,-5.722075,-5.763339,-5.788877,-5.659582,-5.763953
6450.0,-5.521701,-5.63355,-5.657355,-5.688955,-5.676469,-5.705471,-5.637221,-5.731693
6500.0,-5.577906,-5.649883,-5.694221,-5.754837,-5.749719,-5.741764,-5.720577,-5.772671
6550.0,-5.730658,-5.749565,-5.822285,-5.893786,-5.9147,-5.901885,-5.84301,-5.878289
6600.0,-5.758733,-5.833684,-5.876883,-5.919003,-5.930545,-5.984409,-5.861327,-5.933114
6650.0,-5.664469,-5.804698,-5.813323,-5.847271,-5.827278,-5.889801,-5.804305,-5.899253
