Freq (MHz),P1_TX1_P2_RX1 SDD21,P1_TX2_P2_RX2 SDD21,P1_TX3_P2_RX3 SDD21,P1_TX4_P2_RX4 SDD21,P2_TX1_P1_RX1 SDD21,P2_TX2_P1_RX2 SDD21,P2_TX3_P1_RX3 SDD21,P2_TX4_P1_RX4 SDD21
50.0,-0.288428,-0.294204,-0.30486,-0.31398,-0.287989,-0.29444,-0.30292,-0.314211
100.0,-0.405699,-0.416832,-0.429618,-0.443121,-0.405666,-0.416901,-0.430071,-0.444475
150.0,-0.511816,-0.521015,-0.540237,-0.554128,-0.509811,-0.523787,-0.539748,-0.557382
200.0,-0.604821,-0.617194,-0.636667,-0.653031,-0.60468,-0.616711,-0.638388,-0.654111
250.0,-0.696189,-0.709104,-0.730441,-0.748057,-0.694372,-0.710657,-0.734223,-0.752873
300.0,-0.773863,-0.794205,-0.815931,-0.836047,-0.780526,-0.795324,-0.817896,-0.834887
350.0,-0.861015,-0.880107,-0.905011,-0.921303,-0.864412,-0.883998,-0.907377,-0.930651
400.0,-0.946092,-0.967947,-0.993543,-1.019105,-0.949642,-0.9751,-0.99991,-1.027569
450.0,-1.022894,-1.044382,-1.072065,-1.097038,-1.02713,-1.054678,-1.078558,-1.102692
500.0,-1.093194,-1.114674,-1.14411,-1.169778,-1.09525,-1.122826,-1.155043,-1.176733
550.0,-1.166852,-1.195369,-1.224953,-1.259815,-1.1738,-1.201999,-1.237423,-1.272005
600.0,-1.241348,-1.272931,-1.298768,-1.333988,-1.243928,-1.282709,-1.311372,-1.343836
650.0,-1.294083,-1.320671,-1.351469,-1.382613,-1.302484,-1.333749,-1.364228,-1.390095
700.0,-1.349596,-1.381266,-1.41388,-1.455991,-1.3588,-1.392782,-1.42835,-1.46295
750.0,-1.416152,-1.461263,-1.48946,-1.528144,-1.428458,-1.471472,-1.500073,-1.539341
800.0,-1.474987,-1.521018,-1.547277,-1.579007,-1.49437,-1.529025,-1.55317,-1.587023
850.0,-1.520268,-1.552797,-1.586904,-1.625368,-1.531925,-1.566586,-1.596398,-1.627952
900.0,-1.569349,-1.609614,-1.647398,-1.693265,-1.580995,-1.61973,-1.652405,-1.697876
950.0,-1.632767,-1.686683,-1.718493,-1.759193,-1.649937,-1.690483,-1.723327,-1.764721
1000.0,-1.68724,-1.738551,-1.75832,-1.796277,-1.704498,-1.744866,-1.768109,-1.804585
1050.0,-1.723335,-1.757289,-1.795172,-1.840649,-1.737391,-1.767775,-1.796948,-1.837671
1100.0,-1.773847,-1.815714,-1.858356,-1.903666,-1.784838,-1.817662,-1.846896,-1.901796
1150.0,-1.837813,-1.892268,-1.92088,-1.96286,-1.856565,-1.889357,-1.911468,-1.964086
1200.0,-1.880538,-1.922479,-1.942802,-1.992984,-1.900582,-1.92539,-1.947948,-1.992193
1250.0,-1.910415,-1.939774,-1.982187,-2.039394,-1.928643,-1.951859,-1.986382,-2.035818
1300.0,-1.962639,-2.001602,-2.047023,-2.099037,-1.978459,-2.012766,-2.038021,-2.095354
1350.0,-2.019809,-2.063854,-2.086361,-2.135108,-2.045163,-2.078279,-2.08389,-2.136961
1400.0,-2.054539,-2.085683,-2.112919,-2.170219,-2.076905,-2.10485,-2.117163,-2.166007
1450.0,-2.089022,-2.115311,-2.160458,-2.230533,-2.098964,-2.129643,-2.160493,-2.214108
1500.0,-2.137881,-2.173003,-2.21348,-2.276764,-2.151844,-2.186012,-2.203991,-2.257044
1550.0,-2.188084,-2.222105,-2.251493,-2.301582,-2.213836,-2.244327,-2.246019,-2.294869
1600.0,-2.214474,-2.244902,-2.279361,-2.347354,-2.240598,-2.266659,-2.282789,-2.338205
1650.0,-2.250264,-2.275729,-2.326411,-2.404886,-2.267831,-2.295023,-2.319864,-2.377561
