Freq (MHz),P1_TX1_P2_RX1 SCD21,P1_TX2_P2_RX2 SCD21,P1_TX3_P2_RX3 SCD21,P1_TX4_P2_RX4 SCD21,P2_TX1_P1_RX1 SCD21,P2_TX2_P1_RX2 SCD21,P2_TX3_P1_RX3 SCD21,P2_TX4_P1_RX4 SCD21
50.0,-66.014389,-63.227556,-64.7491,-68.224646,-68.229463,-63.80393,-68.849286,-62.455369
100.0,-63.696529,-60.242205,-62.1623,-67.366289,-66.101256,-60.628326,-65.44464,-59.037038
150.0,-60.73312,-56.864573,-60.110108,-65.256957,-70.85816,-58.892544,-69.474539,-56.052131
200.0,-60.033627,-57.131799,-58.520214,-66.34775,-68.662054,-58.449846,-67.081533,-53.742153
250.0,-58.990916,-55.000219,-57.391894,-61.466676,-63.839572,-56.256836,-74.045782,-51.888998
300.0,-67.117883,-54.231279,-57.132671,-58.299568,-65.608679,-54.41948,-69.798652,-52.120733
350.0,-63.863366,-52.560968,-54.417991,-61.081971,-65.31786,-52.32373,-62.881283,-48.775959
400.0,-61.922395,-51.2375,-52.422584,-67.166805,-63.063268,-53.507105,-60.276354,-48.907171
450.0,-61.409853,-48.970284,-53.288715,-56.223716,-59.628953,-51.952424,-67.592711,-48.72799
500.0,-64.540012,-47.059111,-55.986586,-52.837756,-56.861435,-50.920972,-55.890867,-45.559818
550.0,-60.724128,-47.170763,-54.415669,-53.580026,-56.683827,-50.475001,-52.821336,-44.428823
600.0,-60.525983,-46.769879,-53.816299,-52.280023,-54.48281,-48.700054,-59.399757,-44.401227
650.0,-61.698102,-45.321312,-53.436943,-50.873323,-56.563919,-47.36449,-62.113179,-43.521558
700.0,-75.728225,-44.428929,-53.081399,-50.618445,-53.589623,-48.531906,-51.339696,-42.21479
750.0,-61.009906,-43.420416,-52.828543,-48.657928,-53.533937,-48.602311,-51.55188,-42.158859
800.0,-58.615052,-43.146072,-53.593303,-47.551735,-54.426108,-46.793989,-63.879153,-41.72438
850.0,-58.735598,-42.766801,-54.547938,-47.425127,-53.016258,-47.624956,-54.575137,-40.943777
900.0,-61.877668,-42.368205,-54.211639,-47.830573,-50.817198,-47.654036,-49.643245,-39.99305
950.0,-58.032071,-41.803629,-51.845703,-46.335971,-51.70035,-45.499431,-50.816247,-39.924796
1000.0,-55.892247,-41.603215,-52.011415,-44.642622,-53.440271,-44.44561,-57.702063,-39.553167
1050.0,-57.960161,-40.952468,-54.822025,-44.926645,-49.466737,-45.529667,-51.849618,-38.896362
1100.0,-58.558233,-40.881278,-53.911852,-47.032585,-48.570817,-46.617717,-47.853207,-39.028898
1150.0,-57.134656,-41.104628,-49.42372,-48.237783,-50.738908,-44.916848,-47.921062,-39.326341
1200.0,-58.108583,-40.662641,-48.544337,-46.102569,-52.486144,-44.090593,-52.894866,-39.043633
1250.0,-64.793182,-39.554429,-53.453075,-44.519561,-48.110706,-45.035208,-50.732266,-37.665291
1300.0,-58.732337,-39.425255,-54.053265,-45.669363,-46.273229,-44.822127,-47.449332,-37.382023
1350.0,-55.383584,-40.25312,-48.435813,-45.990338,-48.581977,-43.257172,-49.951632,-38.026329
1400.0,-56.23731,-38.966868,-49.06446,-43.296962,-49.509995,-42.738547,-52.26006,-38.141557
1450.0,-63.806983,-37.357127,-55.493564,-42.891091,-45.68361,-44.609219,-45.702465,-36.710841
1500.0,-64.635537,-37.768103,-53.613868,-44.066616,-44.695936,-44.025017,-44.239599,-36.071062
1550.0,-58.379199,-38.728346,-49.39644,-44.26569,-48.15692,-41.77326,-47.555291,-36.388661
1600.0,-60.012671,-37.704927,-49.960538,-41.946077,-48.134176,-42.114532,-48.782464,-36.21779
1650.0,-72.317437,-36.680636,-52.76433,-41.209913,-43.745697,-45.948197,-46.13421,-35.28119
1700.0,-58.694466,-37.425146,-49.92256,-42.02318,-43.065371,-42.925534,-46.605178,-34.787821
1750.0,-56.164282,-38.052463,-47.914876,-41.90624,-45.113125,-40.062909,-48.015457,-34.761125
1800.0,-58.84779,-36.562281,-48.854545,-40.118699,-45.891714,-40.942132,-46.276622,-34.858019
1850.0,-64.931081,-35.99435,-51.207408,-39.623508,-42.409711,-43.85545,-45.408581,-34.584036
1900.0,-54.419327,-36.435392,-51.353068,-40.245476,-41.076831,-42.230086,-46.24871,-34.240398
1950.0,-52.548689,-36.762513,-49.062529,-40.292835,-42.619266,-40.219749,-46.690607,-34.243191
2000.0,-56.750997,-35.919225,-49.877099,-39.00755,-43.318752,-41.177617,-45.965786,-34.592638
2050.0,-64.450504,-35.288503,-51.301026,-37.960516,-41.132699,-42.522179,-43.959838,-34.165118
2100.0,-54.175003,-35.758498,-49.206362,-38.347775,-40.010591,-42.006565,-43.298327,-33.521047
2150.0,-52.173063,-36.477512,-46.934806,-39.290719,-40.47241,-40.559932,-44.657127,-33.44951
