Freq (MHz),P1_TX1_P2_RX1 SCD21,P1_TX2_P2_RX2 SCD21,P1_TX3_P2_RX3 SCD21,P1_TX4_P2_RX4 SCD21,P2_TX1_P1_RX1 SCD21,P2_TX2_P1_RX2 SCD21,P2_TX3_P1_RX3 SCD21,P2_TX4_P1_RX4 SCD21
50.0,-63.967382,-60.767312,-62.19134,-60.135295,-65.214,-59.818343,-65.71543,-65.144502
100.0,-62.793157,-58.007228,-57.479847,-54.92585,-63.218937,-55.476714,-63.003396,-57.378047
150.0,-60.629513,-54.518105,-55.077244,-52.013886,-65.99702,-51.649145,-75.960357,-53.734613
200.0,-62.486558,-52.427073,-55.490855,-50.618582,-68.26489,-50.07421,-66.521495,-52.724908
250.0,-65.028444,-49.866128,-54.343477,-48.522802,-66.151339,-48.65097,-70.042776,-50.065108
300.0,-59.369052,-49.081165,-51.365347,-46.238024,-63.522289,-47.236254,-70.914834,-49.578761
350.0,-61.980587,-47.837607,-49.082578,-45.435022,-63.890175,-45.462679,-75.264354,-46.592015
400.0,-65.999624,-46.644616,-47.82726,-44.332247,-62.69341,-44.465434,-64.169781,-46.503249
450.0,-59.747344,-44.968965,-46.968161,-42.880538,-63.453914,-44.35246,-67.206872,-46.871199
500.0,-59.165254,-43.529783,-45.154762,-41.68559,-62.530885,-42.901411,-56.810397,-43.542421
550.0,-58.00638,-44.063227,-44.932262,-41.292799,-60.641314,-41.308953,-56.611314,-42.442074
600.0,-55.424123,-43.350484,-43.841332,-40.016356,-64.271748,-41.039808,-66.388628,-42.739469
650.0,-54.256962,-42.024973,-43.049097,-39.216875,-59.861518,-41.229144,-58.442819,-42.053033
700.0,-52.793322,-41.758192,-43.161751,-38.929118,-65.216038,-39.811828,-51.077028,-40.694484
750.0,-54.003896,-41.063649,-42.89869,-38.242423,-63.867061,-39.050668,-53.940451,-39.847093
800.0,-56.468766,-39.957399,-42.128632,-37.232443,-59.188407,-39.268057,-64.553849,-39.907757
850.0,-58.699774,-39.012372,-41.356999,-36.619411,-59.115154,-38.695781,-51.407777,-39.634106
900.0,-56.939539,-39.060836,-40.966683,-36.713516,-61.000916,-37.938828,-48.097435,-38.241904
950.0,-59.184254,-39.561677,-40.65682,-36.830187,-56.627198,-37.769585,-49.003812,-37.922893
1000.0,-56.63398,-39.256433,-39.805052,-36.152317,-53.868383,-37.897308,-54.51181,-38.13382
1050.0,-51.676843,-38.44061,-38.899944,-35.500352,-56.380865,-37.280396,-50.841151,-37.988026
1100.0,-51.371381,-37.938794,-38.675174,-35.240786,-63.199829,-36.297066,-48.150953,-37.349275
1150.0,-54.708893,-38.3792,-39.308417,-35.139472,-57.480333,-36.182152,-49.863227,-36.774229
1200.0,-53.119721,-37.838804,-38.646871,-34.667931,-53.224273,-36.116593,-53.391139,-36.797573
1250.0,-49.387815,-36.569595,-37.470164,-34.121899,-56.194902,-35.502525,-47.630562,-36.726637
1300.0,-50.071219,-36.439236,-37.697778,-34.028234,-70.034823,-34.998355,-45.709386,-36.488966
1350.0,-52.754626,-37.220162,-38.006458,-33.980025,-55.734533,-34.992877,-48.886571,-36.338243
