Freq (MHz),P1_TX1_P2_RX1 SDD21,P1_TX2_P2_RX2 SDD21,P1_TX3_P2_RX3 SDD21,P1_TX4_P2_RX4 SDD21,P2_TX1_P1_RX1 SDD21,P2_TX2_P1_RX2 SDD21,P2_TX3_P1_RX3 SDD21,P2_TX4_P1_RX4 SDD21
50.0,-0.287592,-0.293828,-0.303291,-0.31363,-0.286244,-0.295416,-0.304842,-0.316063
100.0,-0.404426,-0.414951,-0.428502,-0.444146,-0.406287,-0.417184,-0.431909,-0.444927
150.0,-0.509019,-0.522101,-0.537153,-0.554137,-0.508841,-0.522982,-0.540841,-0.558087
200.0,-0.602463,-0.616584,-0.633713,-0.652677,-0.602494,-0.617744,-0.639597,-0.656176
250.0,-0.693509,-0.709802,-0.731289,-0.748429,-0.694924,-0.710772,-0.735456,-0.755052
300.0,-0.769573,-0.794462,-0.815696,-0.837433,-0.777007,-0.794412,-0.82027,-0.837846
350.0,-0.856611,-0.880906,-0.903322,-0.920812,-0.861017,-0.882927,-0.910252,-0.933152
400.0,-0.944357,-0.972285,-0.996604,-1.019493,-0.950636,-0.97574,-1.002551,-1.035836
450.0,-1.018858,-1.048374,-1.07304,-1.099918,-1.026337,-1.053258,-1.079919,-1.107894
500.0,-1.088279,-1.115474,-1.143826,-1.167996,-1.094703,-1.118818,-1.155439,-1.179901
550.0,-1.162279,-1.1969,-1.225015,-1.256407,-1.173813,-1.206146,-1.240065,-1.276545
600.0,-1.235416,-1.280517,-1.305442,-1.334733,-1.246518,-1.282548,-1.314839,-1.34837
650.0,-1.290675,-1.328564,-1.356089,-1.383529,-1.304266,-1.330388,-1.367481,-1.393876
700.0,-1.34666,-1.378714,-1.412619,-1.453265,-1.360707,-1.388244,-1.431389,-1.467031
750.0,-1.414476,-1.464272,-1.49247,-1.534771,-1.430769,-1.470285,-1.508111,-1.549924
800.0,-1.474276,-1.532326,-1.5554,-1.587142,-1.500155,-1.527902,-1.566028,-1.599317
850.0,-1.52052,-1.55918,-1.590204,-1.628115,-1.537387,-1.559594,-1.600739,-1.632319
900.0,-1.566875,-1.610067,-1.64225,-1.689304,-1.58318,-1.61318,-1.653976,-1.70053
950.0,-1.627236,-1.69078,-1.718025,-1.757386,-1.653741,-1.690658,-1.726292,-1.772996
1000.0,-1.683237,-1.748982,-1.769494,-1.799946,-1.715645,-1.745422,-1.774074,-1.813182
1050.0,-1.721987,-1.765807,-1.797032,-1.840491,-1.742451,-1.762301,-1.802798,-1.842389
1100.0,-1.765226,-1.816309,-1.847966,-1.899364,-1.787601,-1.815255,-1.856467,-1.907025
1150.0,-1.829941,-1.896043,-1.918987,-1.961047,-1.86095,-1.898647,-1.921677,-1.972288
1200.0,-1.877934,-1.935241,-1.949608,-1.994332,-1.908481,-1.93482,-1.958355,-2.003593
1250.0,-1.908409,-1.953014,-1.981719,-2.037441,-1.93169,-1.951713,-1.991962,-2.038739
1300.0,-1.953968,-2.001632,-2.032608,-2.093929,-1.977187,-2.006583,-2.046236,-2.092321
1350.0,-2.013253,-2.068997,-2.081498,-2.137598,-2.045138,-2.081999,-2.097956,-2.139056
1400.0,-2.05362,-2.100662,-2.119868,-2.172644,-2.082523,-2.108344,-2.127492,-2.171446
1450.0,-2.08462,-2.125357,-2.159376,-2.224198,-2.106036,-2.128325,-2.164326,-2.219275
