Freq (MHz),P1_TX1_P2_RX1 SCD21,P1_TX2_P2_RX2 SCD21,P1_TX3_P2_RX3 SCD21,P1_TX4_P2_RX4 SCD21,P2_TX1_P1_RX1 SCD21,P2_TX2_P1_RX2 SCD21,P2_TX3_P1_RX3 SCD21,P2_TX4_P1_RX4 SCD21
50.0,-62.114655,-61.457691,-62.7457,-60.556907,-64.088066,-63.613204,-64.726799,-61.718578
100.0,-62.125425,-57.23813,-63.843296,-55.019047,-66.670028,-65.075834,-61.849745,-60.330138
150.0,-59.147599,-53.769645,-63.929577,-51.824809,-77.37147,-64.297037,-57.680261,-61.459485
200.0,-56.104649,-53.6434,-61.599625,-50.017976,-66.451234,-63.071635,-54.200839,-58.30837
250.0,-55.205998,-52.21378,-59.437442,-48.667224,-70.87992,-65.415538,-53.139689,-58.766114
300.0,-52.17152,-50.23132,-59.147415,-46.496965,-74.831455,-60.606626,-53.829539,-54.59399
350.0,-53.408169,-48.947001,-57.761077,-45.740844,-74.057379,-60.225434,-51.070026,-57.456008
400.0,-52.297893,-49.076556,-58.783125,-44.629084,-66.013793,-58.34323,-48.86802,-53.966923
450.0,-50.135565,-47.129639,-59.568307,-42.98268,-67.142637,-59.748965,-49.541336,-51.248712
500.0,-49.441356,-44.878588,-60.83879,-41.944356,-68.070923,-55.503444,-47.525049,-53.826448
550.0,-48.828961,-43.988663,-56.05637,-41.841195,-63.6369,-52.496617,-45.846433,-54.292658
600.0,-47.494764,-43.513703,-56.736066,-40.534002,-59.580336,-53.957584,-45.883052,-51.421727
650.0,-46.262523,-42.530721,-59.307616,-39.441495,-64.520677,-57.93086,-46.38558,-51.670994
700.0,-45.960028,-42.167811,-60.418796,-38.958054,-59.509344,-52.279901,-43.933631,-53.149884
750.0,-46.519181,-41.669157,-59.528822,-38.618809,-57.369519,-50.291701,-43.321013,-53.902553
800.0,-45.610082,-41.281809,-62.198094,-37.963713,-58.569171,-52.262807,-45.177905,-52.511544
850.0,-44.755137,-40.7467,-61.237238,-37.307471,-59.20928,-52.480052,-43.718169,-52.32065
900.0,-44.350716,-40.462872,-55.58468,-36.948334,-58.635127,-50.51835,-41.545693,-53.152873
950.0,-45.018407,-40.808278,-53.702062,-36.799937,-57.561591,-51.596508,-41.827536,-49.998086
1000.0,-44.578672,-40.844149,-53.79089,-36.288198,-58.421888,-53.603586,-43.303376,-49.754574
1050.0,-43.367201,-39.950816,-56.453493,-35.765122,-54.709753,-50.902791,-41.866647,-50.635085
1100.0,-43.533734,-38.714371,-56.637412,-35.459611,-55.822504,-48.077441,-40.186099,-50.246338
1150.0,-44.99294,-38.569305,-52.678565,-35.32325,-60.678442,-48.445918,-40.681825,-48.713262
1200.0,-44.217128,-38.661935,-53.367151,-34.799392,-56.550845,-49.705277,-41.543637,-47.368175
1250.0,-42.217406,-38.212067,-60.068547,-34.399433,-52.286013,-48.06638,-39.863438,-49.085166
1300.0,-42.423943,-37.948656,-56.894265,-34.345299,-51.135414,-47.480507,-38.433281,-50.30767
1350.0,-43.3525,-38.697702,-52.042118,-34.17417,-57.157309,-47.551458,-39.448499,-47.80077
1400.0,-42.70569,-37.922009,-53.230932,-33.495498,-53.842066,-47.942877,-40.599303,-45.757191
1450.0,-41.298676,-36.522089,-63.544526,-33.154123,-48.427979,-45.522693,-38.319298,-47.010877
1500.0,-40.785552,-36.571721,-52.838204,-33.300426,-48.824686,-45.363632,-37.203413,-48.066136
1550.0,-41.48743,-36.94465,-50.202181,-33.105195,-54.000541,-48.154355,-38.97244,-46.784986
1600.0,-41.131071,-36.101644,-52.112079,-32.589125,-52.705455,-46.755868,-39.209468,-46.22497
1650.0,-40.08855,-35.231244,-57.520706,-32.172439,-47.161855,-43.523372,-36.968896,-48.297381
1700.0,-39.827956,-35.833818,-53.404828,-32.158057,-46.918043,-44.099733,-36.369469,-48.797188
1750.0,-40.254117,-36.166994,-51.234723,-31.851862,-51.475641,-47.688542,-37.526762,-47.364153
1800.0,-39.955331,-34.823729,-54.221665,-31.44583,-52.203126,-44.555511,-37.558848,-46.368659
1850.0,-38.974394,-34.017028,-57.222667,-31.117246,-47.482283,-42.495792,-36.268959,-47.20445
1900.0,-38.818966,-34.475232,-53.409754,-31.055686,-47.131007,-44.35364,-35.598357,-47.923645
1950.0,-39.444372,-34.846439,-50.943504,-30.627723,-51.479292,-48.219362,-36.126395,-47.230993
2000.0,-38.90129,-34.320635,-53.993054,-30.17027,-48.841772,-45.24834,-37.142036,-46.507718
2050.0,-38.873079,-33.619845,-58.123233,-30.069364,-44.922126,-43.138463,-36.228963,-48.083203
2100.0,-39.54753,-33.656635,-52.020178,-30.159651,-44.175008,-43.363237,-34.969234,-50.136144
2150.0,-39.716893,-34.067812,-50.051037,-30.155448,-45.598958,-45.323776,-35.163745,-47.527501
2200.0,-38.351393,-33.62424,-52.549256,-29.607506,-46.169915,-43.844086,-36.217526,-46.729833
2250.0,-37.850131,-33.139358,-53.853138,-29.739407,-43.871177,-41.871588,-35.991392,-47.522509
2300.0,-38.323478,-33.221235,-49.2813,-30.252892,-43.306897,-41.978678,-34.950929,-47.916029
2350.0,-37.970997,-33.52485,-48.828892,-30.115478,-44.340592,-43.596338,-34.745117,-47.077805
2400.0,-37.571764,-32.837893,-51.974216,-30.075581,-44.900944,-42.718242,-35.318425,-47.040617
