Freq (MHz),P1_TX1_P2_RX1 SDD22,P1_TX2_P2_RX2 SDD22,P1_TX3_P2_RX3 SDD22,P1_TX4_P2_RX4 SDD22,P2_TX1_P1_RX1 SDD22,P2_TX2_P1_RX2 SDD22,P2_TX3_P1_RX3 SDD22,P2_TX4_P1_RX4 SDD22
50.0,-29.651805,-29.55092,-28.975923,-29.364032,-29.213241,-29.409902,-29.282899,-29.283158
100.0,-32.131495,-32.012628,-32.093698,-33.400272,-31.552364,-32.093873,-32.761053,-32.948778
150.0,-36.888467,-37.254726,-37.30186,-36.456389,-39.964205,-39.31874,-39.864529,-36.435023
200.0,-34.344326,-34.478319,-33.825592,-34.149577,-39.024187,-36.102876,-35.761285,-35.791449
250.0,-37.939932,-36.216908,-36.673402,-40.487903,-40.410499,-35.953946,-35.305986,-39.522588
300.0,-38.616756,-38.188182,-41.059564,-41.822132,-42.405917,-37.988473,-37.96496,-43.117863
350.0,-31.215829,-29.138073,-29.454969,-29.197808,-32.546066,-29.50009,-30.366922,-28.306409
400.0,-29.018422,-25.828092,-26.191547,-25.953753,-28.582632,-25.600913,-26.222678,-24.562448
450.0,-33.30027,-28.443239,-29.591218,-31.313444,-29.631204,-26.898235,-27.316875,-28.499668
500.0,-32.062008,-29.972438,-30.513277,-29.326833,-30.049761,-27.816884,-27.416136,-27.426406
550.0,-24.27883,-22.552661,-22.37319,-21.661485,-24.086227,-22.530436,-22.852711,-20.677092
600.0,-23.800475,-21.785803,-22.172967,-22.834334,-23.159692,-21.789064,-22.284088,-21.330359
650.0,-29.596846,-26.573047,-29.043618,-39.176329,-25.757761,-23.819248,-24.285546,-26.970664
700.0,-27.588166,-24.544591,-24.356282,-23.111259,-24.324839,-22.252844,-22.462247,-21.91886
750.0,-22.500062,-20.173669,-20.537137,-20.915746,-21.352497,-20.247117,-20.737177,-19.716812
800.0,-23.054777,-20.810943,-22.521877,-25.986385,-21.749529,-21.082909,-21.992857,-22.701005
850.0,-31.789712,-27.812642,-32.514303,-33.165033,-26.781326,-24.663852,-25.963721,-31.178592
900.0,-27.653447,-24.106858,-23.457927,-23.240671,-24.896747,-23.149972,-24.035781,-23.260895
950.0,-22.667227,-19.990588,-20.881506,-23.007265,-21.540871,-20.864666,-22.184965,-21.618678
1000.0,-23.671558,-21.134408,-23.849778,-27.883077,-22.761386,-22.075151,-24.359444,-25.465402
1050.0,-34.72593,-30.235595,-38.818039,-32.863778,-31.866894,-27.112005,-29.521188,-50.106348
1100.0,-27.969853,-24.803441,-24.696932,-25.063212,-26.548174,-23.614447,-25.243746,-25.146467
1150.0,-21.944634,-19.816722,-21.627473,-23.178142,-21.486274,-20.205353,-22.660582,-22.329484
1200.0,-22.776887,-21.290418,-25.217793,-28.316948,-22.694747,-21.792634,-25.256777,-26.402073
1250.0,-32.926227,-29.990278,-37.207185,-31.194926,-30.998815,-27.902296,-28.933036,-39.511341
1300.0,-26.041276,-23.525205,-23.914309,-23.04477,-25.586747,-22.813897,-24.345503,-24.244447
1350.0,-21.093163,-20.109189,-22.503359,-24.134445,-21.401664,-19.929352,-23.768959,-23.995187
1400.0,-22.995727,-22.771099,-27.773096,-34.88285,-23.435573,-22.176667,-27.97257,-33.488254
1450.0,-41.603337,-40.821719,-34.967099,-25.846951,-32.191343,-28.307686,-29.972803,-30.144065
1500.0,-25.471539,-24.332004,-25.342023,-25.055369,-24.12161,-22.812157,-25.999155,-26.772107
1550.0,-22.780505,-21.810522,-25.87758,-35.431936,-21.834582,-21.497919,-27.446104,-34.400992
1600.0,-27.013541,-25.503232,-34.557099,-25.861559,-25.47858,-25.776278,-36.257671,-30.238622
1650.0,-34.230871,-37.399018,-30.991141,-23.439521,-35.540297,-30.290624,-31.235329,-25.060297
1700.0,-26.230276,-26.896972,-28.514625,-32.44814,-24.990088,-24.376581,-29.694003,-29.417955
1750.0,-25.845146,-24.739035,-31.667826,-27.629263,-23.524263,-24.634522,-36.479861,-33.2089
1800.0,-30.729451,-27.699611,-32.550272,-22.045927,-29.639764,-35.404504,-35.510038,-23.80519
1850.0,-29.558564,-31.151345,-29.624412,-25.412319,-34.495654,-30.226213,-30.879268,-24.181971
1900.0,-26.804005,-28.372066,-31.008964,-38.548782,-25.540903,-25.577429,-34.902648,-31.156436
1950.0,-27.843496,-27.985953,-37.756174,-23.955556,-26.13257,-29.224292,-36.833677,-27.181298
