Freq (MHz),P1_TX1_P2_RX1 SDD21,P1_TX2_P2_RX2 SDD21,P1_TX3_P2_RX3 SDD21,P1_TX4_P2_RX4 SDD21,P2_TX1_P1_RX1 SDD21,P2_TX2_P1_RX2 SDD21,P2_TX3_P1_RX3 SDD21,P2_TX4_P1_RX4 SDD21
50.0,-0.287682,-0.294703,-0.305097,-0.314787,-0.28773,-0.295761,-0.305392,-0.315896
100.0,-0.40418,-0.416656,-0.428459,-0.443016,-0.406514,-0.417891,-0.431359,-0.445412
150.0,-0.50942,-0.522971,-0.538209,-0.552805,-0.510736,-0.523937,-0.540788,-0.559232
200.0,-0.601839,-0.616748,-0.636176,-0.651878,-0.604658,-0.6186,-0.639919,-0.655521
250.0,-0.692853,-0.709533,-0.73214,-0.748187,-0.696362,-0.712246,-0.734442,-0.753846
300.0,-0.770089,-0.794821,-0.813006,-0.836627,-0.778587,-0.795413,-0.82036,-0.836252
350.0,-0.855962,-0.879144,-0.904066,-0.921137,-0.863538,-0.88623,-0.90775,-0.933328
400.0,-0.94383,-0.970484,-0.997377,-1.022098,-0.95066,-0.981706,-1.003867,-1.032404
450.0,-1.020574,-1.045345,-1.074999,-1.09723,-1.028339,-1.060051,-1.079025,-1.106605
500.0,-1.089781,-1.114575,-1.143245,-1.168099,-1.096864,-1.127035,-1.155278,-1.180497
550.0,-1.160706,-1.194642,-1.224164,-1.259373,-1.174045,-1.208269,-1.238171,-1.277232
600.0,-1.237004,-1.274625,-1.302562,-1.336406,-1.250768,-1.287563,-1.315222,-1.348464
650.0,-1.29053,-1.323274,-1.354774,-1.38249,-1.307259,-1.335912,-1.364439,-1.393851
700.0,-1.348141,-1.381471,-1.413409,-1.452378,-1.363679,-1.395014,-1.427943,-1.465612
750.0,-1.416381,-1.462683,-1.492855,-1.532679,-1.433748,-1.477138,-1.502931,-1.546681
800.0,-1.476875,-1.525496,-1.555101,-1.586884,-1.500195,-1.538654,-1.562037,-1.599158
850.0,-1.521007,-1.555871,-1.588684,-1.626398,-1.538145,-1.569899,-1.59728,-1.633497
900.0,-1.568438,-1.609946,-1.644736,-1.688439,-1.586983,-1.62091,-1.652414,-1.698427
950.0,-1.629909,-1.686532,-1.720301,-1.757496,-1.658791,-1.693781,-1.723905,-1.76857
1000.0,-1.685258,-1.73779,-1.767855,-1.799754,-1.716592,-1.748879,-1.770553,-1.808753
1050.0,-1.724027,-1.759292,-1.796456,-1.841533,-1.743936,-1.767852,-1.800018,-1.845761
1100.0,-1.769424,-1.818619,-1.851032,-1.900512,-1.791132,-1.826474,-1.856247,-1.909248
1150.0,-1.835118,-1.895772,-1.918559,-1.964164,-1.867113,-1.909883,-1.924959,-1.971168
1200.0,-1.882876,-1.928233,-1.948544,-1.995091,-1.914906,-1.943748,-1.956826,-2.003888
1250.0,-1.912608,-1.945095,-1.982144,-2.035681,-1.938775,-1.95847,-1.990208,-2.043134
1300.0,-1.961952,-2.001184,-2.035663,-2.092175,-1.982164,-2.013978,-2.045482,-2.10082
