Freq (MHz),P1_TX1_P2_RX1 SDD11,P1_TX2_P2_RX2 SDD11,P1_TX3_P2_RX3 SDD11,P1_TX4_P2_RX4 SDD11,P2_TX1_P1_RX1 SDD11,P2_TX2_P1_RX2 SDD11,P2_TX3_P1_RX3 SDD11,P2_TX4_P1_RX4 SDD11
50.0,-29.677326,-30.282951,-29.4914,-29.032501,-29.939514,-29.91512,-29.597149,-29.261004
100.0,-33.060747,-33.532154,-33.841224,-33.626456,-34.063937,-33.63494,-34.161038,-34.077899
150.0,-37.981928,-33.981668,-35.480337,-36.713297,-37.733641,-34.749017,-34.280046,-34.793646
200.0,-35.346939,-33.850631,-34.979064,-33.966667,-33.97976,-33.530049,-33.10281,-31.841043
250.0,-41.782758,-44.638562,-47.046472,-39.284121,-42.227136,-41.401794,-49.695647,-37.061639
300.0,-40.976563,-34.833643,-38.629409,-42.192514,-37.513034,-34.980526,-32.933467,-36.297141
350.0,-31.171604,-27.958068,-30.218196,-28.916737,-29.62817,-27.328684,-27.438593,-26.636869
400.0,-28.503202,-26.071722,-27.345107,-25.590553,-27.047321,-25.220596,-26.838342,-24.381461
450.0,-32.3666,-30.633538,-32.055861,-30.266847,-30.262871,-30.33367,-33.716214,-31.108436
500.0,-37.171033,-31.771826,-32.574172,-29.369191,-36.020155,-29.131402,-27.971248,-27.856705
550.0,-25.432504,-22.474955,-23.328661,-21.733759,-24.186141,-21.10364,-22.154881,-20.600943
600.0,-24.500352,-22.033445,-23.790719,-22.392196,-23.254686,-21.420902,-23.93454,-22.15232
650.0,-31.036654,-30.843292,-34.028572,-27.835209,-30.679508,-32.912979,-45.677541,-38.091395
700.0,-28.741327,-25.9944,-23.911032,-22.063634,-28.102082,-24.147013,-23.125623,-22.266293
750.0,-22.908473,-20.149214,-20.502031,-19.897568,-21.72285,-19.618036,-20.7583,-20.025305
800.0,-23.337716,-21.233849,-23.151459,-22.301565,-22.475213,-21.91076,-25.516686,-24.600582
850.0,-30.098251,-34.388576,-34.492688,-25.488447,-33.599308,-44.540695,-33.159937,-30.581395
900.0,-27.567937,-24.030585,-23.14748,-21.560331,-26.636993,-23.589501,-22.348053,-21.861499
950.0,-22.837415,-19.878569,-21.289011,-20.392597,-21.871302,-20.501638,-21.793227,-21.108628
1000.0,-23.450991,-22.207688,-25.820257,-23.026617,-22.918793,-23.202963,-28.171128,-25.852387
1050.0,-30.108336,-39.995015,-32.294191,-25.940834,-32.576693,-42.963559,-33.088304,-30.294316
1100.0,-28.114133,-23.818944,-23.119974,-21.880727,-28.366075,-24.376571,-23.863778,-22.664107
1150.0,-22.536172,-20.064887,-22.08762,-20.524819,-22.333945,-20.390662,-23.044331,-21.483007
1200.0,-22.5939,-22.276668,-27.691525,-22.819835,-23.015237,-22.565153,-29.996978,-25.761254
1250.0,-26.485955,-30.716972,-30.324409,-24.296588,-29.296803,-34.462773,-32.129734,-27.683932
1300.0,-24.844314,-23.352976,-22.927437,-21.570705,-25.839236,-22.834591,-22.865445,-22.499173
