Freq_MHz,mean,std,count
50.0,-63.17892964,2.653964159993112,200
100.0,-60.497722395000004,3.9723449599116964,200
150.0,-59.811638825,6.789560908975555,200
200.0,-58.1663761,6.61760094034485,200
250.0,-57.142574595,7.675533207217366,200
300.0,-55.738891395,7.896264820747177,200
350.0,-54.496336525,8.421580230391562,200
400.0,-53.3436734,8.03403610523513,200
450.0,-52.637373165,8.090367929312224,200
500.0,-50.874905295,7.598924986799648,200
550.0,-50.236109244999994,7.7369519601836965,200
600.0,-49.783461525,7.876653771793436,200
650.0,-49.56528624,8.646103462160688,200
700.0,-48.418586415,8.702346300841782,200
750.0,-47.714973904999994,7.957707187590212,200
800.0,-47.7324538,8.27162927310111,200
850.0,-47.23883887,8.981863867672054,200
900.0,-46.41570573,8.506203730358234,200
950.0,-46.067819215,7.918508390115216,200
1000.0,-46.021768855,8.044401153941083,200
1050.0,-45.223651475,7.969006275755641,200
1100.0,-44.858159125,8.439027701329213,200
1150.0,-44.840036205,8.02310639776901,200
1200.0,-44.64923651,7.970637120641705,200
1250.0,-43.72520886,7.915894380589935,200
1300.0,-43.619507045,8.571755186081184,200
1350.0,-43.847697085,8.315120308457917,200
1400.0,-43.20841695,7.878254693266288,200
1450.0,-42.10428850500001,7.774516172750166,200
1500.0,-42.447373105,8.527492927610826,200
1550.0,-42.602154170000006,8.07793524397101,200
1600.0,-41.823423425,7.597467859611435,200
1650.0,-40.989903425,7.590776804279594,200
1700.0,-41.572547455000006,8.797633694796598,200
1750.0,-41.972558605,9.220686274294644,200
1800.0,-40.98979525,7.841887020854258,200
1850.0,-40.56670378,8.256466441760052,200
1900.0,-40.49525396,8.072317741482495,200
1950.0,-40.820741455,8.420477974427234,200
2000.0,-40.490974805,8.406514967740653,200
2050.0,-40.06328425,8.724846071363658,200
2100.0,-39.617746325,7.940030152381692,200
2150.0,-39.8580847,8.169745591729784,200
2200.0,-39.654189805,8.34127720258975,200
2250.0,-39.2516854,8.200218072607573,200
2300.0,-39.017000280000005,7.652125480023438,200
2350.0,-39.125535215,7.94581499813621,200
2400.0,-39.013730725,8.105636264965456,200
2450.0,-38.896314645000004,8.174422742378193,200
2500.0,-38.732553345,7.720203105967709,200
2550.0,-38.751177755,7.9680919131699,200
2600.0,-38.583677625,7.974797657122421,200
2650.0,-38.711012965,8.653144082117416,200
2700.0,-38.31397186,7.67719608313008,200
2750.0,-38.26757682,7.641303898720682,200
2800.0,-38.181276085,8.072467786447238,200
2850.0,-38.28771646,8.93082323551821,200
2900.0,-38.010564035,7.70025575360785,200
2950.0,-37.971329745,7.495311461136224,200
3000.0,-37.895790965,7.9638887001582,200
3050.0,-37.701709795,8.293928316810167,200
3100.0,-37.463220265,7.447365248920388,200
3150.0,-37.474160845,7.318116190839407,200
3200.0,-37.43221511,7.869702443546911,200
3250.0,-37.324502095,8.08882441578405,200
3300.0,-37.083889895,7.439101428584532,200
3350.0,-36.940495535,7.229138427581699,200
3400.0,-37.140910585,8.21953803318414,200
3450.0,-36.99157002,8.101370783965637,200
3500.0,-36.622705105,7.323063308787187,200
3550.0,-36.415100859999995,7.062392997413257,200
3600.0,-36.616082265,7.689044901197865,200
3650.0,-36.545555735,7.917999752156388,200
3700.0,-36.116531115,7.333413270817683,200
3750.0,-36.022587619999996,7.069164325184029,200
3800.0,-36.266605275,7.654936163118353,200
3850.0,-36.13413204,7.795310471240552,200
3900.0,-35.744397955,7.174690025293656,200
3950.0,-35.808933535,7.220003453593021,200
4000.0,-35.86403889,7.572343234296233,200
4050.0,-35.78323372,7.785530401576287,200
