Freq (MHz),P1_TX1_P2_RX1 SCD21,P1_TX2_P2_RX2 SCD21,P1_TX3_P2_RX3 SCD21,P1_TX4_P2_RX4 SCD21,P2_TX1_P1_RX1 SCD21,P2_TX2_P1_RX2 SCD21,P2_TX3_P1_RX3 SCD21,P2_TX4_P1_RX4 SCD21
50.0,-64.855499,-58.125414,-63.586904,-63.482511,-66.5201,-57.792035,-67.482862,-64.847948
100.0,-63.928765,-54.796476,-59.162194,-57.4324,-66.237673,-53.941575,-65.916285,-62.731475
150.0,-67.164672,-51.008165,-55.888113,-53.741625,-77.306954,-50.523667,-61.887832,-60.911329
200.0,-66.281495,-49.290579,-54.144591,-52.605207,-70.797602,-48.379505,-59.358138,-57.894173
250.0,-69.630361,-47.134415,-52.408886,-50.599251,-74.594898,-46.206427,-60.652016,-55.628747
300.0,-70.583414,-45.830661,-51.014877,-48.43371,-75.65101,-45.073592,-60.137052,-55.917904
350.0,-61.594219,-44.309992,-49.081697,-47.913797,-66.5144,-43.75239,-55.677626,-51.627587
400.0,-66.883319,-42.848261,-47.486598,-46.507741,-66.494789,-42.440797,-52.794589,-51.88026
450.0,-76.643988,-41.480625,-46.630056,-44.768301,-63.09346,-42.014791,-59.374501,-52.000898
500.0,-63.086599,-40.544965,-45.200783,-43.522458,-61.710126,-40.725574,-50.896149,-48.178278
550.0,-60.540239,-40.697707,-44.521084,-43.487416,-60.970181,-39.902665,-48.36564,-47.199734
600.0,-61.199999,-40.231581,-43.106572,-42.240614,-57.20051,-40.120917,-49.721566,-48.592054
650.0,-63.537356,-38.890347,-41.997453,-41.266097,-58.315532,-39.678546,-51.346843,-47.135684
700.0,-61.102055,-38.126605,-41.93402,-41.328014,-55.421538,-37.474602,-47.704076,-44.859172
750.0,-58.78508,-37.506939,-41.830492,-40.660663,-55.427789,-36.430806,-46.7513,-44.473677
800.0,-64.59366,-36.935812,-41.076526,-39.374457,-55.892997,-36.634336,-50.632859,-44.619244
850.0,-67.391614,-36.250881,-40.137869,-38.791616,-54.589294,-36.237991,-48.874923,-44.247581
900.0,-59.765277,-35.995478,-39.854727,-38.90577,-53.780306,-35.701414,-45.379279,-42.828784
950.0,-54.720779,-36.120342,-39.797331,-38.975009,-57.71521,-35.532054,-45.008982,-42.85299
1000.0,-55.63951,-35.883992,-39.526561,-37.97297,-58.66169,-35.655649,-47.186084,-42.975607
1050.0,-64.332802,-35.130897,-38.588583,-37.346667,-51.143737,-34.89678,-46.124402,-42.289887
1100.0,-58.667263,-34.64183,-38.54577,-37.213987,-50.386643,-33.917066,-44.724263,-41.512476
1150.0,-53.577713,-34.917465,-39.157726,-37.489557,-53.808144,-33.731985,-45.032474,-40.794593
1200.0,-54.962043,-34.651581,-38.391452,-36.843244,-55.131783,-33.937313,-47.628999,-41.089015
1250.0,-60.543995,-33.632778,-37.172632,-36.161922,-49.924431,-33.39068,-45.20921,-40.604207
1300.0,-57.778429,-33.137784,-37.267273,-36.154617,-48.23391,-32.80478,-42.632673,-40.305163
1350.0,-52.787954,-33.726598,-37.714861,-36.223017,-53.061447,-32.602928,-44.032184,-40.569877
1400.0,-52.856822,-33.326098,-36.644633,-35.425404,-53.220312,-32.566102,-45.498186,-40.525529
1450.0,-57.90389,-32.133443,-35.95116,-34.825091,-47.022055,-31.990593,-41.987501,-39.216721
1500.0,-63.224406,-32.00876,-36.455084,-34.824691,-46.110427,-31.724226,-41.113012,-38.802119
1550.0,-54.787314,-32.299028,-36.221959,-34.649843,-49.564539,-31.973944,-43.742516,-39.020356
1600.0,-53.661094,-31.918576,-35.16936,-34.273472,-50.105845,-31.689693,-43.948172,-39.032288
