Freq (MHz),P1_TX1_P2_RX1 SDD22,P1_TX2_P2_RX2 SDD22,P1_TX3_P2_RX3 SDD22,P1_TX4_P2_RX4 SDD22,P2_TX1_P1_RX1 SDD22,P2_TX2_P1_RX2 SDD22,P2_TX3_P1_RX3 SDD22,P2_TX4_P1_RX4 SDD22
50.0,-29.243066,-29.446309,-29.254429,-29.069593,-29.261582,-29.76085,-29.353532,-29.317206
100.0,-31.166427,-31.753589,-32.592779,-32.680669,-31.423501,-32.922929,-32.698925,-33.130456
150.0,-36.991665,-36.680343,-37.954301,-35.964287,-38.038361,-38.675567,-38.633852,-36.815529
200.0,-35.379006,-34.181545,-33.5793,-34.178224,-37.732035,-35.177817,-35.406417,-36.112818
250.0,-38.651064,-35.832456,-35.062925,-41.612658,-39.486637,-35.227186,-35.871646,-40.207994
300.0,-37.833053,-38.82134,-42.751326,-38.775008,-41.213412,-38.699234,-38.331326,-44.497728
350.0,-30.905954,-29.314243,-29.913774,-28.547594,-31.488787,-29.964375,-29.51666,-28.955208
400.0,-28.776013,-25.711394,-25.758908,-25.810003,-27.592103,-25.792539,-25.795377,-25.138423
450.0,-32.666404,-27.931476,-28.160667,-31.823164,-28.758939,-27.351001,-27.263024,-28.862585
500.0,-31.585761,-29.966382,-31.380212,-28.986092,-29.713694,-27.737683,-27.07963,-27.055261
550.0,-24.454209,-22.893009,-22.87013,-21.52349,-23.486047,-21.960698,-22.183054,-20.899254
600.0,-24.212698,-22.082517,-22.18369,-22.91073,-22.4016,-21.330573,-21.820913,-21.770595
650.0,-29.876017,-26.589717,-27.702835,-38.857515,-25.456932,-24.306555,-24.992297,-27.193479
700.0,-26.339517,-24.137597,-24.588103,-22.30596,-24.93768,-23.111899,-22.876894,-22.270094
750.0,-22.092228,-20.105617,-20.806784,-20.232848,-21.184174,-20.368617,-20.422112,-20.480637
800.0,-23.010304,-20.862307,-22.449921,-25.13698,-21.211908,-20.945558,-21.680858,-23.859253
