Freq (MHz),P1_TX1_P2_RX1 SDD21,P1_TX2_P2_RX2 SDD21,P1_TX3_P2_RX3 SDD21,P1_TX4_P2_RX4 SDD21,P2_TX1_P1_RX1 SDD21,P2_TX2_P1_RX2 SDD21,P2_TX3_P1_RX3 SDD21,P2_TX4_P1_RX4 SDD21
50.0,-0.288766,-0.295736,-0.304107,-0.31313,-0.286341,-0.29546,-0.303344,-0.314859
100.0,-0.404008,-0.4156,-0.429011,-0.443606,-0.405508,-0.417762,-0.430808,-0.444378
150.0,-0.509705,-0.522582,-0.538422,-0.55418,-0.509599,-0.524843,-0.541128,-0.557831
200.0,-0.603536,-0.618,-0.637211,-0.652217,-0.603738,-0.618246,-0.639073,-0.654387
250.0,-0.694575,-0.710809,-0.734041,-0.747205,-0.695212,-0.712016,-0.735143,-0.754643
300.0,-0.773169,-0.794937,-0.818447,-0.835406,-0.776995,-0.797109,-0.818987,-0.835987
350.0,-0.859731,-0.880964,-0.904913,-0.922344,-0.860249,-0.885547,-0.909369,-0.930642
400.0,-0.947868,-0.972063,-0.998398,-1.022804,-0.950646,-0.977315,-1.003138,-1.030408
450.0,-1.020654,-1.04746,-1.078673,-1.097072,-1.026936,-1.05832,-1.081445,-1.105562
500.0,-1.090986,-1.118619,-1.14571,-1.167702,-1.096306,-1.12405,-1.1561,-1.176248
550.0,-1.165427,-1.196218,-1.230021,-1.258931,-1.17489,-1.209332,-1.240021,-1.273704
600.0,-1.240475,-1.277783,-1.308425,-1.33515,-1.24968,-1.288072,-1.314489,-1.34756
650.0,-1.293199,-1.327654,-1.360151,-1.381336,-1.30687,-1.338203,-1.365525,-1.391341
700.0,-1.353796,-1.386913,-1.416454,-1.454341,-1.36204,-1.396002,-1.427448,-1.461977
750.0,-1.423806,-1.47031,-1.49832,-1.533441,-1.434282,-1.473545,-1.507083,-1.539455
800.0,-1.482625,-1.535539,-1.563088,-1.586581,-1.503246,-1.532697,-1.563228,-1.591187
850.0,-1.52565,-1.560309,-1.59497,-1.625944,-1.539701,-1.568044,-1.597819,-1.628026
900.0,-1.572171,-1.613921,-1.650998,-1.687717,-1.587023,-1.622683,-1.653414,-1.695453
950.0,-1.635934,-1.69611,-1.728245,-1.759113,-1.65469,-1.695721,-1.726941,-1.7638
