Freq (MHz),P1_TX1_P2_RX1 SDD21,P1_TX2_P2_RX2 SDD21,P1_TX3_P2_RX3 SDD21,P1_TX4_P2_RX4 SDD21,P2_TX1_P1_RX1 SDD21,P2_TX2_P1_RX2 SDD21,P2_TX3_P1_RX3 SDD21,P2_TX4_P1_RX4 SDD21
50.0,-0.287106,-0.295856,-0.305696,-0.313397,-0.288085,-0.295039,-0.304829,-0.31649
100.0,-0.404347,-0.41561,-0.429394,-0.443112,-0.406588,-0.417731,-0.431462,-0.444108
150.0,-0.510231,-0.523373,-0.540499,-0.553486,-0.509678,-0.524033,-0.541255,-0.557668
200.0,-0.603657,-0.617482,-0.637373,-0.652655,-0.603212,-0.618043,-0.639034,-0.656421
250.0,-0.693808,-0.712382,-0.733671,-0.747943,-0.695568,-0.712484,-0.733954,-0.753002
300.0,-0.770259,-0.795907,-0.816879,-0.83468,-0.777761,-0.797941,-0.819842,-0.838925
350.0,-0.859727,-0.880888,-0.907519,-0.921439,-0.861419,-0.884101,-0.909638,-0.932226
400.0,-0.945309,-0.974126,-0.999558,-1.022504,-0.948654,-0.979024,-1.001587,-1.027089
450.0,-1.022109,-1.049754,-1.07887,-1.099417,-1.028903,-1.057334,-1.08119,-1.104435
500.0,-1.090895,-1.119187,-1.147065,-1.167642,-1.09654,-1.124268,-1.156622,-1.179049
550.0,-1.165911,-1.199024,-1.22895,-1.258173,-1.175162,-1.205845,-1.239388,-1.272969
600.0,-1.240093,-1.276079,-1.309021,-1.33583,-1.249096,-1.286472,-1.314417,-1.34572
650.0,-1.293729,-1.328301,-1.359093,-1.384457,-1.305745,-1.336329,-1.364788,-1.392005
700.0,-1.352196,-1.386456,-1.416685,-1.453828,-1.363717,-1.393491,-1.428598,-1.462649
750.0,-1.421607,-1.470307,-1.498374,-1.531977,-1.433888,-1.473645,-1.505656,-1.54052
800.0,-1.482703,-1.532971,-1.563368,-1.586164,-1.501213,-1.532432,-1.562795,-1.58854
850.0,-1.524878,-1.56096,-1.595637,-1.624504,-1.537574,-1.567184,-1.598329,-1.628847
900.0,-1.57099,-1.614755,-1.649933,-1.687976,-1.584587,-1.622365,-1.652946,-1.695859
950.0,-1.635806,-1.69745,-1.726599,-1.75857,-1.655118,-1.695168,-1.726038,-1.761839
1000.0,-1.694054,-1.750826,-1.77479,-1.801999,-1.716901,-1.748892,-1.774474,-1.799752
1050.0,-1.73066,-1.767729,-1.805443,-1.839609,-1.746144,-1.771427,-1.800403,-1.840449
1100.0,-1.775257,-1.821523,-1.857608,-1.899431,-1.789599,-1.823387,-1.854986,-1.90502
1150.0,-1.841385,-1.901752,-1.92885,-1.959899,-1.86278,-1.897865,-1.922852,-1.966217
1200.0,-1.88992,-1.937607,-1.959833,-1.993129,-1.913378,-1.933278,-1.958458,-1.994527
1250.0,-1.920492,-1.953176,-1.99111,-2.034697,-1.938466,-1.957838,-1.991191,-2.038961
1300.0,-1.965171,-2.006713,-2.042283,-2.08725,-1.978056,-2.016161,-2.045462,-2.096384
1350.0,-2.024397,-2.074619,-2.090407,-2.128348,-2.042672,-2.083707,-2.099373,-2.134936
1400.0,-2.067274,-2.106829,-2.1311,-2.167137,-2.084414,-2.109957,-2.131608,-2.165382
1450.0,-2.099338,-2.12524,-2.170502,-2.220651,-2.110736,-2.136752,-2.164537,-2.218869
1500.0,-2.139339,-2.171459,-2.210268,-2.267361,-2.154337,-2.190966,-2.208486,-2.263222
1550.0,-2.187537,-2.227271,-2.253955,-2.298773,-2.213508,-2.249565,-2.256123,-2.29654
1600.0,-2.226321,-2.261077,-2.296342,-2.348937,-2.245411,-2.270371,-2.289846,-2.339724
1650.0,-2.265275,-2.288482,-2.339821,-2.397732,-2.276393,-2.304171,-2.32886,-2.385976
1700.0,-2.303501,-2.334683,-2.378309,-2.422376,-2.326062,-2.365773,-2.375537,-2.422676
1750.0,-2.344398,-2.382145,-2.418628,-2.461013,-2.377491,-2.410791,-2.415817,-2.458318
1800.0,-2.386037,-2.418053,-2.461975,-2.527019,-2.408169,-2.432041,-2.449919,-2.509593
1850.0,-2.430426,-2.455451,-2.506157,-2.565383,-2.442817,-2.47494,-2.493486,-2.553927
1900.0,-2.472717,-2.504089,-2.539038,-2.578797,-2.495455,-2.530383,-2.535683,-2.582426
1950.0,-2.506732,-2.535215,-2.572554,-2.622213,-2.536498,-2.563642,-2.572036,-2.625658
2000.0,-2.544312,-2.569547,-2.627207,-2.678245,-2.560698,-2.594277,-2.610651,-2.676038
2050.0,-2.596502,-2.621067,-2.670547,-2.701249,-2.611804,-2.649469,-2.65639,-2.708278
2100.0,-2.639436,-2.656284,-2.702634,-2.71951,-2.669167,-2.692633,-2.697197,-2.742225
2150.0,-2.660047,-2.681138,-2.744414,-2.771898,-2.688299,-2.717308,-2.735417,-2.788417
2200.0,-2.700824,-2.731063,-2.793466,-2.813444,-2.717598,-2.763976,-2.774582,-2.826159
2250.0,-2.770575,-2.77859,-2.825861,-2.83346,-2.778097,-2.81466,-2.816788,-2.85997
2300.0,-2.804071,-2.79358,-2.865369,-2.869284,-2.821502,-2.846239,-2.864621,-2.906657
2350.0,-2.808438,-2.830021,-2.909261,-2.911836,-2.833724,-2.876616,-2.903651,-2.950235
2400.0,-2.862929,-2.884713,-2.951772,-2.946383,-2.876618,-2.92626,-2.933597,-2.984355
2450.0,-2.925393,-2.915883,-2.992175,-2.972177,-2.930698,-2.966642,-2.978521,-3.016802
2500.0,-2.947725,-2.942619,-3.037514,-3.013688,-2.963692,-2.9956,-3.027759,-3.057329
2550.0,-2.957228,-2.983876,-3.072427,-3.058571,-2.987673,-3.033835,-3.056641,-3.101152
2600.0,-3.010433,-3.027049,-3.101609,-3.094312,-3.027855,-3.070788,-3.084496,-3.132886
2650.0,-3.068899,-3.06222,-3.139059,-3.124473,-3.078301,-3.100406,-3.126896,-3.169228
2700.0,-3.089612,-3.091381,-3.198651,-3.175229,-3.114607,-3.136522,-3.182026,-3.215585
2750.0,-3.108995,-3.131598,-3.230535,-3.22382,-3.135387,-3.173032,-3.211751,-3.249666
2800.0,-3.162297,-3.18154,-3.249131,-3.249411,-3.183023,-3.210193,-3.234268,-3.276983
2850.0,-3.21793,-3.214361,-3.288659,-3.281309,-3.23186,-3.239444,-3.268242,-3.324751
2900.0,-3.237463,-3.244054,-3.360138,-3.330325,-3.260785,-3.27472,-3.318965,-3.366666
2950.0,-3.259245,-3.289929,-3.390841,-3.366644,-3.286638,-3.308733,-3.346563,-3.388048
3000.0,-3.31479,-3.334531,-3.395316,-3.406249,-3.331053,-3.335829,-3.380425,-3.433286
3050.0,-3.352731,-3.354832,-3.427866,-3.454806,-3.359484,-3.367517,-3.438118,-3.476893
3100.0,-3.374702,-3.396674,-3.497403,-3.477898,-3.386306,-3.41515,-3.481902,-3.496373
3150.0,-3.407407,-3.440695,-3.526232,-3.512922,-3.424781,-3.441845,-3.495351,-3.536371
3200.0,-3.449565,-3.465456,-3.535258,-3.560411,-3.453462,-3.469846,-3.531705,-3.593514
3250.0,-3.469035,-3.482484,-3.564781,-3.58242,-3.477979,-3.506564,-3.578098,-3.609384
3300.0,-3.493649,-3.522177,-3.619013,-3.601247,-3.514705,-3.536112,-3.599868,-3.619228
3350.0,-3.535844,-3.565691,-3.657171,-3.653456,-3.546814,-3.557213,-3.62314,-3.672143
3400.0,-3.574826,-3.592451,-3.671749,-3.699438,-3.581073,-3.592943,-3.675969,-3.736124
3450.0,-3.603733,-3.62151,-3.6956,-3.71833,-3.614363,-3.635386,-3.708975,-3.755945
3500.0,-3.63451,-3.662008,-3.745824,-3.741094,-3.648972,-3.66686,-3.724511,-3.756697
3550.0,-3.67135,-3.703855,-3.783039,-3.790286,-3.68327,-3.694466,-3.765997,-3.803578
3600.0,-3.716517,-3.744846,-3.806705,-3.840308,-3.723019,-3.739199,-3.830043,-3.880642
3650.0,-3.749039,-3.770301,-3.840368,-3.86504,-3.75999,-3.794542,-3.869152,-3.897764
3700.0,-3.773979,-3.797483,-3.883561,-3.879691,-3.796372,-3.819585,-3.866419,-3.892039
3750.0,-3.816844,-3.844763,-3.940297,-3.942889,-3.838266,-3.835757,-3.9088,-3.970802
3800.0,-3.86499,-3.88145,-3.984387,-3.998177,-3.874647,-3.899889,-4.002153,-4.045442
3850.0,-3.893644,-3.914241,-3.993229,-3.997904,-3.918996,-3.985292,-4.030417,-4.02735
3900.0,-3.925342,-3.945977,-4.018214,-4.0161,-3.977203,-3.996583,-4.007748,-4.038137
3950.0,-3.961468,-3.990222,-4.116934,-4.086165,-4.001228,-3.989394,-4.090865,-4.116449
4000.0,-4.013799,-4.064726,-4.172464,-4.121234,-4.033241,-4.102931,-4.211013,-4.159101
4050.0,-4.061448,-4.102818,-4.135798,-4.124286,-4.120721,-4.188051,-4.18969,-4.151674
4100.0,-4.092691,-4.087306,-4.177336,-4.159552,-4.168685,-4.144663,-4.158951,-4.16868
4150.0,-4.102006,-4.138205,-4.282929,-4.201305,-4.142166,-4.151663,-4.264539,-4.220681
4200.0,-4.160589,-4.223445,-4.294149,-4.227766,-4.193176,-4.269614,-4.343232,-4.258053
4250.0,-4.226542,-4.229618,-4.258928,-4.253986,-4.297578,-4.317304,-4.302576,-4.278113
4300.0,-4.219995,-4.221668,-4.3076,-4.290859,-4.303826,-4.270146,-4.288949,-4.298219
4350.0,-4.217768,-4.279969,-4.381844,-4.320275,-4.269465,-4.294428,-4.371746,-4.341349
4400.0,-4.283356,-4.34389,-4.399056,-4.358258,-4.330731,-4.401483,-4.434572,-4.38507
4450.0,-4.340382,-4.351992,-4.393845,-4.39851,-4.430374,-4.456607,-4.420161,-4.419676
4500.0,-4.331572,-4.352173,-4.424169,-4.421774,-4.448478,-4.418198,-4.412726,-4.443211
4550.0,-4.329386,-4.403144,-4.492161,-4.450819,-4.413662,-4.43179,-4.487802,-4.478701
4600.0,-4.398833,-4.478387,-4.534263,-4.49129,-4.47017,-4.555615,-4.555129,-4.520721
4650.0,-4.479841,-4.509209,-4.523877,-4.527617,-4.609967,-4.63421,-4.543984,-4.552523
4700.0,-4.476747,-4.494816,-4.550422,-4.550986,-4.654166,-4.582198,-4.542079,-4.586378
4750.0,-4.452614,-4.540622,-4.620339,-4.581628,-4.582215,-4.573683,-4.612803,-4.619703
4800.0,-4.54142,-4.646463,-4.643946,-4.615202,-4.647472,-4.705972,-4.65289,-4.654256
4850.0,-4.659071,-4.672551,-4.639649,-4.656786,-4.846849,-4.761753,-4.651869,-4.70254
4900.0,-4.628271,-4.631543,-4.679619,-4.720766,-4.848206,-4.696723,-4.676676,-4.772503
4950.0,-4.572365,-4.672803,-4.712605,-4.774694,-4.717076,-4.719192,-4.719009,-4.823281
5000.0,-4.681516,-4.756114,-4.73329,-4.776323,-4.821083,-4.822332,-4.754065,-4.82579
5050.0,-4.77615,-4.753899,-4.766008,-4.829329,-4.973292,-4.847589,-4.781514,-4.878308
5100.0,-4.717769,-4.741507,-4.796503,-4.972731,-4.907959,-4.814115,-4.820727,-5.012259
5150.0,-4.682709,-4.788976,-4.823299,-4.989354,-4.826768,-4.838513,-4.86464,-5.031234
5200.0,-4.771662,-4.831686,-4.854288,-4.919001,-4.90717,-4.897247,-4.887393,-4.966684
5250.0,-4.848612,-4.850916,-4.895983,-5.023727,-4.999131,-4.942456,-4.925212,-5.043618
5300.0,-4.839121,-4.871357,-4.939857,-5.166313,-5.003403,-4.975627,-4.995618,-5.182898
5350.0,-4.82026,-4.890654,-4.944574,-5.109686,-4.964069,-4.979756,-5.016828,-5.160971
5400.0,-4.865754,-4.925087,-4.974466,-5.029764,-4.990446,-5.00737,-5.010266,-5.089297
5450.0,-4.954029,-4.975639,-5.029328,-5.105681,-5.097071,-5.074847,-5.053621,-5.163983
5500.0,-4.999021,-5.008086,-5.055165,-5.225586,-5.184558,-5.120549,-5.114196,-5.303333
5550.0,-4.98215,-5.017496,-5.066978,-5.230649,-5.153326,-5.109624,-5.135971,-5.317398
5600.0,-4.998879,-5.047236,-5.093178,-5.15842,-5.131607,-5.123916,-5.146995,-5.238525
5650.0,-5.104789,-5.097315,-5.134483,-5.204661,-5.257492,-5.193874,-5.174488,-5.306523
5700.0,-5.172454,-5.12523,-5.193721,-5.390549,-5.354475,-5.236057,-5.241364,-5.510241
5750.0,-5.140062,-5.143324,-5.242059,-5.449385,-5.28202,-5.252368,-5.333409,-5.529581
5800.0,-5.149226,-5.169949,-5.258526,-5.332006,-5.265018,-5.274827,-5.35678,-5.39601
5850.0,-5.219593,-5.207266,-5.291018,-5.34942,-5.352725,-5.319277,-5.328651,-5.448006
