Freq (MHz),P1_TX1_P2_RX1 SDD11,P1_TX2_P2_RX2 SDD11,P1_TX3_P2_RX3 SDD11,P1_TX4_P2_RX4 SDD11,P2_TX1_P1_RX1 SDD11,P2_TX2_P1_RX2 SDD11,P2_TX3_P1_RX3 SDD11,P2_TX4_P1_RX4 SDD11
50.0,-29.905201,-30.009101,-29.839819,-29.624786,-29.916123,-30.382014,-29.909064,-29.439398
100.0,-33.581826,-33.057244,-34.378161,-35.235377,-34.052253,-35.395763,-34.698979,-34.669862
150.0,-38.329006,-35.210646,-34.839813,-36.016409,-36.239347,-34.589689,-33.903129,-35.080126
200.0,-35.511746,-35.30162,-35.152088,-33.373544,-33.161436,-33.469036,-33.034915,-32.102915
250.0,-42.503461,-46.438797,-48.485357,-37.373699,-42.240902,-44.989053,-46.061317,-37.894694
300.0,-41.473737,-35.28555,-35.723415,-46.118386,-36.400406,-33.833813,-32.391975,-36.207294
350.0,-31.533393,-28.398616,-29.792911,-29.904423,-29.70407,-27.751308,-27.400266,-26.989488
400.0,-28.813468,-26.316101,-27.274853,-25.674377,-27.909679,-26.182972,-26.738545,-24.721592
450.0,-32.790908,-30.678668,-31.548221,-29.503477,-31.871057,-31.440392,-32.63112,-31.207401
500.0,-36.585254,-32.728879,-33.049365,-30.847898,-33.108722,-29.593141,-28.301483,-28.377606
550.0,-25.102997,-22.896067,-23.103594,-21.870029,-23.803221,-21.990335,-22.405143,-21.028722
600.0,-24.102389,-22.456191,-23.060267,-21.781421,-23.332637,-22.693925,-23.973471,-22.71722
650.0,-30.203398,-31.359294,-32.397142,-27.191934,-31.25771,-37.461156,-43.771129,-41.61201
700.0,-29.323435,-25.957067,-25.238372,-23.591056,-27.567773,-23.614093,-23.466788,-22.104388
750.0,-23.016947,-20.45764,-20.731984,-20.710003,-21.649863,-19.778527,-20.876043,-19.966703
800.0,-23.196643,-21.704339,-22.518589,-22.319276,-22.569166,-22.515816,-25.3202,-24.583386
850.0,-29.699572,-36.954734,-33.426794,-25.613173,-34.804976,-46.130595,-34.369145,-31.899384
900.0,-27.766323,-23.926868,-24.01468,-22.556769,-26.920574,-23.119352,-22.675429,-22.317878
950.0,-22.786133,-20.047442,-21.391453,-21.074095,-22.378523,-20.710611,-22.006532,-21.588628
1000.0,-23.11759,-22.565556,-25.000967,-23.051576,-23.997367,-24.227329,-28.397124,-26.582962
1050.0,-29.389739,-45.752935,-35.475786,-26.040866,-38.17028,-41.292922,-32.732732,-30.683541
1100.0,-29.010061,-23.744147,-24.163587,-22.911443,-27.008812,-23.670767,-23.712221,-23.127113
1150.0,-22.856947,-20.185461,-22.201015,-21.331558,-22.083963,-20.553539,-22.841103,-22.169288
1200.0,-22.709411,-22.830236,-26.043646,-23.176747,-23.488277,-23.474806,-29.083271,-26.428919
1250.0,-26.595353,-35.546152,-30.534689,-24.417297,-33.224724,-42.170864,-33.512615,-26.315323
1300.0,-25.118466,-23.250075,-24.262152,-22.11841,-25.5364,-22.425873,-23.484318,-22.094226
1350.0,-21.740611,-20.51188,-23.411644,-22.106735,-21.07746,-19.637053,-23.570521,-22.965007
1400.0,-21.990391,-23.048833,-25.409583,-22.903438,-22.193793,-22.954943,-30.563647,-25.449245
1450.0,-24.30588,-27.93632,-25.981212,-21.777168,-28.044579,-31.655958,-27.335311,-23.106547
1500.0,-23.631166,-22.795828,-25.219056,-22.404531,-23.994577,-21.231688,-23.527323,-23.230124
1550.0,-22.217071,-21.353317,-25.114109,-24.004545,-21.285587,-20.105256,-26.165453,-26.142624
1600.0,-22.593951,-24.167374,-24.983925,-21.686582,-23.538926,-25.534266,-30.285687,-24.551759
1650.0,-23.868504,-26.641097,-25.564163,-21.554237,-27.763514,-26.963181,-25.317528,-23.748399
1700.0,-24.526398,-23.220547,-27.622891,-27.100833,-23.752923,-21.238917,-25.96673,-28.142352
1750.0,-24.220921,-22.83454,-28.167244,-25.529846,-22.897766,-21.993463,-32.379261,-28.839065
1800.0,-24.385097,-26.892829,-26.542859,-21.360771,-26.414329,-30.22899,-29.144952,-24.6043
1850.0,-24.880448,-26.804327,-26.534979,-23.531344,-26.503617,-26.961062,-26.668695,-26.150886
1900.0,-25.32854,-23.76926,-30.902141,-36.433082,-23.709684,-23.134273,-30.066273,-36.751617
1950.0,-26.679841,-25.899816,-35.126412,-25.522344,-25.534655,-26.257661,-43.489551,-28.005652
2000.0,-25.788717,-27.973484,-26.166166,-22.135584,-29.279475,-31.535837,-28.743805,-24.553666
2050.0,-23.147098,-23.746168,-24.988184,-24.551751,-23.680444,-24.077587,-26.984355,-27.615617
2100.0,-23.454115,-24.466452,-31.515428,-44.006416,-22.215916,-23.518735,-32.406779,-47.98789
2150.0,-28.37833,-30.382856,-30.861044,-26.076072,-26.420337,-29.956741,-33.313152,-27.119842
2200.0,-24.241641,-24.532546,-23.955334,-23.058295,-26.286391,-26.094556,-26.622994,-25.868543
2250.0,-20.404278,-22.831982,-24.82522,-27.001293,-21.491144,-22.966617,-27.802613,-32.073081
2300.0,-22.2482,-28.536671,-31.520278,-34.468452,-22.714157,-26.718816,-33.978686,-32.041909
2350.0,-29.843561,-29.245136,-26.346383,-25.340118,-30.902673,-33.093898,-28.016223,-26.768403
2400.0,-22.203404,-23.954605,-24.402844,-25.423032,-23.382372,-25.264494,-26.554967,-28.613521
2450.0,-20.130877,-25.626917,-28.520481,-34.542687,-20.691194,-25.49147,-30.552955,-36.950305
2500.0,-24.47979,-33.623596,-28.429807,-30.809653,-24.156216,-33.652263,-28.722686,-28.433523
2550.0,-31.601034,-30.005924,-24.848746,-25.925043,-34.077962,-33.065181,-26.809702,-27.083683
2600.0,-22.361338,-26.441534,-27.32139,-27.697776,-23.162188,-27.775925,-30.958675,-33.241639
2650.0,-21.737464,-28.143029,-32.864937,-41.587211,-21.492671,-29.733502,-30.945154,-34.099897
2700.0,-28.731376,-45.24418,-25.593766,-29.009701,-26.18437,-35.417323,-26.94985,-27.313142
2750.0,-31.786267,-29.281985,-24.587783,-26.190972,-36.048539,-31.911885,-28.529733,-29.024645
2800.0,-23.18679,-25.95441,-30.9443,-31.82039,-23.589323,-30.269287,-36.534223,-49.103986
2850.0,-23.449261,-30.006754,-31.514092,-37.453248,-22.202324,-30.107242,-29.553186,-28.056252
2900.0,-30.793358,-36.541936,-24.522279,-28.422233,-27.84599,-33.591359,-26.494603,-27.343151
2950.0,-27.883722,-26.175261,-25.045296,-29.310373,-33.301381,-33.992071,-30.075825,-37.427297
3000.0,-22.87816,-25.591222,-35.033003,-31.057234,-23.230088,-28.067848,-47.613306,-28.262019
3050.0,-24.336005,-34.217554,-30.750762,-27.934383,-23.035891,-29.386428,-28.937978,-25.011631
3100.0,-36.845671,-31.405057,-24.701257,-27.542741,-31.660716,-33.206036,-26.944979,-29.701757
3150.0,-26.380609,-25.260897,-25.10542,-26.43519,-30.315424,-28.602688,-32.161819,-31.009877
3200.0,-22.874183,-26.753982,-29.9395,-25.60755,-24.224517,-30.454034,-29.565204,-24.54146
3250.0,-25.76882,-32.752659,-29.869938,-28.799267,-26.513482,-50.741406,-25.470333,-25.52537
3300.0,-35.993546,-28.174729,-25.248396,-29.41298,-40.040002,-29.535944,-28.440776,-36.360097
3350.0,-25.283966,-25.28002,-24.007962,-24.491537,-28.887808,-29.085822,-30.496656,-26.796793
3400.0,-22.739499,-25.490012,-26.065668,-24.620516,-25.528446,-34.352699,-24.38616,-23.497535
3450.0,-24.973725,-27.497838,-28.04294,-31.412144,-27.080135,-29.974204,-24.185919,-26.335889
3500.0,-31.525764,-27.864497,-24.535341,-30.454993,-31.102437,-27.517455,-30.110403,-40.97085
3550.0,-25.878659,-24.71943,-23.10925,-24.41922,-29.434859,-28.879319,-27.227144,-25.435408
3600.0,-22.810642,-24.167631,-24.359901,-24.545703,-27.592209,-29.264376,-22.708647,-22.9682
3650.0,-24.993554,-25.976652,-25.423624,-30.251176,-29.654648,-26.745359,-24.241731,-27.633585
3700.0,-29.056247,-25.990954,-25.01435,-28.446874,-31.388365,-26.827991,-35.746947,-33.865371
3750.0,-24.140353,-24.638895,-23.071319,-22.797078,-27.721297,-32.289994,-25.912542,-23.699564
3800.0,-22.618201,-24.061774,-21.730264,-23.063019,-28.136325,-27.578007,-21.583427,-23.159089
3850.0,-24.609837,-23.04847,-24.239503,-30.907748,-28.977952,-23.010915,-23.325418,-28.989395
3900.0,-26.040849,-24.538098,-27.766128,-28.630131,-25.02844,-24.43165,-44.063185,-30.377602
3950.0,-24.139683,-26.689358,-20.937825,-22.927228,-24.575719,-35.442383,-23.418311,-24.340408
4000.0,-23.227124,-22.348006,-19.923796,-25.080131,-29.162033,-23.839504,-19.914854,-24.86439
4050.0,-22.037458,-20.87885,-26.068125,-43.3656,-23.809035,-20.838567,-22.933414,-30.893644
4100.0,-22.479562,-25.468427,-26.713927,-27.927017,-21.911741,-26.192447,-39.54443,-33.837539
4150.0,-25.001772,-26.389625,-19.876643,-25.181471,-26.748051,-29.808151,-21.227224,-26.957617
4200.0,-22.182393,-20.255129,-20.869987,-28.343974,-27.14065,-19.789499,-19.682695,-27.403259
4250.0,-19.452615,-20.723799,-31.625808,-37.172721,-20.312511,-19.239801,-25.272273,-34.666288
4300.0,-21.211578,-27.965524,-25.870267,-39.265201,-20.426354,-26.342909,-32.461744,-40.377264
4350.0,-24.852557,-24.941939,-21.177227,-32.709946,-27.740985,-26.852161,-21.29349,-31.791014
