Freq (MHz),P1_TX1_P2_RX1 SDD21,P1_TX2_P2_RX2 SDD21,P1_TX3_P2_RX3 SDD21,P1_TX4_P2_RX4 SDD21,P2_TX1_P1_RX1 SDD21,P2_TX2_P1_RX2 SDD21,P2_TX3_P1_RX3 SDD21,P2_TX4_P1_RX4 SDD21
50.0,-0.286239,-0.294182,-0.303878,-0.312433,-0.285226,-0.295366,-0.304528,-0.313859
100.0,-0.404216,-0.416746,-0.429768,-0.442813,-0.405369,-0.416491,-0.431329,-0.444959
150.0,-0.509876,-0.523073,-0.540404,-0.553596,-0.509988,-0.522375,-0.541353,-0.557541
200.0,-0.603088,-0.617784,-0.635493,-0.651048,-0.603306,-0.616781,-0.639564,-0.655
250.0,-0.694033,-0.711633,-0.732526,-0.747252,-0.696265,-0.711364,-0.733516,-0.754108
300.0,-0.771942,-0.793285,-0.814377,-0.833768,-0.778775,-0.796331,-0.821302,-0.835247
350.0,-0.858736,-0.879402,-0.903511,-0.920481,-0.862819,-0.883859,-0.908271,-0.928831
400.0,-0.94671,-0.972278,-0.998575,-1.021517,-0.951865,-0.974556,-0.999936,-1.026864
450.0,-1.020996,-1.044297,-1.074216,-1.097219,-1.030832,-1.053699,-1.077927,-1.099685
500.0,-1.090664,-1.114841,-1.14539,-1.167499,-1.098015,-1.122716,-1.155289,-1.175286
550.0,-1.167175,-1.193871,-1.229572,-1.258217,-1.17763,-1.208205,-1.238997,-1.271319
600.0,-1.241142,-1.274158,-1.308746,-1.340779,-1.250523,-1.282458,-1.311418,-1.343051
650.0,-1.293686,-1.322473,-1.355914,-1.383321,-1.308866,-1.332059,-1.364601,-1.387913
700.0,-1.350117,-1.379577,-1.414694,-1.448328,-1.364073,-1.395181,-1.427858,-1.462656
750.0,-1.418141,-1.46212,-1.497446,-1.527289,-1.431869,-1.479982,-1.502081,-1.544462
800.0,-1.479796,-1.526776,-1.56107,-1.586669,-1.499952,-1.536668,-1.556017,-1.590649
850.0,-1.523312,-1.553803,-1.593241,-1.624306,-1.539324,-1.567479,-1.597262,-1.6276
900.0,-1.571192,-1.605628,-1.646973,-1.68612,-1.586412,-1.620273,-1.654019,-1.694601
950.0,-1.635442,-1.687108,-1.722603,-1.756369,-1.652759,-1.693298,-1.721683,-1.762398
1000.0,-1.697749,-1.74314,-1.77058,-1.798271,-1.710348,-1.748117,-1.768036,-1.80207
1050.0,-1.731075,-1.756694,-1.799609,-1.838021,-1.741967,-1.769507,-1.801618,-1.836579
1100.0,-1.770623,-1.811093,-1.85548,-1.893393,-1.787452,-1.822342,-1.855698,-1.900381
1150.0,-1.836618,-1.891508,-1.923607,-1.960867,-1.857893,-1.900807,-1.916879,-1.962
1200.0,-1.889194,-1.928025,-1.953035,-1.997487,-1.906509,-1.936069,-1.954657,-1.992074
1250.0,-1.918028,-1.93957,-1.985618,-2.032837,-1.934026,-1.957226,-1.989999,-2.030604
1300.0,-1.960319,-1.992948,-2.038499,-2.085213,-1.978687,-2.016736,-2.045635,-2.088514
1350.0,-2.018599,-2.058604,-2.087062,-2.128846,-2.041182,-2.088437,-2.089222,-2.131695
1400.0,-2.062852,-2.08899,-2.123119,-2.16837,-2.082374,-2.11295,-2.123041,-2.164955
1450.0,-2.09447,-2.110476,-2.16408,-2.21798,-2.108657,-2.136694,-2.163079,-2.214001
1500.0,-2.131645,-2.158119,-2.20466,-2.258774,-2.153724,-2.193714,-2.210692,-2.255991
1550.0,-2.181497,-2.213915,-2.248018,-2.294472,-2.214191,-2.25392,-2.252105,-2.29004
1600.0,-2.220205,-2.244318,-2.287792,-2.34493,-2.245813,-2.274561,-2.287661,-2.332756
1650.0,-2.260124,-2.272903,-2.330461,-2.394613,-2.275821,-2.303162,-2.328853,-2.379646
1700.0,-2.29416,-2.324111,-2.369766,-2.417343,-2.321949,-2.366652,-2.373637,-2.416255
1750.0,-2.336996,-2.371098,-2.408727,-2.458747,-2.375216,-2.417986,-2.411864,-2.454569
1800.0,-2.379949,-2.399126,-2.45135,-2.527782,-2.409496,-2.435706,-2.447428,-2.506061
1850.0,-2.419988,-2.432236,-2.499617,-2.560303,-2.444819,-2.470501,-2.49571,-2.548077
1900.0,-2.460026,-2.486081,-2.531641,-2.573274,-2.493671,-2.52884,-2.535833,-2.574459
1950.0,-2.49585,-2.516223,-2.564123,-2.623263,-2.532139,-2.563814,-2.568154,-2.622019
2000.0,-2.536176,-2.546764,-2.617982,-2.68117,-2.563316,-2.591348,-2.613849,-2.674116
2050.0,-2.586917,-2.595808,-2.660533,-2.701618,-2.611118,-2.643814,-2.654125,-2.699577
2100.0,-2.628071,-2.633896,-2.690521,-2.719942,-2.663568,-2.691313,-2.694394,-2.738397
2150.0,-2.648805,-2.658206,-2.732227,-2.772584,-2.686372,-2.715304,-2.733004,-2.787367
2200.0,-2.695389,-2.705136,-2.783664,-2.81816,-2.724226,-2.760346,-2.777171,-2.825031
2250.0,-2.761364,-2.753045,-2.819339,-2.832512,-2.783822,-2.81248,-2.811896,-2.858311
2300.0,-2.789617,-2.773333,-2.855319,-2.869394,-2.82084,-2.844677,-2.853821,-2.902164
2350.0,-2.79931,-2.80577,-2.895181,-2.91169,-2.833156,-2.873118,-2.897126,-2.942407
2400.0,-2.856538,-2.85369,-2.937378,-2.947558,-2.884815,-2.924545,-2.933297,-2.978736
2450.0,-2.917027,-2.888389,-2.974001,-2.973345,-2.941431,-2.963015,-2.969223,-3.018308
2500.0,-2.932873,-2.918536,-3.015994,-3.013549,-2.966362,-2.991303,-3.016581,-3.06283
2550.0,-2.950323,-2.954479,-3.053461,-3.061832,-2.990898,-3.027692,-3.052813,-3.10397
2600.0,-3.006677,-2.993217,-3.084704,-3.095638,-3.040089,-3.066572,-3.081286,-3.131862
2650.0,-3.056714,-3.031002,-3.117792,-3.120692,-3.095185,-3.103332,-3.119794,-3.16759
2700.0,-3.081773,-3.063528,-3.170473,-3.170459,-3.123911,-3.135648,-3.168351,-3.217561
2750.0,-3.104923,-3.103414,-3.20937,-3.221676,-3.142517,-3.165075,-3.202264,-3.251983
2800.0,-3.159522,-3.145641,-3.230005,-3.248914,-3.197201,-3.202601,-3.231617,-3.274608
2850.0,-3.205665,-3.176901,-3.267165,-3.275922,-3.248073,-3.23652,-3.272681,-3.325085
2900.0,-3.228582,-3.214272,-3.32692,-3.332288,-3.262873,-3.269972,-3.322263,-3.366134
2950.0,-3.26533,-3.264232,-3.359139,-3.367994,-3.287608,-3.303966,-3.351983,-3.382851
3000.0,-3.321777,-3.301038,-3.372771,-3.393888,-3.347668,-3.338568,-3.37451,-3.427426
3050.0,-3.348,-3.320654,-3.409026,-3.435706,-3.377385,-3.36956,-3.423198,-3.475991
3100.0,-3.367607,-3.363622,-3.47243,-3.474497,-3.39559,-3.413877,-3.468086,-3.492869
3150.0,-3.416162,-3.409499,-3.499127,-3.512586,-3.434855,-3.439572,-3.486049,-3.523187
3200.0,-3.459295,-3.433225,-3.514735,-3.551804,-3.468589,-3.463347,-3.523223,-3.580279
