Freq (MHz),P1_TX1_P2_RX1 SDD21,P1_TX2_P2_RX2 SDD21,P1_TX3_P2_RX3 SDD21,P1_TX4_P2_RX4 SDD21,P2_TX1_P1_RX1 SDD21,P2_TX2_P1_RX2 SDD21,P2_TX3_P1_RX3 SDD21,P2_TX4_P1_RX4 SDD21
50.0,-0.288509,-0.294255,-0.304538,-0.313314,-0.288119,-0.294976,-0.30508,-0.315666
100.0,-0.405313,-0.415888,-0.430799,-0.44311,-0.407646,-0.418116,-0.43093,-0.445563
150.0,-0.509579,-0.523942,-0.539423,-0.552672,-0.51261,-0.52298,-0.541311,-0.558119
200.0,-0.60414,-0.618854,-0.636803,-0.65308,-0.605989,-0.617948,-0.639976,-0.656037
250.0,-0.695202,-0.712416,-0.734362,-0.748861,-0.698048,-0.71098,-0.735405,-0.754454
300.0,-0.773356,-0.795773,-0.816288,-0.838093,-0.781587,-0.796038,-0.819686,-0.84005
350.0,-0.860008,-0.883539,-0.907577,-0.924301,-0.866655,-0.881312,-0.910087,-0.933065
400.0,-0.945509,-0.974435,-1.000315,-1.021836,-0.95491,-0.973794,-1.002847,-1.032538
450.0,-1.022199,-1.049991,-1.078101,-1.097899,-1.032033,-1.053713,-1.079253,-1.107717
500.0,-1.090142,-1.11909,-1.147176,-1.170505,-1.103806,-1.124251,-1.154877,-1.180059
550.0,-1.165162,-1.198967,-1.228382,-1.26209,-1.17993,-1.207793,-1.240182,-1.271925
600.0,-1.238076,-1.280671,-1.307818,-1.340804,-1.252445,-1.286555,-1.315781,-1.343256
650.0,-1.293698,-1.329459,-1.358528,-1.386993,-1.312354,-1.337401,-1.366163,-1.394587
700.0,-1.346897,-1.387609,-1.416358,-1.454093,-1.371164,-1.394891,-1.428916,-1.468618
750.0,-1.414097,-1.468637,-1.495936,-1.531736,-1.439255,-1.470336,-1.504824,-1.546467
800.0,-1.472921,-1.531844,-1.555821,-1.585952,-1.505866,-1.527484,-1.560719,-1.593195
850.0,-1.519707,-1.559056,-1.5914,-1.624911,-1.543983,-1.564938,-1.602676,-1.631836
900.0,-1.570572,-1.611763,-1.648451,-1.688462,-1.595972,-1.619742,-1.653997,-1.698183
950.0,-1.630778,-1.695464,-1.723463,-1.75624,-1.666361,-1.691011,-1.724656,-1.766679
1000.0,-1.686721,-1.748318,-1.766187,-1.801435,-1.724395,-1.745223,-1.772664,-1.805011
1050.0,-1.72248,-1.765714,-1.798889,-1.842189,-1.754404,-1.769498,-1.803105,-1.84335
1100.0,-1.770576,-1.818294,-1.860964,-1.899923,-1.803781,-1.822012,-1.855409,-1.904876
1150.0,-1.835713,-1.897836,-1.929621,-1.959791,-1.871351,-1.896718,-1.920122,-1.96648
1200.0,-1.880409,-1.933551,-1.954982,-1.99318,-1.918578,-1.930594,-1.95586,-1.998097
1250.0,-1.910335,-1.951642,-1.987086,-2.033225,-1.946393,-1.954307,-1.993017,-2.03997
1300.0,-1.959579,-2.007141,-2.043048,-2.089506,-1.997687,-2.009911,-2.044694,-2.096171
1350.0,-2.017258,-2.073169,-2.092144,-2.135024,-2.062839,-2.079451,-2.092784,-2.136386
1400.0,-2.054718,-2.099195,-2.122289,-2.17258,-2.097325,-2.103693,-2.126676,-2.170189
1450.0,-2.089974,-2.12102,-2.164142,-2.223182,-2.125952,-2.131821,-2.165177,-2.218376
1500.0,-2.133055,-2.17391,-2.207838,-2.264454,-2.176405,-2.186212,-2.209652,-2.257406
1550.0,-2.177858,-2.231487,-2.253394,-2.300235,-2.239711,-2.24433,-2.255269,-2.296576
1600.0,-2.209803,-2.259313,-2.289266,-2.352861,-2.270344,-2.268595,-2.291551,-2.343842
1650.0,-2.251765,-2.284835,-2.331903,-2.404599,-2.301404,-2.296451,-2.329745,-2.385316
1700.0,-2.294569,-2.333412,-2.37243,-2.428477,-2.352697,-2.353624,-2.373609,-2.420748
1750.0,-2.336009,-2.382303,-2.412394,-2.466332,-2.407072,-2.398361,-2.415633,-2.462845
1800.0,-2.371221,-2.415937,-2.453328,-2.528534,-2.433078,-2.422349,-2.453526,-2.517094
1850.0,-2.412984,-2.451606,-2.50176,-2.564583,-2.465083,-2.463593,-2.494043,-2.556748
1900.0,-2.462426,-2.504719,-2.53413,-2.581483,-2.525531,-2.521669,-2.53602,-2.584901
1950.0,-2.497938,-2.534878,-2.567732,-2.632202,-2.57373,-2.555464,-2.569664,-2.634263
2000.0,-2.527637,-2.563956,-2.617711,-2.683947,-2.589995,-2.582057,-2.616996,-2.686719
2050.0,-2.577773,-2.609468,-2.664659,-2.707389,-2.640319,-2.636086,-2.658116,-2.7106
2100.0,-2.636306,-2.650466,-2.69484,-2.727219,-2.699301,-2.678907,-2.696938,-2.745714
2150.0,-2.655717,-2.674347,-2.731356,-2.78191,-2.723106,-2.702211,-2.738602,-2.802597
2200.0,-2.681508,-2.721147,-2.783203,-2.822073,-2.751033,-2.750151,-2.781434,-2.83979
2250.0,-2.7455,-2.768816,-2.819612,-2.83754,-2.811859,-2.799676,-2.818161,-2.866553
2300.0,-2.785903,-2.792397,-2.858356,-2.878522,-2.858796,-2.830864,-2.862469,-2.912561
2350.0,-2.796445,-2.827282,-2.897465,-2.923359,-2.874443,-2.864115,-2.902997,-2.959384
2400.0,-2.840338,-2.872761,-2.938417,-2.959121,-2.912842,-2.915779,-2.934772,-2.990518
2450.0,-2.898396,-2.903781,-2.973302,-2.982626,-2.966982,-2.95332,-2.972158,-3.019781
2500.0,-2.926347,-2.937859,-3.019285,-3.022712,-3.002469,-2.977232,-3.021864,-3.068555
2550.0,-2.943301,-2.980033,-3.061096,-3.07125,-3.026191,-3.018423,-3.058606,-3.119265
2600.0,-2.990325,-3.020329,-3.089647,-3.103916,-3.066858,-3.059597,-3.086962,-3.145436
2650.0,-3.041099,-3.054709,-3.120257,-3.134814,-3.116738,-3.087659,-3.122424,-3.174365
2700.0,-3.071994,-3.089004,-3.17459,-3.184574,-3.159643,-3.117771,-3.171018,-3.225994
2750.0,-3.09188,-3.126815,-3.210736,-3.229669,-3.177426,-3.153526,-3.204871,-3.263577
2800.0,-3.139154,-3.172977,-3.241189,-3.254527,-3.219521,-3.19381,-3.234552,-3.284205
2850.0,-3.187743,-3.204753,-3.27566,-3.293445,-3.271804,-3.22032,-3.274643,-3.332261
2900.0,-3.213212,-3.243446,-3.334259,-3.349633,-3.303759,-3.255561,-3.325192,-3.380777
2950.0,-3.24035,-3.29587,-3.367335,-3.379491,-3.332354,-3.299428,-3.352756,-3.39556
3000.0,-3.286462,-3.329808,-3.379969,-3.406618,-3.375315,-3.333509,-3.375885,-3.427677
3050.0,-3.320714,-3.346601,-3.423976,-3.448532,-3.405515,-3.346945,-3.429308,-3.477324
3100.0,-3.351744,-3.394387,-3.479967,-3.484055,-3.438706,-3.389829,-3.476789,-3.501533
3150.0,-3.391238,-3.441236,-3.506715,-3.515379,-3.481306,-3.425445,-3.492813,-3.530054
3200.0,-3.431682,-3.462584,-3.527331,-3.557773,-3.511878,-3.447916,-3.530631,-3.576041
3250.0,-3.454127,-3.48103,-3.565057,-3.580721,-3.531112,-3.47001,-3.575295,-3.602504
3300.0,-3.479563,-3.523597,-3.60582,-3.612406,-3.570198,-3.508555,-3.593621,-3.620338
