Freq (MHz),P1_TX1_P2_RX1 SDD22,P1_TX2_P2_RX2 SDD22,P1_TX3_P2_RX3 SDD22,P1_TX4_P2_RX4 SDD22,P2_TX1_P1_RX1 SDD22,P2_TX2_P1_RX2 SDD22,P2_TX3_P1_RX3 SDD22,P2_TX4_P1_RX4 SDD22
50.0,-29.535903,-29.589683,-29.062737,-29.253646,-29.834699,-29.425491,-29.109258,-29.159997
100.0,-31.803118,-32.077295,-32.296458,-33.106149,-32.966049,-32.237163,-32.224893,-32.809232
150.0,-36.979325,-36.792635,-37.431879,-36.120041,-38.921207,-39.273315,-39.285063,-36.803524
200.0,-34.597929,-34.249001,-33.083133,-34.243315,-36.730124,-35.829326,-35.81445,-35.747427
250.0,-38.112256,-36.55304,-34.543634,-41.447661,-39.503723,-35.755744,-35.589095,-38.77042
300.0,-37.676681,-38.42681,-41.070308,-40.00746,-45.389564,-37.983169,-37.371706,-42.5336
350.0,-30.996519,-28.860829,-30.163317,-28.782071,-33.140968,-29.804102,-29.609747,-28.790475
400.0,-28.998885,-25.532238,-26.250637,-25.86169,-28.223212,-25.988912,-26.056556,-24.912135
450.0,-33.333203,-27.869898,-28.700085,-31.864247,-28.84652,-27.255178,-27.626025,-28.235776
500.0,-32.152807,-29.581112,-30.418505,-28.825311,-30.920396,-27.065983,-27.134266,-27.679851
550.0,-24.433803,-22.637717,-22.892836,-21.297026,-24.498835,-21.877872,-22.217133,-21.491373
600.0,-24.001074,-21.995154,-22.649637,-22.457949,-23.00656,-21.24749,-21.807657,-22.388298
650.0,-29.944923,-27.300753,-29.480979,-39.47189,-25.390762,-23.640872,-24.715206,-26.463337
700.0,-27.828153,-24.589928,-24.682935,-22.956483,-25.048079,-22.708303,-23.050238,-21.552388
750.0,-22.84658,-20.131171,-20.943042,-20.615066,-21.840186,-20.579598,-20.773722,-20.17237
800.0,-23.60139,-20.865299,-22.947179,-25.493894,-22.011643,-21.291795,-21.879479,-23.521923
850.0,-32.566709,-28.422133,-32.72229,-33.502662,-27.538998,-24.753579,-26.127444,-28.901402
900.0,-26.865773,-24.348602,-23.986664,-23.077353,-25.60994,-23.046736,-23.96536,-23.077843
950.0,-22.52696,-20.191271,-21.608539,-22.776404,-21.66381,-20.711921,-21.885801,-22.4235
1000.0,-23.858773,-21.490243,-24.959487,-27.680303,-22.581453,-21.817375,-23.975108,-27.659824
1050.0,-35.885645,-31.425368,-35.564897,-31.421668,-31.321163,-26.894606,-29.807269,-36.095585
1100.0,-27.575984,-24.673576,-23.858407,-24.172352,-27.575808,-23.926819,-25.261663,-24.313252
1150.0,-22.093484,-19.964468,-21.286459,-22.410402,-22.101367,-20.40325,-22.411564,-22.779132
1200.0,-23.25783,-21.794976,-24.837194,-27.414761,-23.319952,-21.918078,-24.977094,-28.747345
1250.0,-34.828081,-32.117997,-36.422829,-33.362787,-32.300808,-27.800129,-29.724789,-32.866387
1300.0,-26.011518,-23.221715,-24.413605,-23.230822,-25.500788,-22.813263,-24.221916,-23.561397
1350.0,-21.677604,-20.017607,-23.060746,-23.89494,-21.350947,-19.987771,-23.062338,-24.715519
1400.0,-24.344731,-22.800826,-28.541543,-33.804123,-23.379269,-22.317201,-26.939203,-40.247251
1450.0,-41.663178,-35.269592,-35.767927,-25.789226,-32.772473,-27.886137,-31.184828,-28.097613
1500.0,-24.513839,-23.982067,-26.319801,-24.663003,-23.937938,-22.289777,-26.02308,-26.930525
1550.0,-23.080194,-21.812353,-27.229939,-33.401776,-21.385644,-21.080117,-26.684785,-39.119728
1600.0,-29.564529,-25.920837,-35.083862,-25.710276,-24.686496,-25.437836,-35.984159,-28.922681
1650.0,-32.257513,-45.586544,-31.258116,-22.967143,-35.103432,-31.022201,-31.438259,-25.553966
1700.0,-24.84056,-26.888141,-30.780651,-30.441042,-24.693908,-24.188113,-28.270267,-32.485102
1750.0,-25.381413,-24.992565,-32.848613,-28.838533,-22.918309,-24.119683,-32.973251,-30.545705
1800.0,-33.285404,-28.967272,-29.355833,-22.298145,-28.569361,-33.353512,-38.518231,-24.153909
1850.0,-29.394333,-31.965347,-28.945862,-25.105968,-34.570236,-30.451238,-30.080145,-27.097288
1900.0,-25.270089,-27.081222,-35.375174,-40.506531,-24.566152,-25.330551,-31.225057,-38.168055
1950.0,-26.64757,-27.171334,-35.451619,-24.450238,-24.568049,-28.316546,-37.355209,-25.265983
2000.0,-31.546873,-31.802954,-28.587988,-23.279114,-32.974251,-43.626573,-30.892032,-24.504171
2050.0,-27.351372,-30.516297,-27.776556,-28.635822,-29.48136,-28.439992,-28.94198,-30.414003
2100.0,-24.100915,-28.842242,-32.247806,-31.826822,-24.272049,-27.260209,-29.688467,-29.88658
2150.0,-26.615741,-36.473953,-33.191731,-24.787724,-26.550426,-37.596141,-28.519227,-24.745688
2200.0,-34.349545,-30.873744,-27.486624,-24.595168,-40.486239,-31.842013,-27.627551,-25.258586
2250.0,-25.126191,-27.358667,-26.888713,-29.199686,-25.549863,-26.860245,-27.618494,-28.81526
2300.0,-23.958806,-33.583534,-26.553158,-27.3177,-23.756546,-31.314023,-24.794291,-25.258265
2350.0,-31.978944,-35.008002,-25.247815,-23.710462,-29.691889,-36.035654,-23.948325,-23.23513
2400.0,-29.271011,-27.6272,-25.290945,-24.332676,-32.051859,-26.421725,-25.820546,-24.890555
2450.0,-23.33396,-29.892876,-25.265315,-27.193664,-24.480292,-26.997689,-24.848624,-26.810969
2500.0,-25.209871,-32.886145,-23.863864,-25.044802,-24.499624,-34.470288,-22.967682,-23.545233
2550.0,-37.30214,-28.084955,-24.674077,-24.111892,-30.645599,-28.526092,-24.456067,-22.786225
