Freq (MHz),P1_TX1_P2_RX1 SCD21,P1_TX2_P2_RX2 SCD21,P1_TX3_P2_RX3 SCD21,P1_TX4_P2_RX4 SCD21,P2_TX1_P1_RX1 SCD21,P2_TX2_P1_RX2 SCD21,P2_TX3_P1_RX3 SCD21,P2_TX4_P1_RX4 SCD21
50.0,-63.846817,-60.26799,-59.912232,-62.767021,-63.831904,-63.521859,-67.234043,-62.115492
100.0,-60.45538,-59.022435,-55.260678,-58.821182,-59.654357,-60.693686,-62.856224,-59.372912
150.0,-59.242609,-56.358436,-51.723563,-56.498428,-57.184576,-59.702272,-67.738139,-57.827926
200.0,-59.586215,-55.689293,-49.205044,-54.475857,-56.646961,-59.257857,-67.050784,-56.136741
250.0,-58.578158,-52.411948,-47.336511,-52.372964,-54.878745,-59.964734,-62.997598,-53.642455
300.0,-54.953253,-50.288312,-45.728773,-49.820801,-51.983363,-56.848399,-65.917003,-54.074681
350.0,-52.825214,-49.724723,-44.651066,-49.346909,-50.622287,-55.588282,-74.596116,-49.369884
400.0,-51.059674,-49.047825,-43.096839,-48.347328,-50.982859,-57.109777,-63.846467,-49.894578
450.0,-50.137011,-47.040701,-41.848533,-46.400771,-49.888289,-54.333825,-59.138326,-49.649485
500.0,-48.576265,-45.438411,-40.899715,-44.987507,-49.570948,-53.32114,-60.456458,-46.510199
550.0,-48.676476,-45.866665,-40.423026,-44.978791,-49.890224,-54.017497,-63.96765,-46.483013
600.0,-47.856643,-44.271023,-39.301184,-43.292041,-50.478027,-51.04848,-59.124995,-47.299229
650.0,-47.556071,-42.953126,-38.304952,-41.946761,-48.566629,-49.900412,-57.028985,-45.557943
700.0,-46.690179,-42.832799,-38.092281,-42.001213,-48.596523,-52.837407,-58.663612,-42.942063
750.0,-46.013571,-42.696463,-37.971887,-41.798701,-51.12479,-54.662704,-63.691813,-42.433757
800.0,-45.042956,-42.044984,-37.153291,-40.826827,-52.548756,-51.580459,-55.157011,-43.030546
850.0,-45.187281,-41.261914,-36.271117,-39.781486,-50.064744,-52.454623,-52.716642,-42.680425
900.0,-45.492886,-40.648725,-36.180158,-39.994391,-48.188525,-51.230353,-55.166114,-41.265425
950.0,-45.295412,-40.798296,-36.114216,-40.327788,-47.4226,-48.337818,-59.459669,-41.690334
1000.0,-43.64464,-40.736723,-35.429623,-39.48686,-46.359636,-48.306547,-57.861407,-41.903826
1050.0,-42.738323,-39.626474,-34.47872,-38.324095,-47.278702,-51.604026,-57.164352,-40.855536
1100.0,-43.547687,-39.273905,-34.313713,-38.113948,-46.260144,-51.231131,-58.709077,-39.659425
1150.0,-45.12752,-39.757987,-34.646619,-38.336427,-45.233333,-46.349616,-63.638984,-39.445025
1200.0,-43.495492,-39.397457,-33.919081,-37.670376,-44.466765,-45.74508,-54.150709,-40.200268
1250.0,-41.602972,-38.175891,-33.023339,-36.966066,-46.602414,-49.087891,-50.420791,-39.548899
1300.0,-42.071063,-37.645668,-33.312758,-37.021806,-46.993606,-50.677628,-51.425894,-38.441914
1350.0,-43.89351,-38.667226,-33.781851,-37.329718,-43.702802,-45.583101,-62.642341,-38.294524
1400.0,-43.039217,-37.947259,-32.672423,-36.314107,-42.743258,-44.095539,-57.383899,-38.712747
1450.0,-41.061834,-36.542544,-31.759104,-35.679655,-44.556739,-47.73038,-52.226191,-38.153231
1500.0,-40.554522,-36.787409,-31.806458,-35.921282,-46.244404,-51.27508,-55.330938,-37.772398
1550.0,-41.257339,-37.228801,-31.766449,-35.92995,-43.415225,-44.945663,-59.50665,-37.726822
1600.0,-40.690397,-36.409154,-31.169063,-35.094174,-41.966984,-43.670803,-50.466628,-37.521273
1650.0,-39.886942,-35.562345,-30.827733,-34.418748,-43.491451,-48.856324,-48.4047,-36.869938
1700.0,-40.070185,-36.028386,-30.833104,-34.382304,-45.06111,-51.172873,-51.20944,-36.685598
1750.0,-41.026222,-36.177994,-30.740826,-34.492555,-43.290444,-45.006245,-63.626459,-36.61297
1800.0,-40.022525,-35.201925,-30.480703,-34.09124,-42.39749,-44.99469,-55.827374,-36.378467
1850.0,-38.731727,-34.744463,-30.244433,-33.511947,-43.903986,-50.695954,-52.253629,-36.113292
1900.0,-39.064154,-35.219168,-30.233085,-33.231436,-45.161663,-48.79414,-53.867083,-35.782856
1950.0,-40.160626,-35.353806,-29.992931,-33.009214,-43.696084,-44.899652,-59.192484,-35.787408
2000.0,-39.363693,-34.961846,-29.599855,-32.860749,-42.95723,-45.313879,-57.961373,-35.677578
2050.0,-38.204752,-34.742004,-29.331233,-32.708177,-43.66547,-47.547362,-50.735995,-35.093739
2100.0,-38.745997,-34.860261,-29.294818,-32.721353,-42.941302,-48.829956,-49.814155,-34.714668
2150.0,-39.735937,-34.784173,-29.273476,-32.603365,-42.154375,-46.154327,-54.639978,-35.111745
2200.0,-39.239896,-34.041989,-29.033983,-32.187939,-43.063446,-46.068154,-58.273486,-35.07113
2250.0,-38.234538,-33.608312,-28.947397,-32.65176,-44.756555,-47.372708,-51.462775,-34.618209
2300.0,-37.846451,-33.672813,-28.926012,-33.48348,-43.946164,-46.864979,-50.551959,-34.349892
2350.0,-37.999645,-33.769163,-28.67641,-33.081275,-42.390251,-44.467145,-52.044065,-34.193254
2400.0,-38.110873,-33.11426,-28.390558,-32.458989,-43.803842,-44.819572,-55.948096,-34.120933
2450.0,-38.185196,-32.861287,-28.460849,-32.674836,-45.294816,-46.597925,-53.353053,-34.153471
2500.0,-37.936645,-33.316608,-28.522559,-32.856003,-42.987874,-45.138903,-51.677275,-33.882422
2550.0,-37.774906,-33.30205,-28.220481,-32.523356,-41.519323,-42.627288,-51.238089,-33.720265
2600.0,-37.505547,-32.707068,-27.832662,-32.248151,-43.15303,-43.035495,-56.945359,-33.684154
2650.0,-37.413263,-32.62326,-27.902808,-32.151291,-45.845241,-43.287035,-66.050899,-33.266825
2700.0,-37.302338,-32.909937,-27.984305,-32.491693,-44.885179,-42.793109,-56.587267,-32.953113
2750.0,-37.408339,-32.910638,-27.722956,-32.552807,-43.074427,-41.905498,-55.938063,-33.092136
2800.0,-36.635851,-32.171773,-27.373988,-31.702121,-44.124587,-42.178774,-67.104625,-33.228724
2850.0,-36.14629,-31.807983,-27.507924,-31.3701,-45.927482,-42.447053,-58.839783,-33.396342
2900.0,-36.563231,-32.513534,-27.822249,-32.396442,-44.027074,-41.867778,-55.007225,-33.572956
2950.0,-36.906941,-33.120207,-27.787975,-33.458427,-42.825432,-40.702221,-53.612334,-33.501049
3000.0,-36.687856,-32.460225,-27.457687,-32.546514,-43.494897,-40.296651,-55.978126,-33.148028
3050.0,-36.560942,-31.708673,-27.50992,-31.668802,-45.683093,-41.891674,-55.482104,-33.04495
3100.0,-37.078134,-32.245602,-27.699343,-32.096121,-44.465001,-41.987391,-54.009271,-33.073329
3150.0,-36.879132,-32.627179,-27.19619,-32.713268,-42.019291,-39.864855,-54.610172,-32.942782
3200.0,-36.278992,-31.700906,-26.582786,-32.162629,-42.519412,-39.524271,-59.76518,-32.601477
3250.0,-36.422085,-31.365378,-26.80221,-31.348097,-45.603838,-40.784767,-62.251587,-32.709773
3300.0,-36.783355,-31.988232,-26.977206,-31.692967,-44.133705,-41.384033,-52.895768,-32.793251
3350.0,-36.543006,-32.300223,-26.575946,-32.492321,-41.220757,-39.979002,-52.71637,-32.27005
3400.0,-35.399679,-31.372107,-26.058572,-32.167093,-41.642412,-39.507935,-61.753774,-32.21751
3450.0,-35.062933,-30.673681,-25.966307,-31.038174,-43.982423,-40.105405,-51.481423,-32.849716
3500.0,-35.384015,-30.934466,-25.989187,-30.984717,-43.279063,-39.862589,-46.09145,-32.18766
3550.0,-35.803029,-31.50229,-25.868169,-31.947284,-41.456577,-38.873383,-45.058449,-31.139297
3600.0,-35.362874,-31.569732,-25.86705,-32.049649,-40.536928,-38.513645,-51.056327,-31.278163
3650.0,-34.901406,-31.021564,-26.119076,-30.689268,-42.288667,-39.220208,-53.711326,-31.875305
3700.0,-34.941539,-31.023358,-26.043436,-30.574802,-43.696769,-40.112007,-44.496776,-31.356467
3750.0,-35.270276,-31.649788,-25.661196,-31.430229,-41.587992,-40.369711,-44.011191,-31.118602
3800.0,-35.571679,-31.789323,-25.371427,-31.283848,-39.984864,-40.137635,-49.212581,-31.27634
3850.0,-35.166113,-30.974088,-25.401467,-30.370384,-41.269755,-40.018818,-53.041967,-31.498574
3900.0,-34.905912,-31.064247,-25.337873,-30.45308,-43.225784,-40.223531,-43.601062,-31.372204
3950.0,-35.508278,-31.797585,-25.127322,-31.192362,-40.852493,-40.381502,-41.686153,-30.913327
4000.0,-35.785424,-31.517127,-25.199772,-31.429771,-39.877361,-40.175918,-44.760649,-30.774278
4050.0,-35.962117,-30.775618,-25.242034,-30.299608,-41.202932,-39.547672,-55.118843,-31.239413
4100.0,-36.510967,-30.771498,-24.860608,-29.723976,-41.604582,-39.963833,-42.382783,-31.232459
4150.0,-36.370473,-30.698809,-24.548667,-30.302454,-40.202693,-41.101596,-39.481386,-30.55851
4200.0,-35.651143,-30.4134,-24.648686,-31.097267,-39.879369,-41.399007,-40.978087,-30.677687
4250.0,-35.758514,-30.381625,-24.894782,-30.310038,-40.627448,-40.129821,-50.283875,-31.425881
4300.0,-36.408845,-30.318411,-24.699513,-29.945277,-41.004738,-39.558645,-44.215225,-31.360596
4350.0,-36.384201,-29.672482,-24.430149,-30.6996,-40.952808,-41.391385,-39.938515,-31.050121
4400.0,-36.142886,-29.479611,-24.484681,-31.089277,-40.965673,-45.004215,-40.994434,-31.318688
4450.0,-35.936631,-29.926569,-24.692708,-30.206933,-41.614553,-42.576016,-49.033761,-31.316092
4500.0,-36.02566,-29.854595,-24.554665,-29.894406,-41.663976,-40.102121,-47.689116,-31.409774
4550.0,-35.17785,-29.423165,-24.37497,-29.995892,-41.834453,-42.094023,-42.767681,-31.340535
4600.0,-34.37817,-29.606915,-24.425991,-29.844018,-43.143479,-45.799509,-43.72298,-31.115395
4650.0,-34.963011,-30.02384,-24.459116,-29.638582,-43.572915,-42.94604,-51.506462,-30.995709
4700.0,-35.458416,-29.674427,-24.326492,-29.382761,-42.105838,-40.612912,-48.191359,-31.150979
4750.0,-33.936943,-29.422796,-24.17286,-29.254346,-42.61423,-42.791283,-42.613205,-31.067135
4800.0,-33.14554,-29.650922,-24.107804,-29.45732,-44.48445,-45.145931,-42.701446,-30.637173
4850.0,-33.93544,-29.816344,-24.027815,-29.528597,-44.45917,-41.863877,-46.202709,-30.551235
4900.0,-34.790229,-29.300073,-23.906971,-29.225356,-42.969169,-40.230885,-48.897322,-30.691815
4950.0,-33.633564,-28.967463,-23.931249,-29.47976,-43.680614,-42.806527,-43.390585,-30.812307
5000.0,-32.952587,-28.996904,-23.968202,-29.564644,-46.613643,-45.095099,-42.519635,-30.410658
5050.0,-33.451958,-29.328142,-23.812501,-29.18824,-46.225353,-41.024553,-46.277004,-30.068547
5100.0,-33.533205,-28.690767,-23.717489,-29.217804,-44.040635,-40.667532,-46.997329,-30.348702
5150.0,-32.46017,-28.146914,-23.892111,-29.311784,-45.806838,-43.561251,-43.418181,-30.627723
5200.0,-32.042511,-28.485673,-23.782863,-28.86306,-51.556525,-43.033071,-43.79794,-30.264989
5250.0,-32.28986,-29.204144,-23.456065,-28.790729,-48.287051,-40.512738,-47.466596,-29.870369
5300.0,-32.445577,-28.496462,-23.564849,-28.925552,-45.744116,-39.809578,-47.246059,-30.201849
5350.0,-31.737039,-28.168333,-23.590211,-28.463245,-49.022437,-40.272028,-46.700872,-30.611476
5400.0,-31.434748,-28.942358,-23.319822,-28.120703,-59.796205,-39.541081,-49.324654,-30.208804
5450.0,-31.726199,-29.240001,-23.143901,-28.275238,-48.161021,-39.189683,-50.361934,-29.788159
5500.0,-31.860332,-28.343426,-23.262456,-28.273516,-47.315368,-38.961475,-48.264507,-30.289119
5550.0,-31.321886,-28.57963,-23.254763,-28.205413,-54.516354,-37.932773,-49.052556,-30.902756
5600.0,-31.358563,-29.392679,-23.062547,-28.422797,-55.025045,-37.796717,-56.638875,-30.336868
5650.0,-31.581436,-29.039763,-22.827919,-28.373327,-47.74749,-38.474957,-52.65104,-29.805592
5700.0,-31.141312,-28.435467,-22.928556,-28.398322,-48.482397,-38.098952,-49.338249,-30.449536
5750.0,-30.660135,-28.694076,-23.075051,-28.236955,-65.36356,-37.367919,-49.351072,-31.162472
5800.0,-31.307474,-28.823036,-22.926208,-27.889189,-50.426239,-37.249247,-53.197282,-30.673172
5850.0,-31.771228,-28.388083,-22.625947,-27.705019,-45.954739,-38.394698,-59.901932,-30.33524
5900.0,-30.838574,-28.269415,-22.804566,-27.839022,-48.03823,-38.254622,-50.865475,-30.572694
5950.0,-30.78108,-28.397415,-22.967034,-27.794514,-52.450995,-37.350596,-49.361927,-30.925786
6000.0,-31.907278,-28.164443,-22.533474,-27.669041,-45.6583,-37.878486,-53.298668,-30.720067
6050.0,-32.361471,-28.066522,-22.319479,-27.791027,-43.268501,-38.798859,-75.987901,-30.490831
6100.0,-30.946245,-27.926105,-22.536422,-27.762202,-45.715633,-38.087009,-53.912184,-30.357112
6150.0,-30.922478,-27.850252,-22.578593,-27.688443,-48.776837,-36.26,-50.395367,-30.840529
6200.0,-32.222823,-27.916386,-22.351425,-27.987638,-44.477232,-36.100702,-51.590756,-31.728554
6250.0,-32.557654,-28.025884,-22.337515,-28.198779,-42.196524,-37.441049,-60.373163,-31.154021
6300.0,-30.844776,-27.681809,-22.349945,-27.866201,-42.985427,-37.539549,-61.080454,-30.406439
6350.0,-30.618091,-27.683107,-22.446597,-27.84351,-45.350562,-36.187384,-50.720474,-31.127992
6400.0,-32.09193,-27.953345,-22.568418,-28.53614,-42.911773,-36.741693,-50.035951,-31.987786
6450.0,-32.947357,-27.786098,-22.576292,-28.71232,-40.575497,-39.249485,-52.406981,-31.078331
6500.0,-31.052695,-27.609689,-22.37745,-27.884437,-41.084377,-38.082491,-58.62136,-29.90677
6550.0,-30.378139,-27.721131,-22.51961,-27.877724,-42.476592,-36.475599,-52.891927,-30.361304
6600.0,-31.722313,-27.64729,-22.82725,-28.575756,-40.791455,-37.648666,-49.733929,-31.437548
6650.0,-32.966558,-27.440206,-22.763877,-28.418581,-38.99576,-39.173011,-49.915668,-30.721157
6700.0,-31.029304,-27.260374,-22.347605,-27.431985,-39.382534,-38.451389,-52.540214,-29.305443
6750.0,-29.831659,-27.207526,-22.291898,-27.702536,-40.205963,-37.280081,-54.290231,-29.887744
6800.0,-31.348965,-27.15121,-22.798987,-28.461041,-40.31876,-38.080592,-49.744189,-31.654487
6850.0,-33.909995,-27.084729,-22.886528,-28.219021,-39.844477,-38.99989,-47.573328,-31.07809
6900.0,-32.286012,-26.993145,-22.303091,-27.430308,-38.918368,-38.671394,-48.599054,-28.876274
6950.0,-30.267976,-26.731522,-22.00871,-27.418229,-38.829222,-37.708166,-51.078618,-29.328325
7000.0,-31.659257,-26.90237,-22.675988,-28.223212,-40.437125,-38.269638,-49.091246,-31.644196
7050.0,-34.335651,-27.416318,-23.138735,-28.120578,-41.136345,-41.059222,-45.96301,-30.871041
7100.0,-33.48845,-27.403197,-22.506826,-27.256982,-38.631926,-40.811543,-45.294545,-28.681125
7150.0,-31.003977,-26.946983,-22.029507,-27.108834,-38.666055,-38.789208,-48.364754,-28.929527
7200.0,-31.880249,-27.316218,-22.774977,-27.843037,-42.038387,-40.196753,-49.080378,-30.89903
7250.0,-34.289614,-27.676498,-23.495124,-27.518396,-42.329417,-43.837892,-47.749466,-30.332461
7300.0,-33.539819,-27.437913,-23.082017,-26.603866,-39.253181,-42.592358,-46.461567,-28.365739
7350.0,-30.75167,-27.135711,-22.125145,-26.714914,-38.314699,-40.025891,-47.165266,-28.127513
7400.0,-31.240586,-27.383783,-22.753223,-27.214707,-39.870204,-42.470331,-54.147147,-29.968543
7450.0,-34.0509,-27.539733,-23.662888,-26.948792,-40.130577,-45.407897,-50.240094,-29.801415
7500.0,-34.653994,-27.445769,-22.901631,-26.47981,-38.876386,-41.816007,-43.955049,-28.353843
7550.0,-31.584751,-27.064778,-21.466396,-26.407525,-37.470284,-39.866239,-42.776629,-28.02828
7600.0,-31.946833,-26.957767,-21.999569,-26.738748,-38.359356,-41.914089,-48.529016,-29.178759
7650.0,-34.273973,-27.385447,-23.254331,-26.765469,-41.178642,-42.541342,-47.762608,-29.138385
7700.0,-34.001664,-27.534974,-22.771938,-26.44897,-39.769003,-39.949431,-42.470495,-28.340313
7750.0,-31.118596,-27.062325,-21.393663,-26.013775,-37.253029,-38.16711,-41.01463,-27.805897
7800.0,-31.449038,-26.869693,-21.73985,-26.100134,-38.416366,-39.258101,-45.816729,-28.373224
7850.0,-34.095114,-27.564688,-22.87687,-26.531533,-42.508183,-39.481533,-44.222786,-28.970523
7900.0,-33.913044,-27.789066,-22.75749,-26.632744,-41.325797,-37.559386,-40.128422,-28.498049
7950.0,-31.285438,-27.072323,-21.385306,-26.351637,-38.58064,-36.416983,-39.16884,-27.675529
8000.0,-30.898279,-26.832124,-21.399604,-25.86007,-38.235001,-37.958191,-42.290626,-27.898072
8050.0,-33.150027,-27.766995,-22.675824,-26.41155,-41.376088,-38.163651,-46.498171,-28.969145
8100.0,-34.074146,-28.219262,-22.714237,-27.146457,-42.87925,-36.389608,-42.08935,-29.247939
8150.0,-31.636691,-27.699134,-21.502215,-26.964696,-39.215475,-35.790628,-39.465004,-28.158442
8200.0,-30.566425,-27.204262,-21.05972,-26.172523,-37.464171,-36.60715,-40.832272,-27.716114
8250.0,-33.112911,-27.845941,-22.202357,-27.156264,-41.066043,-36.239472,-45.960845,-29.309675
8300.0,-34.396412,-28.508186,-22.809031,-28.259582,-43.868924,-35.094632,-43.44078,-30.208749
8350.0,-31.516433,-28.31834,-21.837643,-27.987353,-39.506913,-34.989976,-40.790241,-28.779967
8400.0,-30.13378,-27.218239,-20.839223,-27.039099,-37.496475,-35.751475,-40.157781,-27.829292
8450.0,-32.760093,-27.706934,-21.975445,-27.647093,-41.482858,-34.869264,-42.328081,-29.333474
8500.0,-33.882016,-28.92594,-23.119108,-28.265197,-43.848971,-34.287133,-42.759751,-30.705723
8550.0,-31.632436,-28.254026,-22.137843,-27.661479,-40.095302,-34.291564,-40.810806,-30.056455
8600.0,-29.860564,-26.749694,-20.849948,-26.573256,-37.883931,-35.217349,-39.503936,-28.289655
8650.0,-31.892026,-27.442297,-21.957829,-27.108988,-40.865751,-34.708919,-40.013885,-29.157012
8700.0,-33.481823,-28.744564,-23.536139,-28.24185,-43.361352,-34.14278,-41.51867,-31.258903
8750.0,-32.16111,-28.227188,-22.991941,-28.196851,-40.817647,-34.563806,-42.705344,-30.983815
8800.0,-29.5599,-26.728918,-21.459967,-26.875465,-37.973921,-35.349262,-41.518691,-28.260898
8850.0,-30.911603,-26.914661,-21.683957,-26.863721,-40.054956,-34.157159,-39.940526,-29.314927
8900.0,-33.478532,-28.349745,-23.709246,-28.765094,-43.394819,-33.803774,-42.460194,-32.479079
8950.0,-32.168293,-28.474251,-24.042915,-29.62226,-40.89438,-35.170501,-46.35288,-31.469531
9000.0,-29.109976,-27.083206,-22.084297,-28.186572,-38.038827,-35.908371,-43.083102,-27.94528
9050.0,-30.729914,-26.443746,-21.226422,-27.698261,-39.924267,-33.932439,-39.293328,-28.626281
9100.0,-33.424497,-28.011711,-23.996028,-30.247056,-42.962983,-33.784946,-43.96491,-31.655033
9150.0,-32.031699,-28.797969,-25.236259,-32.373373,-40.421501,-36.050492,-50.877877,-31.249676
9200.0,-30.408565,-27.402453,-23.436942,-30.618314,-37.832889,-37.390974,-42.420903,-28.328832
