Freq (MHz),P1_TX1_P2_RX1 SDD22,P1_TX2_P2_RX2 SDD22,P1_TX3_P2_RX3 SDD22,P1_TX4_P2_RX4 SDD22,P2_TX1_P1_RX1 SDD22,P2_TX2_P1_RX2 SDD22,P2_TX3_P1_RX3 SDD22,P2_TX4_P1_RX4 SDD22
50.0,-29.57097,-29.564145,-28.877363,-29.162898,-29.173879,-29.318481,-29.284501,-29.257908
100.0,-31.84401,-31.997687,-31.893673,-32.602724,-31.364542,-31.82976,-32.612542,-32.895969
150.0,-37.282385,-37.607679,-37.209689,-35.860578,-38.362578,-38.830101,-38.823089,-36.984249
200.0,-35.367005,-34.660024,-33.039395,-34.517883,-37.328764,-36.005882,-35.611826,-36.634746
250.0,-40.022806,-35.592668,-34.442857,-42.842795,-38.291376,-35.260736,-35.912988,-40.416459
300.0,-40.02387,-38.212934,-40.326506,-39.280779,-40.051789,-36.689377,-38.724449,-46.857019
350.0,-31.526265,-29.36307,-30.302083,-28.983927,-31.86891,-29.153823,-29.450338,-28.7713
400.0,-28.950622,-25.786503,-26.540836,-26.089596,-28.122636,-25.487956,-25.708141,-24.78325
450.0,-32.905166,-27.984133,-29.054947,-32.398615,-29.062982,-26.962384,-27.38943,-28.284687
500.0,-32.9989,-29.293979,-30.140394,-28.823274,-29.29764,-27.108726,-27.36119,-27.549077
550.0,-24.745541,-22.45792,-22.90927,-21.302356,-23.711927,-21.762186,-21.94205,-21.165658
600.0,-24.198403,-21.675508,-22.662153,-22.429863,-22.777678,-21.204319,-21.12423,-21.990919
650.0,-29.728489,-26.586873,-28.50586,-37.230736,-25.354688,-24.065576,-23.723764,-26.740585
700.0,-27.067372,-25.343412,-24.080451,-23.04606,-24.431227,-22.946133,-22.932293,-21.622549
750.0,-22.573731,-20.659981,-20.703746,-20.784934,-21.391951,-20.357212,-20.653775,-19.874141
800.0,-23.510702,-21.158645,-22.676684,-25.906114,-21.658706,-20.918379,-21.544378,-22.984054
850.0,-33.799169,-27.877069,-31.413141,-32.595487,-26.81519,-24.666989,-26.054144,-29.257399
900.0,-27.431497,-24.781654,-23.795519,-22.967377,-25.609724,-23.444568,-24.582669,-23.109942
950.0,-22.736206,-20.717801,-21.343568,-22.994164,-21.851392,-20.945791,-22.114999,-22.032539
1000.0,-23.998769,-21.928738,-24.340235,-28.372487,-22.696621,-22.14692,-23.94203,-26.485614
1050.0,-35.535132,-30.764077,-35.040779,-30.180095,-30.552755,-28.66977,-30.016957,-40.131324
1100.0,-28.024948,-25.083236,-24.442801,-23.924918,-27.15216,-24.6784,-25.359883,-25.100699
1150.0,-22.263148,-20.493141,-21.662004,-22.656527,-21.891645,-20.426689,-21.990956,-23.162496
1200.0,-23.205916,-22.331421,-25.226405,-28.110455,-22.937515,-21.652683,-23.894525,-29.016479
1250.0,-33.101277,-32.180448,-37.107844,-30.240153,-31.09018,-27.574703,-29.638208,-32.88005
1300.0,-26.415171,-24.053448,-24.35281,-22.533704,-25.849982,-23.047579,-25.364061,-23.446346
1350.0,-21.93972,-21.023483,-22.972127,-23.788073,-21.508906,-19.967413,-23.181445,-24.323247
1400.0,-24.535048,-24.225357,-28.291081,-37.55501,-23.267256,-22.209044,-25.489126,-36.792043
1450.0,-40.009623,-45.728016,-36.560016,-24.88201,-31.373569,-29.585868,-31.365626,-28.777502
1500.0,-24.644067,-25.501348,-26.616741,-23.473573,-24.760107,-22.786764,-28.12728,-26.805045
1550.0,-23.204684,-24.021759,-27.612948,-32.955983,-22.294919,-20.958167,-27.616642,-35.679269
1600.0,-28.965136,-29.787943,-35.343835,-26.93802,-25.608929,-24.754777,-34.447314,-31.237488
1650.0,-31.373048,-33.116334,-30.279683,-22.860904,-34.799541,-32.601977,-36.974779,-27.011127
1700.0,-25.224673,-26.795,-29.707758,-28.743794,-25.753036,-24.753769,-31.169822,-34.288555
1750.0,-26.21818,-27.022005,-33.041398,-30.871644,-24.134432,-24.00587,-35.044022,-30.598793
1800.0,-32.8488,-30.969952,-30.3769,-22.76149,-29.712458,-31.54767,-38.515342,-24.644682
1850.0,-27.497321,-29.124409,-29.283843,-24.771086,-36.54852,-34.857931,-31.449716,-27.413647
1900.0,-24.942825,-27.376169,-34.738488,-46.350767,-26.890005,-27.448977,-31.86819,-32.705605
1950.0,-27.319313,-29.842223,-38.351054,-26.155773,-27.321714,-30.187674,-33.349621,-25.263471
2000.0,-31.132668,-29.118394,-30.059806,-24.151985,-35.180752,-39.945666,-31.115908,-25.42416
2050.0,-26.383124,-25.174425,-29.224512,-28.594664,-29.269465,-30.206922,-29.98442,-31.339621
2100.0,-24.304104,-26.050236,-35.207716,-41.168356,-26.206005,-30.257862,-28.422136,-27.036935
2150.0,-28.371522,-35.601549,-31.105731,-27.287394,-30.411342,-47.186399,-26.594201,-23.728866
2200.0,-34.61219,-26.833239,-25.777535,-25.866095,-34.183799,-29.358173,-27.592731,-25.484344
2250.0,-24.461283,-24.181781,-26.044848,-30.033471,-25.748444,-26.546586,-27.659155,-28.494571
2300.0,-23.914485,-29.825495,-27.369316,-31.120407,-26.094998,-31.111669,-23.09393,-23.703078
2350.0,-32.881737,-33.027285,-25.306751,-26.630329,-35.721785,-32.361977,-22.544502,-22.160871
2400.0,-27.849635,-24.855361,-24.711986,-27.260966,-27.10377,-25.98144,-25.796036,-23.803794
