Freq (MHz),P1_TX1_P2_RX1 SDD21,P1_TX2_P2_RX2 SDD21,P1_TX3_P2_RX3 SDD21,P1_TX4_P2_RX4 SDD21,P2_TX1_P1_RX1 SDD21,P2_TX2_P1_RX2 SDD21,P2_TX3_P1_RX3 SDD21,P2_TX4_P1_RX4 SDD21
50.0,-0.28772,-0.294107,-0.303112,-0.313481,-0.285409,-0.295135,-0.305224,-0.315352
100.0,-0.404514,-0.41567,-0.426157,-0.443443,-0.405718,-0.415454,-0.429495,-0.4441
150.0,-0.509914,-0.524064,-0.535889,-0.553056,-0.507807,-0.521924,-0.539932,-0.556585
200.0,-0.602835,-0.617575,-0.632994,-0.651269,-0.599635,-0.615235,-0.638704,-0.654444
250.0,-0.695892,-0.712327,-0.72883,-0.748563,-0.691485,-0.708765,-0.733504,-0.752079
300.0,-0.772095,-0.794384,-0.811193,-0.835645,-0.774008,-0.791731,-0.819433,-0.834667
350.0,-0.8611,-0.881999,-0.899785,-0.920355,-0.856991,-0.879603,-0.906368,-0.927687
400.0,-0.947803,-0.97452,-0.990765,-1.017977,-0.946407,-0.973912,-1.001647,-1.027341
450.0,-1.023276,-1.048284,-1.069854,-1.095655,-1.02158,-1.051953,-1.080623,-1.10196
500.0,-1.092166,-1.118868,-1.138936,-1.1661,-1.089245,-1.120486,-1.153043,-1.175438
550.0,-1.165886,-1.201708,-1.220687,-1.258551,-1.169275,-1.203385,-1.239175,-1.269546
600.0,-1.241503,-1.280836,-1.296337,-1.337254,-1.23981,-1.282894,-1.319193,-1.341629
650.0,-1.294731,-1.329929,-1.34904,-1.380642,-1.298565,-1.330063,-1.368972,-1.388698
700.0,-1.351736,-1.384233,-1.408031,-1.449196,-1.35602,-1.387109,-1.428396,-1.462259
750.0,-1.42119,-1.464177,-1.488248,-1.526021,-1.426408,-1.467577,-1.505393,-1.542517
800.0,-1.480549,-1.531086,-1.547436,-1.579516,-1.490527,-1.526067,-1.56436,-1.590349
850.0,-1.527879,-1.562378,-1.580966,-1.623089,-1.52776,-1.561746,-1.600864,-1.625587
900.0,-1.573026,-1.613174,-1.640437,-1.682679,-1.577653,-1.613568,-1.652503,-1.691552
950.0,-1.635983,-1.689891,-1.713451,-1.750421,-1.646069,-1.684173,-1.722312,-1.761425
1000.0,-1.694649,-1.745552,-1.757788,-1.793853,-1.702523,-1.737479,-1.771109,-1.800449
1050.0,-1.732716,-1.766527,-1.788484,-1.8375,-1.732495,-1.759316,-1.803892,-1.836404
1100.0,-1.778781,-1.817005,-1.847402,-1.894732,-1.781009,-1.813819,-1.854725,-1.894019
1150.0,-1.840482,-1.894984,-1.912497,-1.953169,-1.8522,-1.890758,-1.920256,-1.955837
1200.0,-1.890959,-1.931197,-1.940596,-1.987536,-1.897983,-1.92892,-1.961157,-1.988589
1250.0,-1.923206,-1.951156,-1.975802,-2.033013,-1.9239,-1.949022,-1.994332,-2.031168
1300.0,-1.969967,-2.002095,-2.030416,-2.087874,-1.968153,-2.002513,-2.042474,-2.089323
1350.0,-2.023706,-2.063073,-2.077357,-2.126144,-2.031925,-2.072804,-2.093528,-2.128241
1400.0,-2.063874,-2.095899,-2.110897,-2.161939,-2.069468,-2.100594,-2.129579,-2.159262
