Freq (MHz),P1_TX1_P2_RX1 SCD21,P1_TX2_P2_RX2 SCD21,P1_TX3_P2_RX3 SCD21,P1_TX4_P2_RX4 SCD21,P2_TX1_P1_RX1 SCD21,P2_TX2_P1_RX2 SCD21,P2_TX3_P1_RX3 SCD21,P2_TX4_P1_RX4 SCD21
50.0,-62.660033,-61.366282,-64.535077,-65.101792,-65.206053,-62.756559,-63.155057,-62.350922
100.0,-60.165288,-60.652683,-61.289373,-62.317845,-62.805259,-60.425079,-62.03103,-63.767476
150.0,-58.378199,-63.959647,-59.235566,-59.685335,-61.417062,-59.956626,-63.690151,-69.228194
200.0,-56.639922,-65.081688,-60.978087,-58.789024,-58.524855,-61.393432,-60.605229,-74.454557
250.0,-54.826394,-59.760167,-61.226712,-56.204768,-56.571132,-61.304812,-59.487311,-72.833609
300.0,-51.660027,-57.889008,-58.829286,-52.405556,-54.032884,-58.800764,-57.784414,-65.207785
350.0,-51.484079,-57.585478,-55.532353,-53.543428,-53.303628,-56.063757,-58.254534,-73.023774
400.0,-51.521617,-55.966428,-53.497848,-54.433504,-51.228373,-53.383912,-57.3801,-88.593851
450.0,-49.232783,-53.259423,-51.239769,-50.05167,-49.39205,-55.374867,-53.280508,-62.789207
500.0,-48.416166,-51.662378,-49.682675,-47.663127,-48.332677,-52.096139,-55.310543,-59.775558
550.0,-47.885777,-52.56778,-49.703093,-48.155714,-47.760894,-49.178864,-59.69374,-61.762344
600.0,-47.031184,-51.167416,-47.162501,-47.222627,-47.893271,-50.751825,-52.934431,-67.424626
650.0,-46.309247,-48.224909,-46.256655,-45.954142,-48.548438,-52.272981,-52.39798,-58.166183
700.0,-45.205056,-48.729711,-46.894561,-45.733508,-45.065133,-48.170205,-57.71912,-56.824407
750.0,-45.461606,-49.515905,-47.691962,-44.490582,-43.25795,-46.662023,-55.187941,-59.237039
800.0,-44.89458,-47.519357,-46.224565,-43.20743,-43.613655,-48.528332,-48.956916,-57.784681
850.0,-44.090857,-45.976107,-44.684424,-42.402593,-43.923467,-47.694845,-48.875625,-54.858043
900.0,-43.259794,-46.061625,-44.52205,-42.406248,-43.402581,-46.155497,-55.941831,-54.391707
950.0,-44.184933,-47.554566,-44.844368,-42.251174,-43.298075,-45.869922,-54.588247,-56.368015
1000.0,-44.238471,-47.185304,-44.420803,-42.0393,-44.564915,-46.416567,-48.355515,-57.002625
1050.0,-42.762484,-44.686422,-42.85178,-41.902377,-43.599119,-46.073915,-49.006788,-54.191106
1100.0,-42.029291,-44.716466,-42.226836,-41.650075,-42.799296,-44.56721,-54.917906,-53.045507
1150.0,-42.502696,-46.933407,-43.159207,-41.116479,-42.911763,-44.75337,-52.983107,-54.472043
1200.0,-42.38565,-45.962568,-42.265765,-40.291121,-43.173322,-45.269901,-47.33153,-58.070856
1250.0,-41.065276,-42.770094,-40.991744,-39.731315,-41.334969,-43.90128,-47.233378,-53.668031
1300.0,-40.809466,-42.714151,-41.669917,-40.270325,-39.830169,-43.684414,-53.834334,-53.025848
1350.0,-41.017669,-46.622736,-42.072947,-40.17647,-40.312178,-44.880003,-52.779832,-55.257922
1400.0,-40.41708,-44.501685,-39.720401,-38.684301,-40.85044,-45.205438,-45.760227,-56.127798
1450.0,-39.398414,-40.864322,-38.82043,-38.094373,-40.054311,-42.47076,-45.420165,-51.194326
1500.0,-39.332828,-40.956368,-39.821457,-38.725036,-38.864112,-41.934607,-52.958602,-51.828735
1550.0,-39.510868,-42.939195,-40.372587,-38.949425,-38.928474,-42.98127,-52.30774,-54.102049
1600.0,-38.731002,-41.987056,-39.18692,-37.933209,-39.090459,-42.537937,-46.109978,-51.874754
1650.0,-37.989034,-40.137921,-38.821408,-37.4225,-38.809663,-40.510289,-47.03249,-49.05308
1700.0,-38.14872,-40.737112,-39.652383,-38.012371,-38.860543,-41.247831,-55.18872,-49.413105
1750.0,-38.764528,-42.189395,-39.41405,-37.748892,-39.657853,-43.86391,-55.23906,-51.094378
1800.0,-38.194386,-40.472308,-38.202311,-36.361702,-39.032796,-41.623548,-48.699999,-50.628876
1850.0,-37.239985,-39.390661,-37.949552,-35.785529,-37.693299,-39.749377,-49.104247,-49.309075
1900.0,-37.518662,-39.670003,-38.62036,-36.159835,-37.275873,-40.914371,-55.93865,-48.93344
1950.0,-38.255388,-40.367139,-39.085997,-35.998057,-37.797733,-43.101559,-61.727994,-49.881851
2000.0,-37.628433,-39.977801,-37.813847,-35.226609,-37.486542,-41.001865,-50.224883,-50.305324
2050.0,-36.745926,-39.02414,-37.197836,-34.666014,-36.65787,-39.645334,-48.543928,-47.654842
2100.0,-36.89502,-39.2673,-37.709906,-35.009657,-36.240999,-39.974987,-52.439558,-46.917362
2150.0,-37.104356,-39.887014,-38.271868,-35.600677,-36.242392,-41.42554,-69.388395,-48.588963
2200.0,-36.633836,-39.018947,-37.453922,-34.930683,-36.195234,-40.3329,-52.59936,-48.329528
2250.0,-36.259966,-37.882935,-37.211916,-34.742881,-36.01562,-38.919344,-50.225862,-47.436062
2300.0,-36.624137,-37.941386,-37.610095,-35.47921,-36.037063,-39.122872,-56.097485,-47.172422
2350.0,-36.494474,-38.520183,-37.587217,-35.827047,-36.465894,-40.443731,-66.671717,-46.989266
2400.0,-36.039604,-37.939725,-36.474894,-35.913935,-35.887497,-39.581328,-54.338822,-47.285964
2450.0,-36.049701,-37.322078,-36.096005,-36.247412,-35.364535,-38.027008,-52.53774,-47.584702
2500.0,-36.160798,-37.935195,-36.37908,-36.015457,-35.521569,-38.391694,-56.60664,-47.14851
2550.0,-36.011469,-38.504525,-36.780303,-35.727658,-35.567711,-39.780804,-59.192503,-47.352714
2600.0,-35.423075,-37.599213,-36.136529,-35.962219,-35.13542,-39.912537,-51.383207,-47.684707
2650.0,-35.028017,-36.996928,-35.730262,-35.909846,-34.902536,-38.964946,-49.779793,-46.487303
2700.0,-35.417043,-37.547123,-35.931104,-35.753387,-34.957997,-39.158084,-51.763996,-45.9572
2750.0,-35.604013,-38.31003,-36.329702,-35.897801,-34.969201,-40.300248,-54.366403,-46.646884
2800.0,-34.802632,-37.214257,-36.276074,-36.218309,-34.492227,-39.870549,-51.537823,-46.29078
2850.0,-34.333785,-36.329692,-35.937736,-36.238294,-34.33507,-38.869488,-48.701258,-45.720881
