Freq (MHz),P1_TX1_P2_RX1 SCD21,P1_TX2_P2_RX2 SCD21,P1_TX3_P2_RX3 SCD21,P1_TX4_P2_RX4 SCD21,P2_TX1_P1_RX1 SCD21,P2_TX2_P1_RX2 SCD21,P2_TX3_P1_RX3 SCD21,P2_TX4_P1_RX4 SCD21
50.0,-64.752846,-61.06758,-60.87515,-61.169858,-64.644406,-66.19038,-67.394679,-64.224883
100.0,-59.09413,-58.032305,-57.200202,-54.013588,-64.192476,-65.242453,-60.993607,-60.571061
150.0,-56.297109,-54.42169,-53.73976,-50.944062,-70.060359,-69.212631,-58.603556,-57.789281
200.0,-57.107843,-53.169997,-51.530605,-49.348151,-66.190908,-64.281186,-58.379663,-56.127502
250.0,-56.901959,-50.860227,-49.812281,-47.829833,-67.35397,-63.243765,-61.328848,-54.010404
300.0,-53.424904,-49.521731,-47.70368,-45.546495,-66.57309,-66.220702,-56.34495,-53.375314
350.0,-52.96963,-48.9977,-46.504743,-44.551722,-65.664558,-65.348527,-52.729763,-50.578816
400.0,-51.65142,-47.794437,-45.292733,-43.458996,-66.056914,-58.144977,-52.064322,-51.442515
450.0,-50.9042,-45.964652,-44.274344,-42.275868,-76.827736,-60.304469,-56.407203,-51.405461
500.0,-49.120924,-44.157877,-43.353722,-41.029763,-66.587457,-60.674845,-51.407957,-46.607713
550.0,-47.627406,-44.313222,-42.807528,-40.776262,-65.552142,-58.825383,-48.798957,-45.530112
600.0,-47.005928,-43.326499,-41.658465,-39.847787,-74.329052,-61.582281,-51.137133,-46.816258
650.0,-46.779939,-42.231537,-40.538431,-39.040371,-67.082691,-77.072523,-53.067448,-46.393877
700.0,-46.14533,-41.909484,-40.127447,-38.520191,-82.697231,-58.57353,-46.642384,-43.967991
750.0,-46.061296,-41.339831,-39.47262,-37.840529,-70.882239,-58.211616,-45.361315,-43.690648
800.0,-45.027249,-40.564918,-38.531108,-37.299705,-62.23185,-60.183343,-48.522399,-44.283385
850.0,-44.05171,-40.087454,-37.937484,-36.76464,-62.205559,-54.257044,-47.665195,-43.11418
900.0,-43.137883,-39.90064,-37.948925,-36.46943,-70.8109,-53.270248,-44.994603,-40.855044
950.0,-43.565009,-39.81265,-37.861349,-35.967329,-65.417057,-56.188179,-45.341872,-40.634722
1000.0,-44.045606,-39.383441,-37.638379,-35.455795,-59.491689,-61.11028,-48.209977,-41.081218
1050.0,-42.907899,-38.654503,-36.945575,-35.191014,-58.334064,-55.680605,-45.633728,-41.006944
1100.0,-42.238125,-38.618319,-36.639632,-35.219608,-64.491563,-52.710725,-42.621613,-40.316247
1150.0,-42.097449,-38.902568,-36.960332,-35.004781,-63.418283,-56.133153,-42.903334,-40.038738
1200.0,-42.239482,-38.252932,-36.313459,-34.370185,-55.490532,-61.266221,-45.489736,-40.445047
1250.0,-41.530823,-37.291137,-35.374837,-33.883387,-55.801915,-53.199141,-43.779284,-39.751858
1300.0,-40.934226,-37.256832,-35.381021,-33.862467,-58.209229,-51.199028,-41.409696,-38.987606
1350.0,-40.660678,-38.160152,-35.560347,-33.654909,-64.327072,-55.616147,-42.11689,-39.088746
1400.0,-40.318063,-36.994801,-34.746665,-32.926117,-57.522287,-71.506463,-43.557585,-39.693662
1450.0,-39.861847,-35.464724,-34.286189,-32.781999,-53.419815,-50.896719,-40.575114,-38.942704
1500.0,-39.48225,-35.845772,-34.515453,-32.660428,-54.800893,-48.751663,-39.223036,-38.403875
1550.0,-39.247286,-36.749652,-34.280295,-32.32434,-66.043508,-53.386165,-41.309314,-38.375694
1600.0,-38.816137,-35.964137,-33.620867,-31.735898,-58.49684,-56.070269,-42.266842,-38.139271
1650.0,-38.69999,-35.059628,-33.595229,-31.519933,-52.87269,-48.176616,-39.863898,-37.294471
1700.0,-39.051926,-35.544064,-33.69675,-31.559827,-52.462535,-47.170839,-39.257707,-37.063799
1750.0,-38.989606,-35.765625,-33.435712,-31.206837,-59.366942,-50.003046,-40.667464,-37.179617
1800.0,-38.318635,-34.493362,-32.947889,-30.715003,-57.401305,-48.351529,-40.339603,-37.087548
1850.0,-37.714948,-34.048472,-32.950668,-30.622199,-50.519889,-45.839441,-39.097786,-36.528836
1900.0,-38.273238,-34.669748,-32.959275,-30.72748,-49.07449,-47.45971,-38.693355,-36.181308
1950.0,-38.669383,-34.998901,-32.611056,-30.523678,-52.965114,-50.652879,-39.2276,-36.101669
2000.0,-37.61196,-34.308159,-32.170104,-29.870356,-60.442501,-47.818114,-39.582139,-36.118968
2050.0,-37.182745,-33.902785,-32.207852,-29.610138,-51.033672,-45.658643,-38.515333,-35.676036
2100.0,-38.102875,-34.209845,-32.265443,-29.79157,-47.491766,-45.397914,-37.533319,-35.333533
2150.0,-38.109283,-34.330066,-31.906936,-29.787485,-47.393824,-46.968916,-38.022672,-35.614895
2200.0,-36.960682,-33.656978,-31.553002,-29.097499,-50.540697,-47.035554,-38.628792,-35.462695
2250.0,-36.586308,-33.06708,-31.860183,-29.283032,-50.793475,-45.251224,-37.692307,-34.904743
2300.0,-37.502677,-33.102819,-32.044183,-29.932619,-48.851817,-44.720886,-37.012659,-34.754046
2350.0,-37.506164,-33.076715,-31.459332,-29.671326,-48.074562,-45.243778,-37.208357,-34.76597
2400.0,-36.675289,-32.557592,-30.908052,-29.127382,-48.284094,-45.31087,-37.795067,-34.734596
2450.0,-36.510498,-32.242388,-31.163183,-29.15122,-47.770172,-42.946157,-37.64265,-34.789205
2500.0,-36.847556,-32.614938,-31.448495,-29.777556,-47.487775,-42.935122,-37.201215,-34.491734
2550.0,-36.7711,-32.85253,-30.988776,-29.349925,-47.187469,-44.954408,-36.856908,-34.256618
2600.0,-36.177411,-32.205238,-30.338141,-28.848934,-46.467251,-45.677285,-37.207135,-34.366928
2650.0,-35.724014,-31.97928,-30.553329,-29.264504,-46.919939,-43.58427,-37.588748,-34.184817
2700.0,-35.900654,-32.311657,-31.006828,-29.546633,-46.930752,-43.358074,-37.154295,-33.809619
2750.0,-35.830329,-32.612146,-30.912204,-29.572695,-46.458489,-45.611797,-36.580511,-33.92006
2800.0,-34.864134,-31.846689,-30.368693,-28.949386,-45.080453,-47.18965,-37.130833,-33.860747
2850.0,-34.544874,-31.359671,-30.309027,-28.448523,-45.033761,-45.361315,-37.528299,-34.014053
2900.0,-35.292129,-31.706037,-30.678188,-29.03729,-46.433158,-44.072219,-36.975821,-34.194257
2950.0,-35.532976,-32.112215,-30.277558,-29.493095,-46.471434,-44.797706,-36.190082,-33.896916
3000.0,-34.627372,-31.330524,-29.447086,-28.949885,-44.719515,-47.860839,-36.109078,-33.542811
3050.0,-34.332712,-30.607789,-29.517412,-28.319955,-43.142468,-45.514425,-36.321541,-33.736294
3100.0,-35.332329,-31.129227,-30.336356,-28.646723,-43.59945,-42.628489,-36.358847,-33.878295
3150.0,-35.741453,-31.864363,-30.215107,-28.966938,-45.113437,-42.98904,-35.84317,-33.487271
3200.0,-34.69219,-31.529812,-29.402384,-28.364956,-44.796528,-47.099954,-36.052473,-32.733825
3250.0,-34.429802,-30.983449,-29.396213,-27.895119,-42.465408,-44.338327,-37.248602,-32.816881
3300.0,-34.928454,-31.445045,-29.709624,-28.251608,-42.412613,-42.117131,-36.832922,-32.98608
3350.0,-35.221919,-31.994038,-29.518053,-28.735017,-43.608647,-42.723357,-34.963352,-32.307265
3400.0,-34.349938,-31.250508,-29.041791,-28.440215,-45.009389,-45.827578,-34.238132,-32.069271
3450.0,-33.915637,-30.470019,-28.995527,-27.684246,-43.145179,-46.116291,-35.381931,-32.873963
3500.0,-34.135739,-30.658937,-29.019052,-27.81133,-42.491772,-43.869532,-35.358586,-33.015865
3550.0,-34.552279,-31.229392,-28.635688,-28.332282,-43.171864,-44.341467,-33.596132,-32.010708
3600.0,-34.14423,-31.212921,-28.247875,-28.139499,-44.432883,-49.033794,-33.137757,-31.932324
3650.0,-33.688191,-30.452721,-28.254282,-27.347264,-43.272564,-48.345829,-34.677663,-32.165018
3700.0,-33.919924,-30.249126,-28.363952,-27.810772,-42.175576,-45.239274,-35.366275,-31.918314
3750.0,-34.235428,-30.66487,-28.142895,-28.549037,-42.242401,-44.218865,-33.962978,-31.937344
3800.0,-34.027744,-30.596289,-27.706386,-27.990492,-44.898199,-45.039863,-33.531617,-32.059386
3850.0,-33.410053,-29.852229,-27.825767,-26.977133,-43.251258,-44.979685,-34.753961,-31.858445
3900.0,-33.686171,-30.043057,-27.869318,-27.149638,-41.121932,-44.233154,-34.641479,-31.901019
3950.0,-34.552184,-30.721263,-27.666041,-27.772702,-42.403654,-44.482739,-32.705998,-31.913925
4000.0,-34.433225,-30.660017,-27.608526,-27.672166,-45.089171,-45.249735,-31.951393,-31.823101
4050.0,-33.790566,-30.055868,-27.800763,-26.886815,-42.64904,-47.070481,-33.051653,-31.913221
4100.0,-34.127908,-30.051149,-27.713743,-26.989721,-41.358454,-47.521555,-34.011278,-31.697809
4150.0,-34.637419,-30.009038,-27.321918,-27.593565,-43.407078,-45.931929,-32.05391,-31.231786
