Freq (MHz),P1_TX1_P2_RX1 SCD21,P1_TX2_P2_RX2 SCD21,P1_TX3_P2_RX3 SCD21,P1_TX4_P2_RX4 SCD21,P2_TX1_P1_RX1 SCD21,P2_TX2_P1_RX2 SCD21,P2_TX3_P1_RX3 SCD21,P2_TX4_P1_RX4 SCD21
50.0,-64.610477,-59.680764,-60.087362,-59.895156,-65.779392,-61.128446,-64.241346,-59.94272
100.0,-61.66898,-54.658815,-54.114549,-55.399432,-69.029041,-58.188228,-57.165965,-57.870889
150.0,-62.64441,-51.367204,-51.330036,-52.998695,-70.880235,-55.641509,-54.915802,-56.858254
200.0,-62.079167,-50.238054,-50.963187,-51.628712,-64.984875,-53.928021,-53.995061,-54.33284
250.0,-59.461694,-48.244443,-50.209896,-50.53923,-63.85543,-52.826188,-54.68827,-53.434479
300.0,-55.615547,-46.886823,-47.48112,-48.334363,-63.386494,-52.330734,-52.566758,-53.734073
350.0,-56.242931,-45.390098,-46.881257,-48.034382,-58.780458,-51.289569,-50.862221,-51.44363
400.0,-54.992974,-45.431282,-46.864272,-47.252809,-55.480903,-49.837625,-50.611644,-51.704152
450.0,-51.94223,-44.084884,-46.723789,-46.465609,-54.747004,-51.580332,-54.93796,-55.666086
500.0,-50.364876,-42.862107,-45.196373,-45.564604,-54.75654,-52.346738,-50.201729,-51.649772
550.0,-51.259259,-42.291332,-44.796397,-46.457219,-53.113093,-49.274576,-47.644079,-50.058987
600.0,-51.262353,-41.652243,-45.26591,-44.801567,-51.635882,-49.239922,-51.096739,-52.523248
650.0,-49.220337,-40.597949,-44.193555,-43.380218,-53.806118,-53.221062,-52.463506,-54.112455
700.0,-47.596241,-40.413308,-43.561079,-43.418904,-53.427866,-51.751241,-46.104626,-50.307298
750.0,-48.539662,-40.261846,-43.243084,-43.472267,-50.264215,-50.163141,-45.643509,-49.280765
800.0,-48.865924,-39.294849,-42.716555,-42.86111,-49.582033,-52.645266,-49.969096,-51.902946
850.0,-47.459858,-38.448992,-42.13798,-41.891992,-49.370795,-53.825153,-47.377238,-51.612715
900.0,-45.981553,-38.09461,-41.826738,-41.498003,-48.792939,-49.956065,-43.556772,-48.645662
950.0,-46.57351,-38.138736,-42.835316,-41.447931,-48.941395,-48.290999,-43.705418,-49.656608
1000.0,-47.336933,-37.735232,-42.93213,-40.553192,-49.465473,-49.125741,-47.033433,-51.843927
1050.0,-45.468547,-36.908035,-40.727677,-39.641912,-47.99261,-49.711535,-44.651115,-49.622033
1100.0,-44.699613,-36.669675,-39.005419,-39.765838,-48.28942,-48.208336,-41.831313,-47.020143
1150.0,-45.114571,-37.198764,-39.524612,-40.197346,-49.767045,-48.238757,-41.773195,-46.865339
1200.0,-45.274421,-37.069634,-39.93675,-39.343018,-49.616822,-48.983636,-44.110673,-49.334549
1250.0,-43.866162,-35.82214,-38.83399,-37.896332,-46.703879,-48.536805,-43.346476,-49.830133
1300.0,-43.242958,-35.336166,-38.458539,-37.681902,-45.661123,-48.166832,-41.121952,-47.28248
1350.0,-43.501974,-36.219831,-38.971542,-38.837093,-47.522411,-48.342507,-42.557466,-46.510983
1400.0,-43.796808,-35.649724,-37.968869,-38.793332,-48.622155,-48.392413,-45.023503,-47.13552
1450.0,-42.761622,-34.14084,-37.182677,-37.688566,-46.72917,-46.103222,-41.193972,-45.720461
1500.0,-41.963846,-34.211693,-37.405951,-37.208879,-46.341208,-45.557493,-39.516769,-45.486398
1550.0,-41.778376,-34.985726,-37.467795,-37.17,-48.594773,-46.556197,-40.996864,-45.821248
1600.0,-41.570144,-34.297824,-36.899237,-37.074894,-47.694248,-45.470966,-41.428293,-45.398124
1650.0,-41.276298,-33.135535,-36.559755,-36.808129,-44.677552,-43.305814,-39.004422,-43.758718
1700.0,-41.133053,-33.283913,-36.530384,-36.457207,-44.12543,-44.171496,-38.756896,-43.537713
1750.0,-41.021258,-33.73727,-36.328041,-36.050615,-45.75562,-47.597191,-40.022891,-43.871441
1800.0,-40.733982,-33.18221,-35.851106,-35.628307,-45.784401,-44.632362,-39.544787,-43.499332
1850.0,-40.309151,-32.694965,-35.848132,-35.236389,-44.245299,-42.868137,-38.52243,-43.046783
1900.0,-40.200616,-32.7226,-36.127727,-34.995249,-44.290363,-44.448761,-38.226915,-42.893208
1950.0,-40.235594,-32.82931,-36.013517,-34.589333,-46.728545,-47.412835,-38.807885,-43.384549
2000.0,-39.412613,-32.495994,-35.340007,-34.600213,-44.406155,-44.064831,-38.837498,-42.929167
2050.0,-39.373486,-32.085738,-35.194001,-34.844312,-42.111629,-42.606014,-37.533802,-41.649063
2100.0,-40.081651,-32.005346,-35.392455,-35.232674,-42.17929,-43.417092,-36.806387,-41.090522
2150.0,-39.942343,-32.166401,-35.361098,-34.715219,-43.752281,-45.061726,-37.601091,-42.171912
2200.0,-38.921197,-31.784895,-34.610011,-33.931679,-42.8158,-43.14715,-37.858581,-42.283648
2250.0,-38.863054,-31.293369,-34.60368,-34.965155,-41.43362,-41.429005,-36.622891,-41.211299
2300.0,-39.76867,-31.237573,-35.127215,-36.582284,-41.581338,-41.828772,-35.936965,-41.023389
2350.0,-39.30701,-31.249043,-35.002203,-35.825871,-42.905554,-44.450813,-36.523669,-41.214402
2400.0,-38.168362,-31.010399,-34.195732,-34.18402,-41.860684,-42.541932,-37.284404,-41.087778
2450.0,-38.221393,-30.722533,-34.001748,-34.495681,-40.759024,-40.258413,-37.116297,-40.620611
2500.0,-38.71,-30.980326,-34.579066,-35.52661,-41.716138,-40.510029,-36.531792,-40.879574
2550.0,-38.399629,-31.084416,-34.601189,-35.438873,-43.114298,-42.942712,-36.554201,-41.00944
2600.0,-37.453768,-30.533308,-33.75465,-34.453054,-41.721663,-43.20834,-37.407413,-42.009024
2650.0,-37.327007,-30.181204,-33.563371,-33.819311,-39.962668,-41.582539,-37.550102,-42.482868
2700.0,-38.056351,-30.421567,-33.962378,-35.241129,-39.592093,-41.625842,-36.806124,-41.900092
2750.0,-38.272572,-30.70006,-34.06269,-36.325827,-40.070787,-43.441333,-36.360683,-42.545087
2800.0,-36.774053,-30.29313,-33.414291,-34.786845,-40.359043,-44.862052,-37.057337,-42.982156
2850.0,-36.410809,-29.732141,-33.351729,-33.775747,-40.651748,-43.920713,-37.493324,-41.341927
2900.0,-37.253515,-29.778854,-34.051109,-34.763757,-42.1734,-43.711583,-36.783827,-41.578841
2950.0,-37.869925,-30.000973,-34.236092,-35.745089,-42.110636,-44.847036,-36.460896,-41.978758
3000.0,-36.89884,-29.542209,-33.307043,-34.449397,-39.678124,-45.403157,-36.544502,-42.424275
3050.0,-36.56644,-29.015797,-33.021476,-33.395383,-38.237591,-43.223024,-37.033958,-41.894301
3100.0,-37.713081,-29.304693,-33.9496,-33.997798,-38.431903,-42.781624,-36.643872,-41.568565
3150.0,-37.926948,-29.846619,-34.135744,-35.017564,-39.775945,-45.191737,-36.145345,-41.915301
3200.0,-36.578394,-29.443228,-33.06228,-34.283166,-39.364325,-45.722522,-35.950294,-42.572827
3250.0,-36.440494,-28.984377,-33.018972,-33.224203,-38.347666,-42.166677,-36.5536,-42.168037
3300.0,-37.117992,-29.152973,-33.300354,-33.091723,-38.783719,-42.586968,-36.18136,-41.082744
3350.0,-37.639817,-29.382772,-32.856432,-33.564297,-39.653853,-46.084944,-35.21387,-40.001685
3400.0,-36.523379,-29.226051,-32.256576,-33.343892,-39.295661,-46.23094,-35.301128,-41.226817
3450.0,-36.181109,-28.961823,-32.439698,-32.597588,-38.687047,-42.620419,-36.203138,-41.363615
3500.0,-36.815188,-28.853314,-32.685266,-32.496092,-39.605795,-42.594676,-35.318248,-39.145744
3550.0,-37.301641,-28.725138,-32.288802,-33.013371,-41.058664,-46.617741,-33.927441,-38.928018
3600.0,-36.383594,-28.69948,-31.77893,-32.966427,-41.011589,-47.364421,-34.389636,-42.308269
3650.0,-35.737435,-28.621434,-32.159336,-32.687438,-39.345233,-42.41322,-36.013998,-40.184995
3700.0,-36.188222,-28.502783,-32.314237,-33.346247,-38.78596,-41.588036,-34.808939,-36.964343
3750.0,-36.994462,-28.490524,-31.672198,-33.722273,-39.628058,-44.424645,-33.474548,-37.569897
3800.0,-36.695361,-28.43897,-31.071366,-32.716646,-40.269505,-46.615786,-33.643163,-40.039241
3850.0,-35.589588,-28.326745,-31.428547,-32.036635,-38.457871,-42.439677,-34.981037,-39.513326
3900.0,-35.938568,-28.523612,-31.383508,-32.456749,-37.885462,-41.711588,-34.305664,-37.709301
3950.0,-37.449689,-28.565139,-30.596495,-32.406881,-39.578955,-44.117764,-33.267144,-37.411688
4000.0,-37.184769,-28.187245,-30.390695,-31.751188,-39.990488,-45.429516,-33.470456,-38.983651
4050.0,-36.102201,-28.041447,-30.86026,-31.443487,-39.232621,-42.527037,-34.535098,-39.806645
4100.0,-36.719533,-28.364028,-31.052343,-32.583576,-39.642767,-41.681687,-33.303396,-37.357627
4150.0,-37.875251,-28.138823,-30.389431,-33.56739,-40.426282,-43.191235,-31.83042,-36.74255
4200.0,-37.749655,-27.609587,-30.020803,-33.220443,-39.276539,-46.686147,-32.433527,-39.444007
4250.0,-37.251116,-27.664338,-30.184663,-31.734579,-38.855293,-44.794092,-33.912414,-39.350419
4300.0,-37.370222,-27.918202,-30.478925,-32.549136,-39.794058,-41.928687,-31.891226,-36.683794
4350.0,-38.068069,-27.579661,-30.212537,-34.347851,-39.964504,-41.996462,-30.600827,-36.824069
4400.0,-38.256487,-27.286862,-30.113458,-33.552967,-38.717288,-43.999289,-31.368632,-39.660647
4450.0,-37.199272,-27.502702,-30.161384,-31.601645,-38.035699,-44.528933,-33.17482,-39.398825
4500.0,-36.865548,-27.666674,-30.08056,-32.428117,-39.074535,-41.747447,-32.158718,-37.375368
4550.0,-36.767592,-27.396081,-29.941984,-34.099366,-38.806266,-41.0603,-31.379767,-37.648092
4600.0,-36.605339,-27.341284,-29.965853,-33.240038,-37.015879,-42.579988,-31.936971,-39.350093
4650.0,-36.645546,-27.395313,-30.128452,-31.942359,-36.428441,-45.706527,-33.300941,-39.540051
4700.0,-35.832538,-27.195765,-29.8404,-32.081683,-38.153004,-42.272911,-32.482966,-38.00835
4750.0,-34.958791,-27.15284,-29.515576,-32.906887,-38.303724,-40.311645,-31.247992,-37.550283
4800.0,-35.342454,-27.173111,-29.62338,-33.131901,-35.887554,-41.130287,-31.290154,-38.578648
4850.0,-36.283091,-27.034448,-30.058962,-32.053672,-35.338308,-43.655784,-32.514647,-39.458098
4900.0,-34.809598,-26.917599,-29.802254,-31.65622,-37.168378,-41.738136,-32.354485,-38.632745
4950.0,-33.604068,-26.892805,-29.610076,-32.769806,-37.482728,-39.622182,-31.115605,-38.576799
5000.0,-34.257614,-26.824781,-29.944166,-33.575414,-35.403051,-39.807131,-31.172928,-39.494537
5050.0,-35.339625,-26.821896,-30.025909,-32.029369,-34.813394,-42.624558,-32.351688,-39.974809
5100.0,-33.786658,-26.541299,-29.467642,-31.453467,-36.163683,-41.021171,-31.781423,-39.059367
5150.0,-32.434586,-26.37762,-29.520556,-32.627984,-36.650597,-38.205463,-31.246329,-39.152772
5200.0,-33.173102,-26.56878,-29.951596,-32.904742,-35.211161,-38.600253,-31.792487,-40.177088
5250.0,-34.357772,-26.592123,-29.667552,-31.893021,-34.676728,-42.356961,-32.468086,-40.223587
5300.0,-33.145941,-26.321161,-29.22572,-31.475497,-35.385234,-40.380079,-32.397423,-39.463727
5350.0,-31.838908,-26.53407,-29.375885,-31.951923,-35.559811,-38.097125,-32.757355,-39.649841
5400.0,-32.464198,-26.860911,-29.662764,-32.339417,-34.717559,-39.445152,-32.965608,-39.908858
5450.0,-33.894855,-26.56592,-29.571415,-31.896139,-34.646803,-42.538091,-32.886811,-39.915897
5500.0,-32.886434,-26.373451,-29.093295,-31.119497,-34.985579,-39.71859,-33.192859,-40.262657
5550.0,-31.427354,-26.838696,-29.174392,-30.977547,-35.219093,-39.110564,-33.4646,-40.300905
5600.0,-32.213578,-26.928181,-29.600529,-31.523786,-34.922784,-40.802372,-33.224741,-39.787811
5650.0,-33.811794,-26.424958,-29.370994,-31.50644,-34.542883,-41.696715,-33.205481,-40.544172
5700.0,-32.535667,-26.595203,-28.952656,-30.992902,-34.763926,-40.31934,-33.235226,-40.790746
5750.0,-31.017347,-26.852851,-29.065737,-30.749513,-34.577262,-40.412452,-33.339637,-39.562492
5800.0,-32.104945,-26.640683,-29.380491,-30.94311,-34.293344,-42.763511,-33.268462,-39.559176
5850.0,-33.735768,-26.290379,-29.085227,-31.066575,-34.116017,-43.079569,-32.985779,-40.620217
5900.0,-32.396161,-26.456156,-28.817061,-30.708161,-34.113565,-41.932372,-33.071036,-40.372928
5950.0,-31.474157,-26.45437,-28.983154,-30.319166,-34.17403,-41.97825,-33.448455,-39.273033
6000.0,-32.544513,-26.126175,-28.901683,-30.401324,-34.294049,-43.014592,-33.444133,-39.641014
6050.0,-34.217968,-26.110984,-28.91392,-30.765899,-34.526053,-42.454902,-33.183328,-41.254117
6100.0,-32.908571,-26.201073,-28.902334,-30.480325,-33.730906,-40.62166,-33.488673,-40.869954
6150.0,-32.207136,-26.083054,-28.724933,-29.98582,-33.457664,-41.15551,-33.545282,-40.094071
6200.0,-33.191503,-25.939856,-28.53078,-30.49442,-34.268978,-43.305533,-32.923594,-41.296736
6250.0,-34.439423,-25.956765,-28.680459,-31.109209,-34.509543,-44.33508,-32.636397,-41.650164
6300.0,-33.331856,-25.961341,-28.731303,-30.834582,-33.323386,-42.99786,-32.974013,-42.03259
6350.0,-32.351922,-25.948626,-28.395485,-30.362714,-33.279324,-44.516779,-32.901368,-41.481362
6400.0,-33.241556,-25.839497,-28.562945,-31.016254,-34.392338,-48.414096,-32.657848,-40.729225
6450.0,-34.143241,-25.59087,-28.85106,-31.815846,-34.742661,-44.937967,-32.563435,-41.348445
6500.0,-32.693723,-25.700393,-28.675228,-31.301683,-32.989809,-44.831528,-32.533185,-42.366244
6550.0,-31.970914,-25.777608,-28.438944,-30.91402,-32.44623,-46.360876,-32.445012,-40.179605
6600.0,-32.814027,-25.483098,-28.609831,-31.472673,-33.80843,-43.516718,-32.500281,-38.464429
6650.0,-33.942064,-25.211833,-28.935974,-31.535693,-34.952052,-42.408058,-32.370178,-39.008794
6700.0,-32.708575,-25.255641,-28.791294,-30.591059,-32.851442,-43.912996,-32.443297,-41.059846
6750.0,-31.919454,-25.315253,-28.277801,-30.660224,-31.676659,-43.667312,-32.702672,-40.575007
6800.0,-33.211662,-25.206703,-28.307899,-31.317556,-33.118965,-42.304858,-32.802038,-38.709733
6850.0,-34.659114,-25.081104,-28.713337,-31.297073,-35.558438,-43.052271,-32.518139,-38.700699
6900.0,-32.949843,-24.967968,-28.560174,-30.613457,-33.797857,-45.144683,-32.236693,-40.594645
6950.0,-31.998846,-25.033621,-27.936426,-30.443539,-32.472511,-44.666935,-32.308012,-39.882701
7000.0,-33.500936,-25.3846,-27.985815,-31.299583,-34.28163,-42.187253,-32.429368,-37.120884
7050.0,-35.043189,-25.358426,-28.735662,-31.547579,-36.232312,-40.872203,-32.229474,-36.087474
7100.0,-33.285507,-24.905451,-28.931551,-30.699191,-33.522227,-42.224094,-31.906702,-37.865147
7150.0,-32.055485,-25.087367,-28.278386,-30.234269,-32.022684,-43.876072,-32.191347,-38.811589
7200.0,-33.521466,-25.704398,-28.36412,-31.066524,-33.45473,-40.215052,-32.478774,-36.18948
7250.0,-35.504877,-25.423863,-29.193565,-30.998154,-35.159533,-38.95775,-32.107526,-35.216843
7300.0,-33.810406,-24.828953,-29.698825,-29.894743,-34.389009,-40.421786,-31.678392,-37.473275
7350.0,-31.987646,-25.269643,-28.770672,-29.74716,-32.528123,-41.741554,-31.682476,-38.892858
7400.0,-33.377396,-25.692081,-28.390442,-30.556768,-33.237336,-38.329229,-32.191605,-35.178438
7450.0,-35.46536,-25.301968,-29.569015,-30.744184,-35.251053,-37.122357,-32.289464,-34.431449
7500.0,-33.820899,-24.754375,-30.283693,-30.194856,-34.373366,-38.423166,-31.516502,-37.712188
7550.0,-31.617264,-24.863712,-28.72151,-29.505801,-31.563908,-39.203158,-31.000277,-38.504741
7600.0,-33.19408,-25.417449,-28.05905,-29.689256,-32.540269,-37.166158,-32.290095,-34.056826
7650.0,-35.533286,-25.513243,-29.166263,-30.242767,-35.79682,-35.874166,-32.940671,-33.754849
7700.0,-34.540466,-24.949787,-29.894951,-30.3137,-34.78738,-36.112878,-31.602416,-36.355781
7750.0,-32.138529,-24.695772,-28.778983,-29.57809,-31.950161,-37.38024,-31.28388,-36.723858
7800.0,-32.977606,-25.57208,-28.036321,-29.003033,-32.414276,-36.469129,-32.662488,-33.89248
7850.0,-35.268517,-25.965324,-29.036146,-29.388062,-34.971817,-35.410961,-32.815288,-34.003878
7900.0,-34.474571,-25.088313,-30.144761,-29.743072,-35.184452,-35.473862,-31.465515,-36.302334
7950.0,-32.153819,-24.535767,-29.113141,-29.135417,-32.609995,-37.681388,-30.956398,-38.466528
8000.0,-32.515737,-25.644341,-28.130021,-28.268283,-32.120908,-37.216395,-32.135778,-34.795866
8050.0,-34.580528,-26.374425,-29.16084,-28.949218,-34.497659,-35.865072,-32.652999,-34.39115
8100.0,-34.690006,-25.612196,-30.325933,-30.162011,-35.874719,-35.64815,-31.698432,-36.78308
8150.0,-32.362038,-25.010647,-29.403363,-29.858569,-32.67861,-36.110493,-31.16632,-41.330009
8200.0,-32.18184,-25.86449,-28.325516,-28.496417,-31.448213,-35.773477,-32.241018,-36.232781
8250.0,-34.543368,-26.595028,-29.058733,-29.530249,-34.320221,-35.565313,-32.944959,-36.005992
8300.0,-35.244094,-25.986352,-30.188717,-31.279809,-35.436031,-35.960518,-32.194432,-38.251043
8350.0,-32.71601,-24.867081,-29.848132,-30.884485,-32.436937,-35.927779,-31.431676,-39.320137
8400.0,-32.094853,-25.721328,-28.944175,-29.225737,-31.105858,-35.896124,-32.25032,-36.468509
8450.0,-34.216982,-26.896129,-29.431032,-29.984608,-33.369131,-36.429802,-33.235089,-37.181518
8500.0,-34.898469,-26.243805,-30.774745,-31.51751,-34.52924,-36.174012,-32.591427,-39.332662
8550.0,-33.470286,-24.690602,-30.974495,-31.322337,-32.61816,-36.073448,-31.553095,-40.997349
8600.0,-32.424681,-25.132949,-29.742999,-29.558897,-30.904199,-36.808153,-31.878629,-38.122347
8650.0,-33.803413,-26.716331,-29.701239,-29.55449,-31.992372,-37.255424,-32.653227,-38.574587
8700.0,-34.593592,-26.900585,-30.927753,-30.742152,-33.665667,-37.281308,-32.302531,-40.987422
8750.0,-33.78786,-24.919822,-31.178388,-32.060353,-32.76286,-36.166944,-31.627925,-40.848976
8800.0,-32.193595,-24.708376,-30.337199,-30.854949,-30.731898,-35.364096,-31.581915,-39.064827
8850.0,-32.992039,-26.078882,-30.058598,-29.981988,-30.900508,-36.008296,-32.314826,-39.720954
8900.0,-34.849269,-26.894474,-31.368317,-31.597432,-32.683943,-37.246061,-32.921779,-39.006704
8950.0,-34.19364,-25.958073,-32.114362,-33.754937,-32.760196,-37.202746,-32.282545,-37.654537
9000.0,-32.332402,-24.713497,-30.843067,-32.896379,-30.514549,-36.099003,-30.79751,-38.178187
9050.0,-32.915265,-25.962105,-29.758994,-31.439994,-30.184413,-37.323354,-32.114929,-37.580151
9100.0,-34.399924,-27.171125,-31.297908,-34.175071,-31.53168,-39.122592,-34.268506,-36.313099
9150.0,-34.119114,-26.688731,-32.721027,-38.08173,-31.804659,-38.628034,-34.028039,-35.498061
9200.0,-33.025361,-24.86487,-31.995855,-34.927932,-30.340682,-36.815657,-31.593208,-35.93277
9250.0,-32.445529,-25.60119,-29.926231,-32.670624,-29.211552,-37.898936,-32.522123,-36.807427
9300.0,-33.270655,-27.129903,-31.27732,-35.771702,-29.612921,-40.624845,-34.245671,-36.143642
9350.0,-34.299104,-27.116757,-33.508965,-39.868104,-30.237084,-40.217419,-33.666229,-35.642768
9400.0,-33.564786,-25.217785,-33.12264,-35.945405,-30.385542,-38.326652,-31.373982,-35.594171
9450.0,-32.551096,-25.082315,-30.040943,-32.47969,-29.153654,-39.599975,-31.315438,-36.994485
9500.0,-33.537885,-27.388039,-31.00249,-35.005014,-28.493373,-42.741241,-32.828127,-36.427217
9550.0,-34.913923,-28.234428,-33.336333,-38.772445,-29.380964,-43.753012,-32.573823,-34.870583
9600.0,-35.118859,-26.148558,-32.855325,-35.226473,-30.501337,-40.676812,-30.857868,-34.491272
9650.0,-33.930014,-24.740594,-29.792006,-31.523354,-29.343417,-39.839038,-30.04247,-36.495622
9700.0,-33.687285,-27.580566,-29.900601,-34.779769,-27.735737,-44.883532,-31.528405,-35.373934
9750.0,-35.43249,-28.912972,-31.753353,-38.475589,-28.556485,-46.535944,-32.149243,-34.334018
9800.0,-37.112729,-26.831799,-31.803198,-34.420313,-30.100459,-41.670233,-31.03752,-34.737403
9850.0,-35.085215,-24.309574,-29.357195,-30.8305,-29.641415,-43.468363,-29.499685,-36.89389
9900.0,-34.127964,-27.034159,-28.610003,-33.159854,-27.628902,-52.453175,-30.686448,-35.225363
9950.0,-36.056662,-28.941958,-30.737253,-36.132559,-27.800076,-43.201402,-32.19803,-35.235803
10000.0,-36.96724,-27.502265,-31.419388,-33.677337,-29.324244,-39.226535,-31.908238,-35.946039
10050.0,-36.636458,-24.221427,-29.49666,-30.804261,-30.175194,-40.631524,-30.127081,-37.159446
10100.0,-34.584598,-26.694572,-28.084554,-31.575707,-28.364295,-42.52737,-30.485943,-36.603751
10150.0,-35.124686,-28.994152,-29.80974,-34.683628,-27.354559,-39.420338,-31.978532,-37.415357
10200.0,-38.042902,-28.576761,-30.689272,-33.987644,-29.191252,-36.947676,-32.792997,-36.800256
10250.0,-37.441768,-24.97694,-29.543183,-31.129092,-31.691603,-38.171095,-30.676969,-36.011762
10300.0,-34.514021,-26.567722,-27.691031,-30.44455,-30.181306,-41.410594,-30.090144,-36.835626
10350.0,-34.624262,-29.194915,-28.11699,-34.721788,-27.362283,-39.285436,-32.261306,-36.53689
10400.0,-38.091524,-29.437035,-29.607228,-34.51894,-29.641637,-37.192827,-34.19186,-36.02932
10450.0,-38.432962,-25.52749,-29.40017,-30.929737,-32.689514,-36.142041,-31.880199,-35.133458
10500.0,-33.539961,-26.111637,-27.799946,-29.997952,-31.204568,-39.27347,-29.880208,-36.643507
10550.0,-33.073889,-29.141749,-27.401561,-33.972482,-27.255944,-39.697061,-32.421551,-37.151333
10600.0,-36.751456,-29.627161,-29.207778,-33.639922,-29.159657,-37.342579,-34.876075,-36.399872
10650.0,-36.697458,-25.959361,-29.975964,-30.417107,-31.806001,-35.128318,-33.134361,-35.156383
10700.0,-33.437097,-25.475819,-28.795896,-28.734559,-31.830054,-37.526726,-30.330575,-36.320246
10750.0,-31.909477,-27.792985,-27.326392,-31.858544,-27.998079,-39.11028,-32.135364,-36.696684
10800.0,-35.405817,-28.660983,-28.898231,-33.518083,-28.986813,-36.511771,-34.861417,-35.60363
